"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","30.60","30.69","30.70","30.28","17.72M","0.16%"
"Dec 14, 2020","30.55","31.25","31.26","30.40","42.64M","-1.48%"
"Dec 11, 2020","31.01","30.43","31.09","30.39","31.50M","1.04%"
"Dec 10, 2020","30.69","31.07","31.10","30.50","47.03M","-2.45%"
"Dec 09, 2020","31.46","31.01","31.87","30.97","70.69M","2.11%"
"Dec 08, 2020","30.81","29.46","30.93","29.46","73.61M","3.95%"
"Dec 07, 2020","29.64","29.73","29.78","29.53","34.63M","0.34%"
"Dec 04, 2020","29.54","29.37","29.76","29.31","37.73M","1.06%"
"Dec 03, 2020","29.23","29.05","29.23","28.90","34.96M","0.48%"
"Dec 02, 2020","29.09","28.82","29.20","28.79","29.49M","0.76%"
"Dec 01, 2020","28.87","28.82","29.14","28.75","40.26M","0.42%"
"Nov 30, 2020","28.75","28.86","29.01","28.70","43.34M","-0.96%"
"Nov 27, 2020","29.03","29.07","29.19","28.88","15.65M","0.14%"
"Nov 25, 2020","28.99","29.27","29.27","28.90","24.49M","-0.82%"
"Nov 24, 2020","29.23","28.93","29.44","28.93","44.01M","2.13%"
"Nov 23, 2020","28.62","28.40","28.70","28.35","27.82M","1.06%"
"Nov 20, 2020","28.32","28.22","28.42","28.16","28.22M","0.14%"
"Nov 19, 2020","28.28","28.62","28.62","28.11","41.38M","-1.19%"
"Nov 18, 2020","28.62","29.05","29.17","28.61","29.56M","-1.41%"
"Nov 17, 2020","29.03","28.82","29.13","28.69","28.58M","0.21%"
"Nov 16, 2020","28.97","29.02","29.23","28.90","49.95M","0.21%"
"Nov 13, 2020","28.91","28.57","28.99","28.47","27.49M","1.65%"
"Nov 12, 2020","28.44","28.49","28.58","28.19","30.50M","-1.01%"
"Nov 11, 2020","28.73","28.99","28.99","28.43","39.72M","-0.42%"
"Nov 10, 2020","28.85","28.59","28.97","28.50","44.19M","1.94%"
"Nov 09, 2020","28.30","28.31","28.79","28.16","70.67M","3.13%"
"Nov 06, 2020","27.44","27.49","27.70","27.38","26.24M","-0.25%"
"Nov 05, 2020","27.51","27.19","27.85","27.18","35.12M","1.74%"
"Nov 04, 2020","27.04","27.25","27.44","26.86","45.48M","-1.53%"
"Nov 03, 2020","27.46","27.50","27.80","27.40","33.28M","0.44%"
"Nov 02, 2020","27.34","27.37","27.60","27.02","48.05M","1.18%"
"Oct 30, 2020","27.02","26.74","27.04","26.69","48.44M","0.97%"
"Oct 29, 2020","26.76","26.50","27.05","26.35","44.18M","0.98%"
"Oct 28, 2020","26.50","26.70","26.87","26.45","48.95M","-1.56%"
"Oct 27, 2020","26.92","27.23","27.26","26.90","35.17M","-1.68%"
"Oct 26, 2020","27.38","27.63","27.65","27.09","41.52M","-1.58%"
"Oct 23, 2020","27.82","28.35","28.41","27.75","42.63M","-1.63%"
"Oct 22, 2020","28.28","27.83","28.49","27.72","89.51M","5.84%"
"Oct 21, 2020","26.72","26.76","26.92","26.56","47.75M","-0.15%"
"Oct 20, 2020","26.76","27.00","27.11","26.67","41.59M","-0.45%"
"Oct 19, 2020","26.88","27.43","27.47","26.82","52.13M","-1.65%"
"Oct 16, 2020","27.33","27.48","27.57","27.32","29.33M","-0.44%"
"Oct 15, 2020","27.45","27.32","27.45","27.11","32.09M","-0.15%"
"Oct 14, 2020","27.49","27.71","27.94","27.48","48.46M","-0.94%"
"Oct 13, 2020","27.75","28.01","28.12","27.68","54.01M","-1.35%"
"Oct 12, 2020","28.13","28.28","28.28","28.01","51.21M","-0.67%"
"Oct 09, 2020","28.32","28.63","28.69","28.23","32.70M","-1.01%"
"Oct 08, 2020","28.61","28.25","28.63","28.25","32.11M","-0.66%"
"Oct 07, 2020","28.80","28.92","28.97","28.69","41.43M","0.31%"
"Oct 06, 2020","28.71","28.73","29.16","28.67","39.16M","0.14%"
"Oct 05, 2020","28.67","28.49","28.75","28.36","33.46M","-0.03%"
"Oct 02, 2020","28.68","28.27","28.89","28.21","28.70M","0.67%"
"Oct 01, 2020","28.49","28.50","28.64","28.34","28.64M","-0.07%"
"Sep 30, 2020","28.51","28.40","28.67","28.29","39.09M","0.74%"
