"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","26.23","26.16","26.56","25.40","3.73M","0.50%"
"Dec 14, 2020","26.10","26.61","27.03","26.05","5.16M","-0.23%"
"Dec 11, 2020","26.16","26.23","26.47","25.47","5.97M","-1.02%"
"Dec 10, 2020","26.43","25.70","26.68","25.19","5.75M","0.92%"
"Dec 09, 2020","26.19","27.55","27.64","25.76","9.94M","-4.21%"
"Dec 08, 2020","27.34","26.90","27.74","26.74","6.02M","1.11%"
"Dec 07, 2020","27.04","27.70","27.79","26.73","6.44M","-1.67%"
"Dec 04, 2020","27.50","27.95","28.24","27.47","8.08M","0.92%"
"Dec 03, 2020","27.25","26.50","27.50","26.23","9.73M","5.25%"
"Dec 02, 2020","25.89","25.17","26.06","24.99","7.10M","3.11%"
"Dec 01, 2020","25.11","25.06","25.32","24.72","6.34M","1.66%"
"Nov 30, 2020","24.70","25.50","25.60","23.95","8.97M","-0.64%"
"Nov 27, 2020","24.86","23.91","25.95","23.80","9.62M","4.37%"
"Nov 26, 2020","23.82","23.71","23.99","23.51","2.23M","0.38%"
"Nov 25, 2020","23.73","23.50","24.00","22.60","7.17M","0.68%"
"Nov 24, 2020","23.57","22.34","24.00","22.30","11.89M","8.67%"
"Nov 23, 2020","21.69","21.29","21.79","21.02","6.28M","3.24%"
"Nov 20, 2020","21.01","21.70","21.97","20.95","5.46M","-3.09%"
"Nov 19, 2020","21.68","21.67","22.00","21.10","6.46M","0.37%"
"Nov 18, 2020","21.60","21.10","21.82","21.01","8.37M","4.00%"
"Nov 17, 2020","20.77","19.94","20.96","19.87","6.82M","2.42%"
"Nov 16, 2020","20.28","20.88","20.93","19.80","8.27M","4.48%"
"Nov 13, 2020","19.41","18.57","19.49","18.57","4.38M","4.52%"
"Nov 12, 2020","18.57","18.90","19.13","18.49","5.06M","-3.38%"
"Nov 11, 2020","19.22","19.98","20.38","19.11","6.21M","-4.47%"
"Nov 10, 2020","20.12","19.59","20.50","18.87","9.87M","-1.13%"
"Nov 09, 2020","20.35","19.44","20.41","18.00","27.16M","28.63%"
"Nov 06, 2020","15.82","16.20","16.38","15.78","3.17M","-3.30%"
"Nov 05, 2020","16.36","15.31","16.45","15.30","5.64M","7.49%"
"Nov 04, 2020","15.22","15.02","15.30","14.66","2.71M","1.47%"
"Nov 03, 2020","15.00","15.25","15.34","14.89","2.80M","0.13%"
"Nov 02, 2020","14.98","14.86","15.00","14.48","3.26M","1.70%"
"Oct 30, 2020","14.73","14.99","15.08","14.50","4.30M","-2.32%"
"Oct 29, 2020","15.08","15.00","15.21","14.72","3.19M","0.47%"
"Oct 28, 2020","15.01","15.40","15.45","14.94","5.92M","-3.78%"
"Oct 27, 2020","15.60","15.89","16.18","15.57","3.47M","-2.26%"
"Oct 26, 2020","15.96","16.70","16.70","15.74","5.62M","-6.06%"
"Oct 23, 2020","16.99","16.89","17.31","16.61","6.04M","1.31%"
"Oct 22, 2020","16.77","15.74","16.81","15.73","7.78M","7.02%"
"Oct 21, 2020","15.67","15.87","15.89","15.47","3.35M","-1.51%"
"Oct 20, 2020","15.91","15.75","16.03","15.65","3.09M","1.92%"
