"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","3,160.44","3,178.16","3,188.00","3,130.73","2.28M","0.11%"
"Dec 14, 2020","3,156.97","3,138.00","3,190.47","3,128.72","4.16M","1.30%"
"Dec 11, 2020","3,116.42","3,096.66","3,118.67","3,072.82","3.06M","0.48%"
"Dec 10, 2020","3,101.49","3,090.00","3,142.00","3,077.00","3.03M","-0.09%"
"Dec 09, 2020","3,104.20","3,167.50","3,169.47","3,088.00","4.10M","-2.30%"
"Dec 08, 2020","3,177.29","3,156.04","3,184.13","3,120.33","3.29M","0.61%"
"Dec 07, 2020","3,158.00","3,155.59","3,180.00","3,142.95","2.75M","-0.14%"
"Dec 04, 2020","3,162.58","3,198.21","3,198.21","3,158.76","2.91M","-0.76%"
"Dec 03, 2020","3,186.73","3,203.84","3,228.58","3,181.66","2.89M","-0.52%"
"Dec 02, 2020","3,203.53","3,220.33","3,231.02","3,174.00","3.13M","-0.51%"
"Dec 01, 2020","3,220.08","3,188.50","3,248.95","3,157.18","4.49M","1.64%"
"Nov 30, 2020","3,168.04","3,208.48","3,228.39","3,125.55","4.01M","-0.85%"
"Nov 27, 2020","3,195.34","3,211.26","3,216.19","3,190.05","2.39M","0.32%"
"Nov 25, 2020","3,185.07","3,141.50","3,198.00","3,141.50","3.79M","2.15%"
"Nov 24, 2020","3,118.06","3,101.22","3,133.63","3,087.55","3.60M","0.63%"
"Nov 23, 2020","3,098.39","3,117.97","3,139.11","3,066.38","4.71M","-0.03%"
"Nov 20, 2020","3,099.40","3,117.02","3,132.89","3,098.05","3.38M","-0.57%"
"Nov 19, 2020","3,117.02","3,104.44","3,125.00","3,082.28","3.01M","0.37%"
"Nov 18, 2020","3,105.46","3,130.05","3,139.99","3,105.46","2.92M","-0.96%"
"Nov 17, 2020","3,135.66","3,182.71","3,182.71","3,135.29","3.44M","0.15%"
"Nov 16, 2020","3,131.06","3,095.59","3,140.22","3,076.14","3.81M","0.07%"
"Nov 13, 2020","3,128.81","3,122.00","3,141.72","3,085.39","3.76M","0.60%"
"Nov 12, 2020","3,110.28","3,150.39","3,175.00","3,086.84","4.37M","-0.86%"
"Nov 11, 2020","3,137.39","3,061.93","3,138.72","3,051.93","4.37M","3.37%"
"Nov 10, 2020","3,035.02","3,097.72","3,112.67","3,020.00","6.59M","-3.46%"
"Nov 09, 2020","3,143.74","3,226.28","3,288.45","3,115.00","7.19M","-5.06%"
"Nov 06, 2020","3,311.37","3,304.64","3,322.00","3,232.00","4.65M","-0.32%"
"Nov 05, 2020","3,322.00","3,318.33","3,365.52","3,291.19","5.79M","2.49%"
"Nov 04, 2020","3,241.16","3,159.99","3,244.85","3,139.73","6.84M","6.32%"
"Nov 03, 2020","3,048.41","3,018.53","3,074.90","2,980.98","4.90M","1.46%"
"Nov 02, 2020","3,004.48","3,061.74","3,079.71","2,950.12","7.26M","-1.04%"
"Oct 30, 2020","3,036.15","3,157.75","3,167.00","3,019.00","8.40M","-5.45%"
"Oct 29, 2020","3,211.01","3,201.27","3,257.25","3,164.00","6.60M","1.52%"
"Oct 28, 2020","3,162.78","3,248.72","3,264.02","3,162.78","5.59M","-3.76%"
"Oct 27, 2020","3,286.33","3,223.00","3,291.18","3,212.26","4.29M","2.47%"
"Oct 26, 2020","3,207.04","3,196.02","3,281.42","3,153.54","5.90M","0.08%"
"Oct 23, 2020","3,204.40","3,191.00","3,205.33","3,140.00","3.47M","0.88%"
"Oct 22, 2020","3,176.40","3,189.87","3,198.00","3,122.25","4.21M","-0.27%"
"Oct 21, 2020","3,184.94","3,210.13","3,232.24","3,160.00","4.59M","-1.00%"
"Oct 20, 2020","3,217.01","3,219.50","3,265.04","3,193.86","4.51M","0.31%"
"Oct 19, 2020","3,207.21","3,298.84","3,327.50","3,193.00","5.22M","-2.00%"
"Oct 16, 2020","3,272.71","3,363.23","3,399.66","3,160.00","6.47M","-1.98%"
"Oct 15, 2020","3,338.65","3,292.01","3,355.88","3,280.00","5.22M","-0.75%"
"Oct 14, 2020","3,363.71","3,447.00","3,464.88","3,340.00","5.83M","-2.32%"
"Oct 13, 2020","3,443.63","3,467.99","3,492.38","3,424.22","5.74M","0.02%"
"Oct 12, 2020","3,442.93","3,349.94","3,496.24","3,339.55","8.36M","4.75%"
"Oct 09, 2020","3,286.65","3,210.00","3,288.99","3,197.83","4.91M","3.01%"
"Oct 08, 2020","3,190.55","3,224.99","3,233.29","3,174.99","3.17M","-0.16%"
"Oct 07, 2020","3,195.69","3,135.00","3,200.00","3,132.39","4.31M","3.09%"
"Oct 06, 2020","3,099.96","3,165.00","3,182.00","3,090.00","5.09M","-3.10%"
"Oct 05, 2020","3,199.20","3,145.84","3,202.53","3,140.85","3.78M","2.37%"
"Oct 02, 2020","3,125.00","3,153.63","3,195.80","3,123.00","5.61M","-2.99%"
"Oct 01, 2020","3,221.26","3,208.00","3,224.00","3,172.00","4.97M","2.30%"
"Sep 30, 2020","3,148.73","3,141.14","3,212.88","3,133.99","4.90M","0.12%"
"Sep 29, 2020","3,144.88","3,175.39","3,188.26","3,132.54","3.50M","-0.92%"
"Sep 28, 2020","3,174.05","3,148.85","3,175.04","3,117.17","4.22M","2.55%"
"Sep 25, 2020","3,095.13","3,054.86","3,101.54","2,999.00","4.62M","2.49%"
"Sep 24, 2020","3,019.79","2,977.79","3,069.30","2,965.00","5.53M","0.66%"
"Sep 23, 2020","2,999.86","3,120.43","3,127.00","2,992.38","5.65M","-4.13%"
"Sep 22, 2020","3,128.99","3,033.84","3,133.99","3,000.20","6.95M","5.69%"
"Sep 21, 2020","2,960.47","2,906.50","2,962.00","2,871.00","6.12M","0.19%"
"Sep 18, 2020","2,954.91","3,031.74","3,037.80","2,905.54","8.89M","-1.79%"
"Sep 17, 2020","3,008.73","3,009.25","3,029.43","2,972.55","6.45M","-2.25%"
"Sep 16, 2020","3,078.10","3,179.99","3,187.24","3,074.15","4.53M","-2.47%"
"Sep 15, 2020","3,156.13","3,136.16","3,175.02","3,108.92","4.02M","1.71%"
"Sep 14, 2020","3,102.97","3,172.94","3,187.39","3,096.00","4.53M","-0.43%"
"Sep 11, 2020","3,116.22","3,208.69","3,217.34","3,083.98","5.09M","-1.85%"
"Sep 10, 2020","3,175.11","3,307.22","3,349.89","3,170.55","5.33M","-2.86%"
"Sep 09, 2020","3,268.61","3,202.99","3,303.18","3,185.00","5.19M","3.77%"
"Sep 08, 2020","3,149.84","3,144.00","3,250.84","3,130.00","6.09M","-4.39%"
"Sep 04, 2020","3,294.62","3,318.00","3,381.50","3,111.13","8.78M","-2.18%"
"Sep 03, 2020","3,368.00","3,485.00","3,488.41","3,303.00","8.16M","-4.63%"
"Sep 02, 2020","3,531.45","3,547.00","3,552.25","3,486.68","3.93M","0.92%"
"Sep 01, 2020","3,499.12","3,489.58","3,513.87","3,467.00","3.48M","1.40%"
"Aug 31, 2020","3,450.96","3,408.99","3,495.00","3,405.00","4.19M","1.45%"
"Aug 28, 2020","3,401.80","3,423.00","3,433.37","3,386.50","2.90M","0.05%"
"Aug 27, 2020","3,400.00","3,450.05","3,453.00","3,378.00","4.26M","-1.22%"
"Aug 26, 2020","3,441.85","3,351.11","3,451.74","3,344.57","6.51M","2.85%"
"Aug 25, 2020","3,346.49","3,294.99","3,357.40","3,267.00","3.99M","1.18%"
"Aug 24, 2020","3,307.46","3,310.15","3,380.32","3,257.56","4.67M","0.69%"
"Aug 21, 2020","3,284.72","3,295.00","3,314.40","3,275.39","3.58M","-0.38%"
"Aug 20, 2020","3,297.37","3,252.00","3,312.62","3,238.00","3.33M","1.13%"
"Aug 19, 2020","3,260.48","3,303.01","3,315.90","3,256.00","4.19M","-1.57%"
"Aug 18, 2020","3,312.49","3,212.00","3,320.00","3,205.82","5.35M","4.09%"
"Aug 17, 2020","3,182.41","3,173.12","3,194.97","3,154.18","2.69M","1.09%"
"Aug 14, 2020","3,148.02","3,178.18","3,178.24","3,120.00","2.75M","-0.41%"
"Aug 13, 2020","3,161.02","3,182.99","3,217.52","3,155.00","3.15M","-0.04%"
"Aug 12, 2020","3,162.24","3,108.00","3,174.39","3,101.42","3.53M","2.65%"
"Aug 11, 2020","3,080.67","3,113.20","3,159.22","3,073.00","3.72M","-2.14%"
"Aug 10, 2020","3,148.16","3,170.31","3,172.51","3,101.52","3.17M","-0.61%"
"Aug 07, 2020","3,167.46","3,224.01","3,240.81","3,140.67","3.94M","-1.78%"
"Aug 06, 2020","3,225.00","3,194.36","3,247.47","3,165.43","3.94M","0.62%"
"Aug 05, 2020","3,205.03","3,143.77","3,213.59","3,127.30","3.93M","2.11%"
"Aug 04, 2020","3,138.83","3,101.21","3,167.24","3,101.21","4.69M","0.87%"
"Aug 03, 2020","3,111.89","3,180.51","3,184.00","3,104.00","5.07M","-1.67%"
"Jul 31, 2020","3,164.68","3,244.00","3,246.82","3,151.00","8.08M","3.70%"
"Jul 30, 2020","3,051.88","3,014.00","3,092.00","3,005.00","6.13M","0.60%"
"Jul 29, 2020","3,033.53","3,030.99","3,039.16","2,996.77","2.97M","1.11%"
"Jul 28, 2020","3,000.33","3,054.27","3,077.09","2,995.76","3.13M","-1.80%"
"Jul 27, 2020","3,055.21","3,062.00","3,098.00","3,015.77","4.17M","1.54%"
"Jul 24, 2020","3,008.91","2,930.00","3,031.58","2,888.00","5.63M","0.75%"
"Jul 23, 2020","2,986.55","3,098.27","3,098.27","2,970.00","5.66M","-3.66%"
"Jul 22, 2020","3,099.91","3,125.00","3,150.00","3,065.26","4.10M","-1.22%"
"Jul 21, 2020","3,138.29","3,232.49","3,240.58","3,105.72","6.13M","-1.83%"
"Jul 20, 2020","3,196.84","3,000.20","3,201.36","2,994.02","7.60M","7.93%"
"Jul 17, 2020","2,961.97","3,009.00","3,024.00","2,948.45","4.76M","-1.26%"
"Jul 16, 2020","2,999.90","2,971.06","3,032.00","2,918.23","6.39M","-0.30%"
"Jul 15, 2020","3,008.87","3,080.23","3,098.35","2,973.18","5.79M","-2.44%"
"Jul 14, 2020","3,084.00","3,089.00","3,127.38","2,950.00","7.23M","-0.64%"
"Jul 13, 2020","3,104.00","3,251.06","3,344.29","3,068.39","7.72M","-3.00%"
"Jul 10, 2020","3,200.00","3,191.76","3,215.00","3,135.70","5.49M","0.55%"
"Jul 09, 2020","3,182.63","3,115.99","3,193.88","3,074.00","6.39M","3.29%"
"Jul 08, 2020","3,081.11","3,022.61","3,083.97","3,012.43","5.04M","2.70%"
"Jul 07, 2020","3,000.12","3,058.55","3,069.55","2,990.00","5.26M","-1.86%"
"Jul 06, 2020","3,057.04","2,934.97","3,059.88","2,930.00","6.88M","5.77%"
"Jul 02, 2020","2,890.30","2,912.01","2,955.56","2,871.10","6.59M","0.40%"
"Jul 01, 2020","2,878.70","2,757.99","2,895.00","2,754.00","6.36M","4.35%"
"Jun 30, 2020","2,758.82","2,685.07","2,769.63","2,675.03","3.77M","2.93%"
"Jun 29, 2020","2,680.38","2,690.01","2,696.80","2,630.08","4.22M","-0.46%"
"Jun 26, 2020","2,692.87","2,775.06","2,782.57","2,688.00","6.50M","-2.24%"
"Jun 25, 2020","2,754.58","2,739.55","2,756.23","2,712.14","2.97M","0.74%"
"Jun 24, 2020","2,734.40","2,780.00","2,796.00","2,721.00","4.53M","-1.09%"
"Jun 23, 2020","2,764.41","2,726.02","2,783.11","2,718.04","4.23M","1.86%"
"Jun 22, 2020","2,713.82","2,684.50","2,715.00","2,669.00","3.21M","1.45%"
"Jun 19, 2020","2,675.01","2,678.08","2,697.43","2,659.00","5.78M","0.79%"
"Jun 18, 2020","2,653.98","2,647.01","2,659.64","2,636.11","2.49M","0.49%"
"Jun 17, 2020","2,640.98","2,647.50","2,655.00","2,631.82","2.96M","0.98%"
"Jun 16, 2020","2,615.27","2,620.00","2,620.00","2,576.00","3.60M","1.66%"
"Jun 15, 2020","2,572.68","2,526.60","2,584.00","2,508.00","3.87M","1.09%"
"Jun 12, 2020","2,545.02","2,601.21","2,621.48","2,503.35","5.44M","-0.51%"
"Jun 11, 2020","2,557.96","2,603.50","2,671.38","2,536.23","5.80M","-3.38%"
"Jun 10, 2020","2,647.45","2,645.00","2,722.35","2,626.26","4.95M","1.79%"
"Jun 09, 2020","2,600.86","2,529.44","2,626.43","2,525.00","5.18M","3.04%"
"Jun 08, 2020","2,524.06","2,500.20","2,530.00","2,487.34","3.97M","1.65%"
"Jun 05, 2020","2,483.00","2,444.51","2,488.64","2,437.13","3.31M","0.91%"
"Jun 04, 2020","2,460.60","2,477.43","2,507.54","2,450.01","2.95M","-0.72%"
"Jun 03, 2020","2,478.40","2,468.01","2,488.00","2,461.17","2.67M","0.24%"
"Jun 02, 2020","2,472.41","2,467.00","2,473.53","2,445.31","2.53M","0.06%"
"Jun 01, 2020","2,471.04","2,448.00","2,476.93","2,444.17","2.94M","1.17%"
"May 29, 2020","2,442.37","2,415.94","2,442.37","2,398.20","3.53M","1.72%"
"May 28, 2020","2,401.10","2,384.33","2,436.97","2,378.23","3.19M","-0.39%"
"May 27, 2020","2,410.39","2,404.99","2,413.58","2,330.00","5.06M","-0.47%"
"May 26, 2020","2,421.86","2,458.00","2,462.00","2,414.06","3.57M","-0.62%"
"May 22, 2020","2,436.88","2,455.01","2,469.85","2,430.13","2.87M","-0.40%"
"May 21, 2020","2,446.74","2,500.00","2,525.45","2,442.54","5.11M","-2.05%"
"May 20, 2020","2,497.94","2,477.87","2,500.01","2,467.27","4.00M","1.98%"
"May 19, 2020","2,449.33","2,429.83","2,484.99","2,428.97","4.32M","0.95%"
"May 18, 2020","2,426.26","2,404.35","2,433.00","2,384.01","4.37M","0.68%"
"May 15, 2020","2,409.78","2,368.52","2,411.00","2,356.37","4.23M","0.88%"
"May 14, 2020","2,388.85","2,361.01","2,391.37","2,353.21","3.65M","0.88%"
"May 13, 2020","2,367.92","2,366.80","2,407.70","2,337.80","4.78M","0.47%"
"May 12, 2020","2,356.95","2,411.85","2,419.00","2,355.00","3.07M","-2.16%"
"May 11, 2020","2,409.00","2,374.70","2,419.66","2,372.11","3.26M","1.24%"
