"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","16.93","16.98","17.05","16.17","72.18M","1.38%"
"Dec 14, 2020","16.70","17.55","17.80","16.68","88.14M","-2.05%"
"Dec 11, 2020","17.05","17.82","17.91","16.81","106.96M","-5.23%"
"Dec 10, 2020","17.99","16.72","18.04","16.71","86.40M","4.84%"
"Dec 09, 2020","17.16","18.38","18.60","16.68","138.51M","-2.67%"
"Dec 08, 2020","17.63","17.43","17.90","17.16","95.86M","2.44%"
"Dec 07, 2020","17.21","16.58","18.06","16.48","157.23M","4.94%"
"Dec 04, 2020","16.40","16.40","16.93","16.12","117.39M","1.93%"
"Dec 03, 2020","16.09","15.18","16.50","15.17","169.29M","8.28%"
"Dec 02, 2020","14.86","14.16","14.86","13.85","76.03M","4.13%"
"Dec 01, 2020","14.27","14.42","14.78","14.24","75.42M","0.99%"
"Nov 30, 2020","14.13","14.92","14.96","13.93","96.52M","-5.67%"
"Nov 27, 2020","14.98","15.11","15.56","14.96","66.07M","0.27%"
"Nov 25, 2020","14.94","14.77","15.08","14.37","101.05M","0.81%"
"Nov 24, 2020","14.82","14.34","14.97","14.09","156.50M","9.29%"
"Nov 23, 2020","13.56","12.72","13.57","12.70","100.59M","8.22%"
"Nov 20, 2020","12.53","12.80","12.91","12.46","58.69M","-2.03%"
"Nov 19, 2020","12.79","12.71","13.03","12.63","58.81M","0.39%"
"Nov 18, 2020","12.74","12.90","13.35","12.73","99.89M","0.31%"
"Nov 17, 2020","12.70","12.41","12.81","12.23","61.96M","-0.70%"
"Nov 16, 2020","12.79","12.91","12.96","12.43","104.87M","4.49%"
"Nov 13, 2020","12.24","11.91","12.25","11.85","56.78M","4.26%"
"Nov 12, 2020","11.74","11.95","12.22","11.65","75.73M","-2.49%"
"Nov 11, 2020","12.04","12.40","12.45","11.94","81.36M","-2.75%"
"Nov 10, 2020","12.38","12.91","13.02","12.34","127.53M","-6.21%"
"Nov 09, 2020","13.20","14.35","14.40","12.77","231.33M","15.18%"
"Nov 06, 2020","11.46","11.44","11.51","11.27","36.70M","-1.21%"
"Nov 05, 2020","11.60","11.13","11.67","11.09","54.89M","5.41%"
"Nov 04, 2020","11.01","11.21","11.31","10.93","45.28M","-2.18%"
"Nov 03, 2020","11.25","11.34","11.45","11.15","43.78M","0.54%"
"Nov 02, 2020","11.19","11.32","11.34","10.87","41.09M","-0.80%"
"Oct 30, 2020","11.28","11.06","11.41","10.98","51.35M","1.08%"
"Oct 29, 2020","11.16","10.96","11.29","10.89","44.07M","1.92%"
"Oct 28, 2020","10.95","10.87","11.15","10.63","64.40M","-2.49%"
"Oct 27, 2020","11.23","11.76","11.78","11.20","65.80M","-4.83%"
"Oct 26, 2020","11.80","12.38","12.44","11.68","85.35M","-6.35%"
"Oct 23, 2020","12.60","13.07","13.08","12.42","90.79M","-4.18%"
"Oct 22, 2020","13.15","12.61","13.29","12.43","90.79M","3.22%"
"Oct 21, 2020","12.74","12.63","12.87","12.55","37.50M","-0.47%"
"Oct 20, 2020","12.80","12.75","13.00","12.59","46.75M","1.91%"
"Oct 19, 2020","12.56","12.64","12.85","12.45","50.56M","0.80%"
"Oct 16, 2020","12.46","12.27","12.56","12.20","32.72M","1.88%"
"Oct 15, 2020","12.23","12.20","12.29","11.97","33.78M","-1.05%"
"Oct 14, 2020","12.36","12.35","12.57","12.29","37.65M","1.15%"
"Oct 13, 2020","12.22","12.59","12.62","12.20","63.37M","-5.42%"
"Oct 12, 2020","12.92","13.14","13.17","12.90","39.85M","-2.12%"
"Oct 09, 2020","13.20","13.25","13.49","12.95","65.28M","0.38%"
"Oct 08, 2020","13.15","13.37","13.67","12.73","88.85M","0.61%"
"Oct 07, 2020","13.07","12.96","13.18","12.81","61.27M","4.31%"
"Oct 06, 2020","12.53","13.27","13.43","12.50","85.25M","-4.50%"
"Oct 05, 2020","13.12","13.09","13.20","12.75","53.47M","0.92%"
"Oct 02, 2020","13.00","12.05","13.35","12.00","111.88M","3.34%"
"Oct 01, 2020","12.58","12.41","12.76","12.36","48.84M","2.36%"
"Sep 30, 2020","12.29","12.38","12.90","12.22","65.43M","0.33%"
"Sep 29, 2020","12.25","12.44","12.66","12.11","47.21M","-4.00%"
"Sep 28, 2020","12.76","12.74","13.14","12.50","63.56M","3.82%"
"Sep 25, 2020","12.29","11.76","12.31","11.71","43.76M","4.42%"
"Sep 24, 2020","11.77","11.70","11.99","11.25","49.16M","-1.34%"
"Sep 23, 2020","11.93","12.50","12.74","11.91","45.29M","-3.32%"
"Sep 22, 2020","12.34","12.26","12.49","12.18","33.01M","1.06%"
"Sep 21, 2020","12.21","12.78","12.92","12.08","60.60M","-7.43%"
"Sep 18, 2020","13.19","13.51","13.59","13.03","56.40M","-3.23%"
"Sep 17, 2020","13.63","13.52","14.08","13.37","50.19M","-1.23%"
"Sep 16, 2020","13.80","13.17","13.95","13.00","75.46M","5.02%"
"Sep 15, 2020","13.14","13.29","13.65","13.09","38.96M","-0.90%"
"Sep 14, 2020","13.26","13.01","13.29","12.90","39.86M","2.39%"
"Sep 11, 2020","12.95","13.08","13.08","12.68","43.92M","-0.46%"
"Sep 10, 2020","13.01","13.20","13.48","12.97","52.32M","-0.31%"
"Sep 09, 2020","13.05","13.50","13.55","12.81","79.03M","-4.26%"
"Sep 08, 2020","13.63","13.37","14.15","13.16","72.75M","0.15%"
"Sep 04, 2020","13.61","13.65","13.82","12.96","64.94M","1.87%"
"Sep 03, 2020","13.36","13.39","14.06","13.04","86.39M","0.98%"
"Sep 02, 2020","13.23","12.92","13.34","12.68","58.89M","0.99%"
"Sep 01, 2020","13.10","12.79","13.82","12.67","72.99M","0.38%"
"Aug 31, 2020","13.05","13.58","13.71","13.05","45.92M","-3.97%"
"Aug 28, 2020","13.59","13.59","13.63","13.23","54.52M","2.33%"
"Aug 27, 2020","13.28","13.41","14.24","13.12","108.84M","3.83%"
"Aug 26, 2020","12.79","13.01","13.14","12.70","44.06M","-2.66%"
"Aug 25, 2020","13.14","13.70","13.98","12.78","79.05M","-2.23%"
"Aug 24, 2020","13.44","12.47","13.48","12.28","102.69M","10.53%"
"Aug 21, 2020","12.16","12.44","12.63","12.09","35.82M","-2.72%"
"Aug 20, 2020","12.50","12.28","12.67","12.26","41.96M","-1.42%"
"Aug 19, 2020","12.68","12.67","13.43","12.59","59.27M","0.63%"
"Aug 18, 2020","12.60","12.60","12.88","12.51","33.07M","-0.16%"
"Aug 17, 2020","12.62","13.28","13.37","12.61","56.21M","-5.33%"
"Aug 14, 2020","13.33","13.11","13.56","13.01","45.67M","0.23%"
"Aug 13, 2020","13.30","13.17","13.89","13.14","47.77M","-1.77%"
"Aug 12, 2020","13.54","14.00","14.00","13.11","77.64M","-1.38%"
"Aug 11, 2020","13.73","15.00","15.07","13.56","127.88M","-1.93%"
"Aug 10, 2020","14.00","13.30","14.30","13.25","121.07M","7.44%"
"Aug 07, 2020","13.03","12.86","13.16","12.58","61.70M","-0.08%"
"Aug 06, 2020","13.04","13.00","13.29","12.49","131.28M","3.82%"
"Aug 05, 2020","12.56","11.85","12.83","11.55","118.70M","9.50%"
"Aug 04, 2020","11.47","11.23","11.88","11.16","54.82M","3.52%"
"Aug 03, 2020","11.08","11.03","11.23","10.71","48.26M","-0.36%"
"Jul 31, 2020","11.12","11.16","11.25","10.80","51.84M","-0.54%"
"Jul 30, 2020","11.18","11.22","11.39","11.12","40.53M","-1.93%"
"Jul 29, 2020","11.40","11.80","11.92","11.30","52.21M","-3.14%"
"Jul 28, 2020","11.77","11.37","11.99","11.37","62.36M","3.34%"
"Jul 27, 2020","11.39","11.48","11.79","11.18","69.45M","0.00%"
"Jul 24, 2020","11.39","11.67","11.82","11.34","53.76M","-3.23%"
"Jul 23, 2020","11.77","11.28","12.40","11.02","115.57M","3.61%"
"Jul 22, 2020","11.36","11.35","11.66","11.30","42.46M","-0.96%"
"Jul 21, 2020","11.47","11.58","11.78","11.28","64.72M","0.00%"
"Jul 20, 2020","11.47","11.93","12.51","11.35","64.11M","-3.69%"
"Jul 17, 2020","11.91","12.48","12.60","11.89","67.93M","-4.34%"
"Jul 16, 2020","12.45","12.73","13.04","12.29","81.51M","-7.37%"
"Jul 15, 2020","13.44","12.46","13.47","12.21","135.44M","16.16%"
"Jul 14, 2020","11.57","11.30","11.84","11.22","49.89M","-0.52%"
"Jul 13, 2020","11.63","12.14","12.27","11.46","67.58M","-2.60%"
"Jul 10, 2020","11.94","11.00","11.95","10.98","90.45M","6.80%"
"Jul 09, 2020","11.18","11.92","11.92","11.16","77.13M","-6.76%"
"Jul 08, 2020","11.99","11.57","12.08","11.44","85.03M","0.67%"
"Jul 07, 2020","11.91","12.48","12.51","11.91","78.00M","-6.95%"
"Jul 06, 2020","12.80","12.83","12.91","12.21","79.31M","2.40%"
"Jul 02, 2020","12.50","13.35","13.42","12.42","86.44M","-2.42%"
"Jul 01, 2020","12.81","13.48","14.29","12.63","116.66M","-1.99%"
"Jun 30, 2020","13.07","13.11","13.47","12.88","69.61M","-1.88%"
"Jun 29, 2020","13.32","12.58","13.50","12.03","115.05M","7.59%"
"Jun 26, 2020","12.38","13.20","13.28","12.13","108.81M","-6.00%"
"Jun 25, 2020","13.17","12.51","13.23","12.18","117.38M","1.00%"
"Jun 24, 2020","13.04","13.57","13.89","12.85","140.98M","-6.86%"
"Jun 23, 2020","14.00","13.79","14.27","13.71","204.02M","-6.17%"
"Jun 22, 2020","14.92","14.90","15.51","14.73","118.99M","-6.75%"
"Jun 19, 2020","16.00","16.89","16.94","15.41","92.32M","-2.97%"
"Jun 18, 2020","16.49","16.28","17.06","16.28","64.27M","-2.89%"
"Jun 17, 2020","16.98","16.68","17.04","16.16","71.71M","-0.29%"
"Jun 16, 2020","17.03","18.36","18.44","16.55","124.99M","1.98%"
"Jun 15, 2020","16.70","15.30","17.16","15.12","122.90M","-0.24%"
"Jun 12, 2020","16.74","16.82","17.31","15.67","161.10M","16.41%"
"Jun 11, 2020","14.38","14.61","15.68","14.07","124.22M","-15.51%"
"Jun 10, 2020","17.02","17.61","18.15","15.94","163.95M","-8.25%"
"Jun 09, 2020","18.55","18.16","18.97","17.64","111.23M","-8.67%"
"Jun 08, 2020","20.31","19.91","20.36","19.16","175.42M","9.25%"
"Jun 05, 2020","18.59","21.25","22.80","17.80","428.62M","11.18%"
"Jun 04, 2020","16.72","12.96","18.15","12.67","399.43M","41.10%"
"Jun 03, 2020","11.85","11.58","12.19","11.45","86.69M","5.61%"
"Jun 02, 2020","11.22","11.39","11.64","10.98","49.15M","0.99%"
"Jun 01, 2020","11.11","10.81","11.32","10.62","50.68M","5.81%"
"May 29, 2020","10.50","10.48","10.87","10.32","59.05M","-4.37%"
"May 28, 2020","10.98","11.80","11.80","10.90","70.81M","-8.35%"
"May 27, 2020","11.98","12.43","12.54","11.07","99.31M","7.54%"
"May 26, 2020","11.14","10.26","11.28","10.26","101.72M","14.85%"
"May 22, 2020","9.70","10.02","10.12","9.63","37.60M","-1.92%"
