"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","56.02","56.76","56.83","55.85","-","-0.88%"
"Dec 14, 2020","56.52","57.81","57.99","56.52","4.53M","-3.47%"
"Dec 11, 2020","58.55","58.43","58.67","57.98","7.47M","0.15%"
"Dec 10, 2020","58.46","58.00","58.55","57.68","7.69M","0.12%"
"Dec 09, 2020","58.39","57.90","58.39","57.75","7.89M","0.93%"
"Dec 08, 2020","57.85","57.44","57.92","57.32","9.49M","0.54%"
"Dec 07, 2020","57.54","57.45","57.67","57.21","5.90M","0.44%"
"Dec 04, 2020","57.29","56.75","57.33","56.69","3.84M","0.97%"
"Dec 03, 2020","56.74","56.32","56.97","56.20","2.87M","0.84%"
"Dec 02, 2020","56.27","56.09","56.49","56.04","2.10M","0.32%"
"Dec 01, 2020","56.09","56.66","56.70","56.01","2.73M","-0.37%"
"Nov 30, 2020","56.30","57.02","57.04","56.26","3.69M","-1.28%"
"Nov 27, 2020","57.03","57.10","57.38","56.78","1.61M","0.30%"
"Nov 26, 2020","56.86","56.75","57.01","56.67","1.28M","0.14%"
"Nov 25, 2020","56.78","57.09","57.09","56.52","2.30M","-0.26%"
"Nov 24, 2020","56.93","56.79","57.05","56.51","2.25M","0.83%"
"Nov 23, 2020","56.46","56.65","56.85","56.31","3.24M","-0.28%"
"Nov 20, 2020","56.62","56.80","56.86","56.35","1.89M","-0.23%"
"Nov 19, 2020","56.75","56.72","56.86","56.40","1.69M","0.18%"
"Nov 18, 2020","56.65","56.87","57.16","56.25","1.71M","-0.21%"
"Nov 17, 2020","56.77","56.22","56.93","56.19","3.44M","0.69%"
"Nov 16, 2020","56.38","56.51","56.52","55.98","5.04M","0.89%"
"Nov 13, 2020","55.88","56.41","56.55","55.83","1.45M","-0.75%"
"Nov 12, 2020","56.30","56.05","56.60","56.01","1.58M","-0.16%"
"Nov 11, 2020","56.39","56.20","56.49","55.95","1.94M","1.17%"
"Nov 10, 2020","55.74","55.05","56.00","55.00","2.16M","1.68%"
"Nov 09, 2020","54.82","54.10","55.23","54.05","2.94M","3.57%"
"Nov 06, 2020","52.93","53.44","53.61","52.52","3.18M","-0.56%"
"Nov 05, 2020","53.23","54.81","54.88","53.16","2.92M","-2.13%"
"Nov 04, 2020","54.39","54.25","54.83","53.72","2.78M","1.27%"
"Nov 03, 2020","53.71","53.64","54.26","53.55","925.66K","0.34%"
"Nov 02, 2020","53.53","53.88","53.95","53.28","1.15M","-0.02%"
"Oct 30, 2020","53.54","53.89","53.90","53.19","1.45M","-0.98%"
"Oct 29, 2020","54.07","54.05","54.34","53.69","1.13M","0.26%"
"Oct 28, 2020","53.93","54.95","55.09","53.88","1.86M","-2.37%"
"Oct 27, 2020","55.24","55.25","55.42","54.86","1.46M","-0.14%"
"Oct 26, 2020","55.32","55.99","55.99","55.16","1.87M","-1.57%"
"Oct 23, 2020","56.20","56.22","56.48","55.90","890.02K","0.05%"
"Oct 22, 2020","56.17","55.25","56.19","55.18","2.00M","2.13%"
"Oct 21, 2020","55.00","55.18","55.35","54.94","1.98M","-0.47%"
"Oct 20, 2020","55.26","55.46","55.52","54.80","2.74M","0.09%"
"Oct 19, 2020","55.21","56.39","56.39","55.13","2.34M","-1.78%"
"Oct 16, 2020","56.21","56.69","56.84","56.20","1.03M","-0.83%"
"Oct 15, 2020","56.68","55.75","56.77","55.72","2.93M","0.94%"
"Oct 14, 2020","56.15","56.54","56.58","55.56","3.08M","-0.69%"
"Oct 13, 2020","56.54","55.81","56.71","55.80","2.34M","1.51%"
"Oct 09, 2020","55.70","55.77","56.00","55.52","1.98M","-0.18%"
"Oct 08, 2020","55.80","55.38","55.94","55.38","2.40M","0.54%"
"Oct 07, 2020","55.50","55.35","55.61","55.13","1.17M","0.45%"
"Oct 06, 2020","55.25","55.50","55.58","55.05","2.61M","-0.43%"
"Oct 05, 2020","55.49","55.54","55.70","55.07","2.54M","0.07%"
"Oct 02, 2020","55.45","54.73","55.46","54.73","1.50M","0.47%"
"Oct 01, 2020","55.19","55.27","55.40","54.94","1.73M","-0.05%"
"Sep 30, 2020","55.22","55.74","55.87","55.14","2.09M","-0.99%"
"Sep 29, 2020","55.77","55.91","56.06","55.49","1.33M","-0.54%"
"Sep 28, 2020","56.07","55.67","56.17","55.67","4.46M","1.12%"
"Sep 25, 2020","55.45","55.00","55.49","54.69","1.98M","0.73%"
"Sep 24, 2020","55.05","54.79","55.08","54.64","1.22M","0.20%"
"Sep 23, 2020","54.94","55.78","56.00","54.94","1.36M","-1.49%"
"Sep 22, 2020","55.77","55.15","55.98","54.98","2.64M","1.64%"
