"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","215.00","209.00","215.00","209.00","0.37K","3.37%"
"Dec 14, 2020","208.00","206.50","215.00","206.50","1.32K","0.29%"
"Dec 11, 2020","207.40","208.88","208.88","207.40","0.68K","0.17%"
"Dec 10, 2020","207.05","209.30","209.30","207.05","0.21K","-0.10%"
"Dec 09, 2020","207.25","207.25","207.25","207.25","0.24K","0.23%"
"Dec 07, 2020","206.77","206.77","206.77","206.77","0.29K","0.13%"
"Dec 04, 2020","206.50","206.50","206.50","206.50","0.33K","-0.25%"
"Dec 03, 2020","207.01","209.98","209.98","207.01","0.84K","0.11%"
"Nov 30, 2020","206.79","215.00","215.00","206.79","0.69K","0.31%"
"Nov 27, 2020","206.16","215.00","215.00","206.16","0.93K","-2.50%"
"Nov 24, 2020","211.45","208.00","211.45","208.00","0.62K","0.00%"
"Nov 20, 2020","211.45","217.17","217.99","211.45","0.75K","1.66%"
"Nov 19, 2020","208.00","208.00","208.00","208.00","0.60K","-0.95%"
"Nov 18, 2020","210.00","212.00","212.00","210.00","0.42K","0.00%"
"Nov 16, 2020","210.00","208.00","210.00","208.00","0.28K","0.96%"
"Nov 13, 2020","208.00","208.00","208.00","208.00","0.30K","-3.26%"
"Nov 12, 2020","215.00","210.50","215.00","210.50","0.45K","0.94%"
"Nov 11, 2020","213.00","212.50","214.95","210.75","1.17K","0.95%"
"Nov 10, 2020","211.00","211.00","211.00","211.00","0.24K","0.95%"
"Nov 09, 2020","209.01","204.67","212.00","204.67","1.54K","2.12%"
"Nov 06, 2020","204.67","211.99","212.00","204.67","0.90K","-2.54%"
"Nov 05, 2020","210.00","212.00","212.00","208.00","0.97K","3.48%"
"Nov 04, 2020","202.94","202.79","202.94","202.79","0.24K","0.09%"
"Nov 03, 2020","202.75","202.75","202.75","202.75","0.15K","0.05%"
"Oct 30, 2020","202.65","204.35","213.75","202.65","0.94K","-0.87%"
"Oct 29, 2020","204.42","204.42","204.42","204.42","0.13K","0.03%"
"Oct 28, 2020","204.36","204.36","204.36","204.36","0.22K","-0.80%"
"Oct 27, 2020","206.00","206.00","206.00","206.00","0.15K","-0.05%"
"Oct 23, 2020","206.10","215.99","215.99","206.10","1.20K","0.05%"
"Oct 20, 2020","206.00","206.00","206.00","206.00","0.28K","-2.28%"
"Oct 19, 2020","210.80","210.80","210.80","210.80","0.49K","-1.50%"
"Oct 16, 2020","214.00","204.01","214.00","204.01","0.37K","5.29%"
"Oct 15, 2020","203.25","203.61","203.61","203.25","0.36K","-5.47%"
"Oct 14, 2020","215.00","204.50","215.00","204.50","0.66K","5.83%"
"Oct 13, 2020","203.15","212.00","212.00","203.15","0.74K","-0.90%"
"Oct 09, 2020","205.00","205.01","205.50","205.00","0.85K","-0.49%"
"Oct 08, 2020","206.00","205.99","206.00","205.99","0.26K","0.48%"
"Oct 06, 2020","205.02","205.02","205.02","205.02","0.18K","-0.75%"
"Oct 02, 2020","206.56","206.56","206.56","206.56","0.12K","0.49%"
"Sep 30, 2020","205.55","213.00","213.00","205.55","0.40K","-3.72%"
"Sep 28, 2020","213.50","214.49","214.49","205.00","1.30K","-1.46%"
"Sep 23, 2020","216.66","200.66","216.66","200.66","0.38K","5.69%"
"Sep 22, 2020","205.00","205.00","205.00","205.00","0.19K","2.49%"
"Sep 21, 2020","200.01","204.99","204.99","200.01","0.29K","-2.51%"
"Sep 16, 2020","205.15","205.15","205.15","205.15","0.27K","-4.09%"
"Sep 15, 2020","213.89","205.01","213.89","205.01","0.49K","5.36%"
"Sep 14, 2020","203.00","209.00","213.00","203.00","0.61K","-7.04%"
"Sep 10, 2020","218.38","218.38","218.38","218.38","0.12K","1.33%"
"Sep 02, 2020","215.51","215.51","215.51","215.51","0.23K","-0.11%"
"Sep 01, 2020","215.75","213.33","215.75","213.00","0.56K","-1.93%"
"Aug 31, 2020","220.00","212.15","220.00","211.00","2.02K","2.18%"
"Aug 27, 2020","215.31","215.35","215.35","214.00","0.51K","1.46%"
"Aug 26, 2020","212.22","212.22","212.22","212.22","0.28K","-1.29%"
"Aug 25, 2020","215.00","215.00","215.00","215.00","0.32K","0.00%"
"Aug 24, 2020","215.00","213.95","215.00","213.95","0.37K","0.00%"
"Aug 21, 2020","214.99","215.00","215.00","214.99","0.24K","-0.00%"
"Aug 20, 2020","215.00","215.00","215.00","215.00","0.23K","0.59%"
"Aug 19, 2020","213.73","213.73","213.73","213.73","0.22K","-1.51%"
"Aug 18, 2020","217.00","217.00","217.10","217.00","0.80K","1.66%"
"Aug 17, 2020","213.46","213.46","213.46","213.46","0.24K","-1.83%"
"Aug 14, 2020","217.45","212.15","217.45","212.15","0.42K","-2.48%"
"Aug 13, 2020","222.98","222.98","222.98","222.98","0.20K","5.32%"
"Aug 12, 2020","211.71","215.01","215.25","211.71","0.52K","-3.28%"
"Aug 11, 2020","218.88","223.00","223.00","218.88","0.35K","-0.51%"
"Aug 07, 2020","220.00","219.75","220.00","212.35","0.82K","4.27%"
"Aug 06, 2020","211.00","218.99","218.99","211.00","0.58K","-4.09%"
"Aug 05, 2020","220.00","216.00","220.00","216.00","0.59K","3.78%"
"Aug 04, 2020","211.99","212.00","212.00","211.99","0.49K","1.43%"
"Jul 29, 2020","209.00","209.00","209.00","209.00","0.37K","-2.79%"
"Jul 27, 2020","214.99","214.99","214.99","214.99","0.40K","-0.47%"
"Jul 24, 2020","216.00","211.50","216.58","211.50","0.47K","-0.23%"
"Jul 22, 2020","216.50","216.50","216.50","216.50","0.28K","-2.26%"
"Jul 21, 2020","221.50","221.50","221.50","221.50","0.30K","8.05%"
"Jul 20, 2020","205.00","205.00","205.00","205.00","0.29K","-5.09%"
"Jul 17, 2020","216.00","220.36","220.99","216.00","1.02K","1.01%"
"Jul 16, 2020","213.83","210.06","221.21","210.06","0.60K","1.79%"
"Jul 15, 2020","210.06","210.06","210.06","210.06","0.13K","0.29%"
"Jul 13, 2020","209.46","209.16","209.46","209.16","0.75K","-3.03%"
"Jul 09, 2020","216.00","216.00","216.00","216.00","0.50K","0.00%"
"Jul 08, 2020","216.00","216.00","216.00","210.10","0.60K","0.93%"
"Jul 07, 2020","214.00","223.75","223.75","210.50","1.00K","2.39%"
"Jul 06, 2020","209.00","214.02","214.02","209.00","1.46K","-2.34%"
"Jul 03, 2020","214.00","214.00","214.00","214.00","0.14K","1.25%"
"Jul 02, 2020","211.36","225.00","225.00","211.36","0.32K","-3.93%"
"Jun 29, 2020","220.00","208.11","220.00","208.11","0.45K","-2.21%"
"Jun 26, 2020","224.97","208.00","225.00","208.00","0.59K","0.21%"
"Jun 24, 2020","224.49","208.01","225.00","208.01","0.87K","2.04%"
"Jun 23, 2020","220.00","224.79","225.00","220.00","0.94K","7.32%"
