"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","216.40","215.00","217.00","212.49","36.62K","1.76%"
"Dec 14, 2020","212.65","210.51","214.93","210.30","74.70K","1.58%"
"Dec 11, 2020","209.35","205.31","209.62","203.85","54.73K","1.48%"
"Dec 10, 2020","206.29","202.09","206.43","201.03","46.95K","0.53%"
"Dec 09, 2020","205.20","207.33","207.33","200.03","89.89K","-0.87%"
"Dec 08, 2020","207.00","210.00","210.87","206.61","69.65K","-1.41%"
"Dec 07, 2020","209.97","215.50","215.80","208.50","112.35K","-2.69%"
"Dec 04, 2020","215.77","214.75","216.29","213.57","158.23K","-0.12%"
"Dec 03, 2020","216.02","211.02","217.00","211.01","106.88K","1.69%"
"Dec 02, 2020","212.42","211.03","212.42","207.80","58.44K","-0.04%"
"Dec 01, 2020","212.50","216.00","219.51","210.65","184.11K","-4.35%"
"Nov 30, 2020","222.17","218.00","224.72","216.55","103.46K","2.33%"
"Nov 27, 2020","217.12","219.94","219.98","212.00","97.19K","-0.86%"
"Nov 26, 2020","219.00","214.48","220.00","210.50","89.41K","3.54%"
"Nov 25, 2020","211.51","201.09","211.89","199.66","155.82K","5.40%"
"Nov 24, 2020","200.68","204.78","205.38","194.40","160.42K","-1.69%"
"Nov 23, 2020","204.13","209.05","209.87","202.33","57.13K","-1.41%"
"Nov 20, 2020","207.05","207.39","208.72","203.00","48.93K","-0.37%"
"Nov 19, 2020","207.81","209.00","209.40","203.40","65.01K","-0.05%"
"Nov 18, 2020","207.91","212.50","218.08","206.00","65.40K","-2.16%"
"Nov 17, 2020","212.49","216.58","216.65","211.82","61.92K","-0.40%"
"Nov 16, 2020","213.34","214.83","215.04","211.50","39.60K","-0.49%"
"Nov 13, 2020","214.39","214.21","217.34","212.90","53.25K","1.93%"
"Nov 12, 2020","210.33","209.45","213.00","206.70","97.12K","3.01%"
"Nov 11, 2020","204.18","203.88","208.09","199.90","127.16K","-0.10%"
"Nov 10, 2020","204.39","211.91","215.54","199.13","115.00K","-2.80%"
"Nov 09, 2020","210.28","250.00","250.01","205.74","239.17K","-13.30%"
"Nov 06, 2020","242.55","247.88","247.88","241.32","36.69K","-1.27%"
"Nov 05, 2020","245.68","246.90","247.47","242.50","33.74K","2.30%"
"Nov 04, 2020","240.15","240.34","246.46","236.22","47.83K","-0.32%"
"Nov 03, 2020","240.92","228.00","243.36","227.99","99.57K","7.36%"
"Nov 02, 2020","224.40","220.06","226.39","218.96","100.40K","2.55%"
