"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","53.66","54.09","54.29","53.47","346.49K","-0.52%"
"Dec 14, 2020","53.94","53.98","54.67","53.88","875.03K","0.82%"
"Dec 11, 2020","53.50","54.00","54.62","53.35","1.03M","-1.76%"
"Dec 10, 2020","54.46","55.10","55.10","54.20","581.32K","-0.98%"
"Dec 09, 2020","55.00","54.58","55.45","53.53","1.39M","3.02%"
"Dec 08, 2020","53.39","53.08","53.52","53.04","446.85K","0.00%"
"Dec 07, 2020","53.39","53.79","54.06","53.24","722.40K","-1.06%"
"Dec 04, 2020","53.96","54.41","54.59","53.79","580.73K","-0.48%"
"Dec 03, 2020","54.22","53.85","55.45","53.78","1.11M","0.00%"
"Dec 02, 2020","54.22","52.86","54.25","52.78","867.49K","2.73%"
"Dec 01, 2020","52.78","53.36","53.78","52.64","1.04M","-0.71%"
"Nov 30, 2020","53.16","52.56","53.16","51.91","1.95M","0.82%"
"Nov 27, 2020","52.73","51.93","52.96","51.92","422.46K","1.48%"
"Nov 26, 2020","51.96","51.45","52.01","51.37","180.46K","1.01%"
"Nov 25, 2020","51.44","52.24","52.49","51.43","375.73K","-1.02%"
"Nov 24, 2020","51.97","50.63","52.29","50.48","1.08M","3.12%"
"Nov 23, 2020","50.40","50.31","50.87","50.27","621.19K","-0.59%"
"Nov 20, 2020","50.70","50.12","50.85","49.72","421.51K","1.42%"
"Nov 19, 2020","49.99","49.22","50.17","48.97","765.93K","1.56%"
"Nov 18, 2020","49.22","50.04","50.04","49.14","976.78K","-1.82%"
"Nov 17, 2020","50.13","50.01","50.20","49.60","828.16K","-0.42%"
"Nov 16, 2020","50.34","49.45","50.55","48.64","2.90M","1.86%"
"Nov 13, 2020","49.42","48.92","49.75","48.74","779.85K","1.44%"
"Nov 12, 2020","48.72","49.27","49.54","48.48","833.89K","-0.69%"
"Nov 11, 2020","49.06","49.53","49.90","48.90","665.52K","-0.83%"
"Nov 10, 2020","49.47","48.77","49.97","48.77","546.55K","0.84%"
"Nov 09, 2020","49.06","50.00","51.01","48.40","821.30K","0.08%"
"Nov 06, 2020","49.02","49.50","49.97","48.46","932.70K","-1.74%"
"Nov 05, 2020","49.89","47.80","50.02","47.65","1.39M","5.54%"
"Nov 04, 2020","47.27","47.29","47.40","46.66","695.26K","1.63%"
"Nov 03, 2020","46.51","46.27","46.72","46.05","497.22K","1.00%"
"Nov 02, 2020","46.05","46.00","46.44","45.42","508.82K","0.37%"
"Oct 30, 2020","45.88","46.23","46.23","45.44","578.51K","-1.18%"
"Oct 29, 2020","46.43","46.48","46.94","45.96","985.02K","-0.32%"
"Oct 28, 2020","46.58","47.41","47.81","46.47","606.64K","-2.96%"
"Oct 27, 2020","48.00","49.07","49.07","47.69","1.02M","-1.58%"
"Oct 26, 2020","48.77","49.49","49.49","48.41","509.50K","-1.87%"
"Oct 23, 2020","49.70","50.43","50.80","49.56","999.08K","-1.37%"
"Oct 22, 2020","50.39","51.09","51.42","50.39","564.44K","-1.60%"
"Oct 21, 2020","51.21","51.38","51.64","51.14","249.70K","-0.35%"
"Oct 20, 2020","51.39","51.70","51.75","51.05","380.16K","-0.02%"
"Oct 19, 2020","51.40","51.10","51.75","50.84","606.83K","0.53%"
"Oct 16, 2020","51.13","51.79","52.02","51.11","607.83K","-1.58%"
"Oct 15, 2020","51.95","51.46","52.08","51.07","834.26K","-0.04%"
"Oct 14, 2020","51.97","51.94","52.41","51.75","488.14K","0.43%"
"Oct 13, 2020","51.75","52.15","52.15","51.31","387.41K","0.02%"
"Oct 09, 2020","51.74","51.72","52.27","51.59","428.14K","0.17%"
"Oct 08, 2020","51.65","52.69","52.88","51.53","646.74K","-1.71%"
"Oct 07, 2020","52.55","52.24","52.76","51.99","417.78K","0.69%"
"Oct 06, 2020","52.19","52.15","52.65","51.91","753.51K","0.44%"
"Oct 05, 2020","51.96","51.29","51.96","51.04","553.42K","1.58%"
"Oct 02, 2020","51.15","51.04","51.26","50.69","389.99K","-0.54%"
"Oct 01, 2020","51.43","51.30","51.58","50.93","387.06K","0.76%"
"Sep 30, 2020","51.04","50.99","51.41","50.60","685.61K","0.18%"
"Sep 29, 2020","50.95","51.23","51.31","50.79","335.04K","-0.78%"
"Sep 28, 2020","51.35","50.99","51.40","50.72","1.34M","1.42%"
"Sep 25, 2020","50.63","50.52","50.67","49.96","370.90K","0.28%"
"Sep 24, 2020","50.49","49.05","50.86","49.05","714.77K","2.29%"
"Sep 23, 2020","49.36","50.05","50.12","49.20","1.22M","-1.10%"
"Sep 22, 2020","49.91","49.00","50.04","48.98","548.18K","1.84%"
"Sep 21, 2020","49.01","48.61","49.12","48.04","315.17K","-0.33%"
"Sep 18, 2020","49.17","49.46","49.46","48.87","1.73M","-0.22%"
"Sep 17, 2020","49.28","48.76","49.49","48.76","545.80K","0.63%"
"Sep 16, 2020","48.97","50.18","50.23","48.97","489.77K","-2.26%"
"Sep 15, 2020","50.10","49.63","50.29","49.19","563.48K","1.13%"
"Sep 14, 2020","49.54","49.50","49.79","49.14","648.35K","0.08%"
"Sep 11, 2020","49.50","49.40","49.68","49.20","541.88K","0.36%"
"Sep 10, 2020","49.32","49.39","49.54","48.88","522.35K","0.43%"
"Sep 09, 2020","49.11","49.18","49.48","48.97","348.11K","0.70%"
"Sep 08, 2020","48.77","48.94","49.49","48.61","466.47K","-1.32%"
"Sep 04, 2020","49.42","51.08","51.08","49.10","912.08K","-3.12%"
"Sep 03, 2020","51.01","51.51","52.11","50.73","624.81K","-0.84%"
"Sep 02, 2020","51.44","52.25","52.75","50.51","1.20M","-0.48%"
"Sep 01, 2020","51.69","51.02","51.96","50.35","614.72K","1.51%"
"Aug 31, 2020","50.92","51.53","52.34","50.87","827.63K","-1.76%"
"Aug 28, 2020","51.83","52.06","52.06","51.04","1.05M","-0.40%"
"Aug 27, 2020","52.04","52.65","52.65","51.43","552.02K","-1.10%"
"Aug 26, 2020","52.62","51.32","52.76","51.31","712.73K","2.23%"
"Aug 25, 2020","51.47","51.99","52.32","51.41","420.97K","-1.08%"
"Aug 24, 2020","52.03","53.26","53.55","52.01","709.46K","-1.57%"
"Aug 21, 2020","52.86","52.97","53.96","52.36","663.81K","-0.47%"
"Aug 20, 2020","53.11","51.35","53.22","51.07","1.09M","3.43%"
"Aug 19, 2020","51.35","49.91","51.36","49.88","1.01M","2.56%"
"Aug 18, 2020","50.07","49.59","50.08","49.25","443.22K","1.09%"
"Aug 17, 2020","49.53","49.45","50.45","49.11","367.33K","0.98%"
"Aug 14, 2020","49.05","48.53","49.08","48.45","360.20K","0.99%"
"Aug 13, 2020","48.57","48.39","48.89","48.25","475.67K","0.35%"
"Aug 12, 2020","48.40","48.90","49.30","48.40","747.65K","-0.92%"
"Aug 11, 2020","48.85","49.16","49.65","48.78","388.74K","-0.51%"
"Aug 10, 2020","49.10","50.19","50.25","48.77","506.28K","-2.05%"
"Aug 07, 2020","50.13","49.96","50.42","49.64","664.33K","0.42%"
"Aug 06, 2020","49.92","49.18","50.04","49.14","636.72K","1.09%"
"Aug 05, 2020","49.38","49.05","49.41","48.88","386.31K","0.51%"
"Aug 04, 2020","49.13","49.32","49.85","48.63","1.12M","0.31%"
"Jul 31, 2020","48.98","48.26","49.01","48.00","677.29K","1.03%"
"Jul 30, 2020","48.48","47.66","48.56","47.59","451.14K","1.00%"
"Jul 29, 2020","48.00","47.90","48.18","47.73","444.14K","0.48%"
"Jul 28, 2020","47.77","47.91","48.58","47.60","669.76K","-0.27%"
"Jul 27, 2020","47.90","47.33","48.13","47.26","374.93K","1.29%"
"Jul 24, 2020","47.29","47.08","47.50","46.86","889.69K","-0.19%"
"Jul 23, 2020","47.38","48.51","48.66","47.36","714.75K","-2.05%"
"Jul 22, 2020","48.37","48.40","48.97","48.11","366.42K","0.50%"
"Jul 21, 2020","48.13","49.47","49.50","48.13","439.59K","-2.73%"
"Jul 20, 2020","49.48","49.60","50.10","48.60","1.00M","-0.24%"
"Jul 17, 2020","49.60","48.90","49.61","48.85","752.65K","1.33%"
"Jul 16, 2020","48.95","48.30","48.95","48.10","1.09M","0.72%"
"Jul 15, 2020","48.60","48.00","48.86","47.90","1.40M","2.42%"
"Jul 14, 2020","47.45","46.50","47.63","46.48","1.32M","1.67%"
"Jul 13, 2020","46.67","46.88","47.17","46.55","678.52K","0.15%"
"Jul 10, 2020","46.60","45.89","47.12","45.50","2.68M","1.41%"
"Jul 09, 2020","45.95","46.40","46.40","45.25","1.62M","-0.63%"
"Jul 08, 2020","46.24","45.67","46.68","45.44","1.17M","1.99%"
"Jul 07, 2020","45.34","45.50","45.80","45.15","495.44K","-0.29%"
"Jul 06, 2020","45.47","45.76","45.83","45.28","1.37M","0.18%"
"Jul 03, 2020","45.39","45.67","45.82","45.23","129.82K","-0.22%"
"Jul 02, 2020","45.49","45.78","45.97","45.31","1.14M","0.73%"
"Jun 30, 2020","45.16","44.93","45.56","44.93","1.09M","-0.09%"
"Jun 29, 2020","45.20","44.62","45.39","44.61","616.23K","1.39%"
"Jun 26, 2020","44.58","45.24","45.42","44.45","520.27K","-1.85%"
"Jun 25, 2020","45.42","45.20","45.43","44.85","467.58K","0.07%"
"Jun 24, 2020","45.39","45.50","45.65","45.21","605.57K","-0.48%"
"Jun 23, 2020","45.61","46.37","46.59","45.52","591.93K","-1.06%"
"Jun 22, 2020","46.10","45.96","46.21","45.46","744.27K","0.07%"
