"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","65.28","65.48","65.65","65.05","473.92K","0.12%"
"Dec 14, 2020","65.20","65.24","65.59","64.92","1.00M","-0.44%"
"Dec 11, 2020","65.49","65.25","65.86","64.97","834.61K","0.43%"
"Dec 10, 2020","65.21","65.68","65.71","65.08","848.57K","-0.93%"
"Dec 09, 2020","65.82","64.28","65.94","63.87","1.22M","2.88%"
"Dec 08, 2020","63.98","63.14","64.40","63.12","1.02M","1.23%"
"Dec 07, 2020","63.20","63.56","63.74","63.15","858.96K","-0.52%"
"Dec 04, 2020","63.53","64.09","64.10","63.41","860.35K","-0.80%"
"Dec 03, 2020","64.04","63.43","64.10","63.31","590.94K","0.79%"
"Dec 02, 2020","63.54","63.50","63.76","63.23","688.80K","-0.09%"
"Dec 01, 2020","63.60","64.37","64.50","63.55","692.16K","-0.93%"
"Nov 30, 2020","64.20","64.60","64.60","63.76","1.19M","-0.16%"
"Nov 27, 2020","64.30","64.03","64.60","63.67","441.31K","0.37%"
"Nov 26, 2020","64.06","64.00","64.17","63.65","202.71K","0.33%"
"Nov 25, 2020","63.85","64.35","64.53","63.71","804.27K","-0.37%"
"Nov 24, 2020","64.09","64.91","64.91","64.04","828.11K","-1.17%"
"Nov 23, 2020","64.85","64.51","64.91","64.15","809.17K","0.92%"
"Nov 20, 2020","64.26","64.40","64.40","63.61","649.88K","-0.03%"
"Nov 19, 2020","64.28","64.08","64.50","63.71","560.32K","0.22%"
"Nov 18, 2020","64.14","65.15","65.17","64.01","1.18M","-1.58%"
"Nov 17, 2020","65.17","65.10","65.40","64.96","1.16M","-0.12%"
"Nov 16, 2020","65.25","65.70","66.02","65.11","1.56M","-0.68%"
"Nov 13, 2020","65.70","67.20","67.25","65.50","1.30M","-2.81%"
"Nov 12, 2020","67.60","67.94","68.53","67.31","736.45K","1.41%"
"Nov 11, 2020","66.66","66.04","66.71","65.74","653.51K","1.03%"
"Nov 10, 2020","65.98","66.02","66.44","65.83","856.71K","-0.03%"
"Nov 09, 2020","66.00","67.25","67.85","65.98","976.03K","-0.90%"
"Nov 06, 2020","66.60","65.86","66.79","65.77","894.77K","1.11%"
"Nov 05, 2020","65.87","66.23","66.53","65.50","997.39K","-0.39%"
"Nov 04, 2020","66.13","66.20","66.91","66.01","1.01M","0.39%"
