"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 14, 2020","61.30","62.30","62.30","61.30","0.40K","-0.16%"
"Dec 11, 2020","61.40","61.39","61.40","61.39","0.36K","-0.63%"
"Dec 10, 2020","61.79","62.38","62.59","61.23","2.52K","-1.28%"
"Dec 09, 2020","62.59","62.59","62.59","62.59","0.14K","0.66%"
"Dec 08, 2020","62.18","61.10","62.20","61.05","0.64K","-0.35%"
"Dec 07, 2020","62.40","62.06","62.45","62.05","1.84K","0.73%"
"Dec 04, 2020","61.95","62.37","63.00","61.95","0.38K","-1.59%"
"Dec 03, 2020","62.95","60.87","62.95","60.87","0.80K","1.37%"
"Dec 02, 2020","62.10","61.49","62.10","61.40","0.78K","0.24%"
"Dec 01, 2020","61.95","63.35","63.35","61.06","1.44K","-1.59%"
"Nov 30, 2020","62.95","62.90","62.95","60.77","1.89K","0.02%"
"Nov 27, 2020","62.94","61.70","62.95","61.70","2.00K","0.77%"
"Nov 26, 2020","62.46","63.05","63.05","62.46","0.30K","-1.00%"
"Nov 25, 2020","63.09","62.50","63.13","62.50","0.77K","-0.02%"
"Nov 24, 2020","63.10","61.26","63.10","61.26","0.81K","1.37%"
"Nov 23, 2020","62.25","61.75","62.35","61.75","2.32K","-0.40%"
"Nov 20, 2020","62.50","59.65","62.50","59.65","0.38K","1.21%"
"Nov 19, 2020","61.75","61.75","61.75","61.75","0.43K","-2.12%"
"Nov 18, 2020","63.09","61.31","63.15","61.30","0.97K","1.32%"
"Nov 17, 2020","62.27","61.45","62.27","61.30","1.63K","-0.99%"
"Nov 16, 2020","62.89","62.69","62.89","62.69","0.79K","1.27%"
"Nov 13, 2020","62.10","62.10","62.10","62.10","0.53K","-1.04%"
"Nov 12, 2020","62.75","62.75","62.75","62.75","0.37K","0.48%"
"Nov 11, 2020","62.45","61.69","62.45","61.06","3.97K","1.40%"
"Nov 10, 2020","61.59","59.00","61.59","59.00","2.82K","5.73%"
"Nov 09, 2020","58.25","59.90","59.98","57.75","1.62K","-1.02%"
"Nov 06, 2020","58.85","55.96","59.31","55.96","0.92K","3.57%"
"Nov 05, 2020","56.82","57.17","59.14","56.46","0.89K","0.58%"
"Nov 04, 2020","56.49","56.90","57.80","56.49","0.61K","1.27%"
"Nov 03, 2020","55.78","55.97","55.97","55.39","1.18K","-1.01%"
"Nov 02, 2020","56.35","56.39","56.39","55.40","2.47K","1.33%"
"Oct 30, 2020","55.61","56.00","56.00","54.92","2.43K","-2.44%"
"Oct 29, 2020","57.00","55.69","57.00","55.69","2.08K","-0.42%"
"Oct 28, 2020","57.24","58.00","58.00","56.20","1.53K","-1.31%"
"Oct 27, 2020","58.00","59.63","59.63","58.00","0.66K","-2.19%"
"Oct 26, 2020","59.30","58.99","59.45","58.27","2.28K","0.41%"
"Oct 23, 2020","59.06","60.00","61.50","59.05","2.70K","1.37%"
"Oct 22, 2020","58.26","55.81","59.89","55.81","9.21K","7.69%"
"Oct 21, 2020","54.10","54.64","54.64","54.10","1.52K","-1.64%"
"Oct 20, 2020","55.00","55.70","55.70","55.00","0.59K","-1.61%"
"Oct 19, 2020","55.90","55.99","55.99","55.26","1.97K","0.72%"
"Oct 16, 2020","55.50","55.50","55.50","55.50","0.34K","-0.89%"
"Oct 15, 2020","56.00","55.33","56.00","55.33","1.32K","1.21%"
"Oct 14, 2020","55.33","55.96","55.96","55.13","1.17K","0.05%"
"Oct 13, 2020","55.30","55.99","55.99","55.25","0.80K","-0.40%"
"Oct 09, 2020","55.52","55.52","55.52","55.52","0.18K","1.83%"
"Oct 08, 2020","54.52","54.52","54.52","54.52","0.51K","-0.07%"
"Oct 07, 2020","54.56","55.00","56.23","54.56","0.65K","-2.40%"
"Oct 06, 2020","55.90","55.90","55.90","55.90","0.14K","1.54%"
"Oct 05, 2020","55.05","55.22","55.22","54.40","1.00K","-0.09%"
"Oct 02, 2020","55.10","55.09","55.10","55.09","1.53K","0.00%"
"Oct 01, 2020","55.10","55.10","55.10","55.10","0.56K","0.18%"
"Sep 30, 2020","55.00","55.80","55.80","55.00","0.81K","-0.18%"
"Sep 29, 2020","55.10","54.51","55.10","54.50","1.97K","0.00%"
"Sep 28, 2020","55.10","54.97","55.10","54.80","2.72K","1.57%"
"Sep 25, 2020","54.25","54.55","54.56","53.00","1.59K","-0.42%"
"Sep 24, 2020","54.48","54.50","54.50","54.48","2.10K","-0.06%"
"Sep 23, 2020","54.51","53.00","54.59","53.00","0.42K","-0.82%"
"Sep 22, 2020","54.96","53.00","54.96","53.00","0.98K","3.48%"
"Sep 21, 2020","53.11","54.25","54.25","53.11","0.76K","-2.57%"
"Sep 18, 2020","54.51","55.61","55.61","54.47","0.78K","-3.04%"
"Sep 17, 2020","56.22","55.50","56.22","55.30","1.71K","1.12%"
"Sep 15, 2020","55.60","55.60","55.60","55.60","0.35K","-0.54%"
"Sep 14, 2020","55.90","56.00","56.00","55.50","1.20K","-2.24%"
"Sep 11, 2020","57.18","57.18","57.18","57.18","0.16K","-0.21%"
"Sep 10, 2020","57.30","56.50","57.30","56.50","0.72K","0.35%"
"Sep 09, 2020","57.10","56.80","57.10","56.80","0.60K","-3.15%"
"Sep 08, 2020","58.96","58.96","58.96","58.96","0.21K","-0.03%"
"Sep 04, 2020","58.98","58.99","58.99","58.07","0.87K","-0.03%"
"Sep 02, 2020","59.00","56.49","60.89","56.49","6.62K","6.88%"
"Sep 01, 2020","55.20","54.02","55.20","54.02","0.59K","-1.69%"
"Aug 31, 2020","56.15","56.76","57.46","56.00","3.99K","-3.65%"
"Aug 28, 2020","58.28","57.38","58.45","57.38","1.22K","2.10%"
"Aug 27, 2020","57.08","58.40","58.40","57.08","0.46K","0.05%"
"Aug 26, 2020","57.05","57.00","57.05","57.00","0.82K","-1.65%"
"Aug 25, 2020","58.01","58.40","58.40","58.01","0.25K","-1.01%"
"Aug 24, 2020","58.60","58.75","58.90","57.60","0.82K","0.19%"
"Aug 21, 2020","58.49","57.65","58.49","57.65","0.50K","1.51%"
"Aug 20, 2020","57.62","58.40","58.40","57.62","0.44K","0.03%"
"Aug 19, 2020","57.60","57.75","57.75","57.60","0.55K","0.09%"
"Aug 18, 2020","57.55","57.55","57.55","57.55","0.43K","0.95%"
"Aug 17, 2020","57.01","57.01","57.01","57.01","0.15K","-0.87%"
"Aug 14, 2020","57.51","58.95","58.95","57.50","0.65K","-2.41%"
"Aug 13, 2020","58.93","58.93","58.93","58.93","1.30K","0.17%"
"Aug 12, 2020","58.83","58.71","58.83","58.71","1.37K","-0.17%"
"Aug 11, 2020","58.93","58.98","58.98","58.92","2.43K","0.82%"
"Aug 10, 2020","58.45","58.61","58.61","56.75","1.21K","0.78%"
"Aug 07, 2020","58.00","56.25","59.00","56.25","1.16K","0.26%"
"Aug 06, 2020","57.85","57.50","57.85","57.50","0.32K","-0.26%"
"Aug 05, 2020","58.00","58.00","58.00","57.30","0.58K","0.69%"
"Aug 04, 2020","57.60","56.49","57.70","56.49","2.70K","2.07%"
"Jul 31, 2020","56.43","57.47","57.47","56.43","0.83K","-2.67%"
"Jul 30, 2020","57.98","57.98","57.98","57.98","0.58K","0.00%"
"Jul 29, 2020","57.98","57.50","58.00","57.50","0.48K","0.83%"
"Jul 28, 2020","57.50","57.50","57.50","57.50","0.28K","0.00%"
"Jul 27, 2020","57.50","57.99","57.99","57.48","0.55K","0.93%"
"Jul 24, 2020","56.97","56.00","56.97","56.00","0.25K","0.83%"
"Jul 23, 2020","56.50","58.50","58.64","56.50","1.77K","-3.83%"
"Jul 22, 2020","58.75","56.00","58.80","54.20","3.62K","-0.73%"
"Jul 21, 2020","59.18","56.92","59.18","56.92","0.73K","-0.05%"
