"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","13.25","13.73","13.73","13.25","2.25K","0.00%"
"Dec 14, 2020","13.25","13.25","13.25","13.25","0.37K","-0.38%"
"Dec 08, 2020","13.30","13.25","13.31","13.25","1.00K","0.38%"
"Dec 07, 2020","13.25","13.20","13.25","13.20","16.40K","0.38%"
"Dec 04, 2020","13.20","13.18","13.20","13.18","2.20K","0.00%"
"Dec 03, 2020","13.20","13.20","13.20","13.20","1.30K","0.08%"
"Dec 02, 2020","13.19","12.71","13.25","12.71","19.00K","4.02%"
"Dec 01, 2020","12.68","12.57","12.68","12.57","0.50K","5.32%"
"Nov 30, 2020","12.04","12.04","12.04","12.04","0.20K","-3.68%"
"Nov 27, 2020","12.50","12.33","12.51","12.33","1.70K","0.81%"
"Nov 26, 2020","12.40","12.46","12.46","12.40","0.50K","-0.48%"
"Nov 25, 2020","12.46","12.64","12.64","12.41","3.00K","-0.24%"
"Nov 24, 2020","12.49","12.16","12.49","12.16","7.90K","1.88%"
"Nov 23, 2020","12.26","12.49","12.49","12.26","0.70K","0.25%"
"Nov 20, 2020","12.23","12.40","12.40","12.23","1.95K","-0.16%"
"Nov 19, 2020","12.25","11.23","12.25","11.23","0.44K","-1.21%"
"Nov 18, 2020","12.40","12.39","12.40","12.39","0.50K","1.56%"
"Nov 17, 2020","12.21","12.18","12.21","12.18","2.60K","0.08%"
"Nov 16, 2020","12.20","12.40","12.40","12.11","2.23K","-2.40%"
"Nov 11, 2020","12.50","12.40","12.71","12.40","2.20K","1.21%"
"Nov 09, 2020","12.35","12.35","12.35","12.35","3.00K","2.49%"
"Nov 05, 2020","12.05","12.09","12.09","12.05","0.60K","7.30%"
"Nov 02, 2020","11.23","11.23","11.23","11.23","0.40K","-3.02%"
"Oct 30, 2020","11.58","11.55","11.58","11.55","1.00K","-3.50%"
"Oct 29, 2020","12.00","12.00","12.00","12.00","2.80K","-5.51%"
"Oct 26, 2020","12.70","12.70","12.70","12.70","0.20K","4.96%"
"Oct 23, 2020","12.10","12.10","12.10","12.10","0.70K","-1.22%"
"Oct 20, 2020","12.25","12.25","12.25","12.25","0.20K","2.08%"
"Oct 19, 2020","12.00","12.00","12.00","12.00","0.50K","0.42%"
"Oct 16, 2020","11.95","11.95","11.95","11.95","0.60K","0.25%"
"Oct 15, 2020","11.92","12.25","12.25","11.92","0.40K","-6.80%"
"Oct 09, 2020","12.79","11.91","12.79","11.91","1.40K","1.51%"
"Oct 08, 2020","12.60","12.01","12.68","12.00","7.19K","5.09%"
"Oct 07, 2020","11.99","11.99","11.99","11.99","1.70K","2.92%"
"Oct 06, 2020","11.65","11.65","11.65","11.65","1.40K","0.00%"
"Oct 05, 2020","11.65","11.65","11.65","11.65","0.50K","0.00%"
"Oct 01, 2020","11.65","11.65","11.65","11.65","2.00K","0.00%"
"Sep 29, 2020","11.65","11.55","11.65","11.55","2.20K","0.00%"
"Sep 25, 2020","11.65","11.65","11.65","11.65","1.20K","0.00%"
"Sep 24, 2020","11.65","11.65","11.65","11.65","0.90K","0.43%"
"Sep 22, 2020","11.60","11.57","11.65","11.57","4.90K","0.35%"
"Sep 21, 2020","11.56","11.65","11.65","11.56","1.30K","0.52%"
"Sep 15, 2020","11.50","11.49","11.50","11.49","3.20K","-1.29%"
"Sep 11, 2020","11.65","11.80","11.80","11.65","1.10K","0.00%"
"Sep 09, 2020","11.65","11.85","11.85","11.65","2.40K","-2.10%"
"Sep 08, 2020","11.90","11.90","11.90","11.90","0.20K","-0.17%"
"Sep 04, 2020","11.92","11.92","11.92","11.92","0.10K","0.00%"
"Sep 03, 2020","11.92","11.93","11.93","11.92","0.30K","-0.67%"
"Sep 01, 2020","12.00","11.86","12.00","11.86","0.90K","1.27%"
"Aug 27, 2020","11.85","11.85","11.85","11.85","4.50K","-1.25%"
"Aug 26, 2020","12.00","11.90","12.00","11.90","1.20K","1.69%"
"Aug 25, 2020","11.80","11.77","11.80","11.65","158.60K","2.43%"
"Aug 19, 2020","11.52","11.52","11.52","11.52","0.10K","0.17%"
"Aug 18, 2020","11.50","11.50","11.50","11.50","0.30K","0.00%"
"Aug 14, 2020","11.50","11.50","11.50","11.50","0.40K","-0.43%"
"Aug 12, 2020","11.55","11.57","11.57","11.55","2.10K","2.12%"
"Aug 06, 2020","11.31","11.31","11.31","11.31","1.40K","-0.79%"
"Jul 31, 2020","11.40","11.40","11.40","11.40","0.10K","0.00%"
"Jul 29, 2020","11.40","11.40","11.40","11.40","0.40K","-3.39%"
"Jul 24, 2020","11.80","11.80","11.80","11.80","0.20K","2.61%"
"Jul 23, 2020","11.50","11.60","11.60","11.50","2.69K","0.00%"
"Jul 22, 2020","11.50","11.50","11.50","11.50","0.10K","-1.63%"
"Jul 21, 2020","11.69","11.15","11.69","11.15","0.70K","7.44%"
"Jul 17, 2020","10.88","10.88","10.88","10.88","0.50K","0.00%"
"Jul 16, 2020","10.88","11.00","11.00","10.88","0.75K","0.09%"
"Jul 15, 2020","10.87","10.87","10.87","10.87","0.20K","3.23%"
"Jul 14, 2020","10.53","10.53","10.53","10.53","0.80K","0.29%"
"Jul 10, 2020","10.50","10.55","10.55","10.50","0.80K","-0.94%"
"Jul 09, 2020","10.60","10.59","10.60","10.59","0.91K","0.28%"
"Jul 03, 2020","10.57","10.57","10.57","10.57","0.65K","-0.84%"
"Jun 30, 2020","10.66","10.66","10.66","10.66","1.70K","-2.74%"
"Jun 24, 2020","10.96","11.25","11.25","10.96","0.43K","-3.86%"
"Jun 23, 2020","11.40","11.40","11.40","11.40","0.28K","3.45%"
"Jun 22, 2020","11.02","11.08","11.08","11.02","1.75K","-3.50%"
"Jun 19, 2020","11.42","11.25","11.42","10.24","7.58K","1.51%"
"Jun 18, 2020","11.25","11.26","11.26","11.25","0.81K","-1.14%"
"Jun 17, 2020","11.38","11.25","11.38","11.25","2.10K","2.43%"
"Jun 16, 2020","11.11","11.04","11.25","11.04","0.80K","-1.24%"
"Jun 15, 2020","11.25","11.25","11.25","11.25","0.20K","2.18%"
"Jun 12, 2020","11.01","11.01","11.03","11.01","0.80K","-0.81%"
"Jun 11, 2020","11.10","11.11","11.11","11.10","0.30K","-0.45%"
"Jun 10, 2020","11.15","11.66","11.66","11.15","1.51K","0.00%"
"Jun 09, 2020","11.15","11.15","11.15","11.15","0.10K","1.36%"
"Jun 08, 2020","11.00","11.00","11.00","11.00","0.88K","-1.08%"
"Jun 05, 2020","11.12","11.13","11.13","11.12","1.60K","0.09%"
"Jun 04, 2020","11.11","11.00","11.11","11.00","1.10K","1.83%"
"Jun 03, 2020","10.91","11.01","11.01","10.91","0.93K","-2.59%"
"Jun 02, 2020","11.20","10.89","11.20","10.86","2.60K","-1.75%"
"May 29, 2020","11.40","11.40","11.40","11.40","0.30K","3.64%"
"May 28, 2020","11.00","11.45","11.88","11.00","1.55K","-4.35%"
"May 27, 2020","11.50","11.50","11.50","11.50","0.10K","6.19%"
"May 26, 2020","10.83","11.02","11.02","10.83","1.00K","-5.41%"
"May 21, 2020","11.45","11.45","11.45","11.45","0.90K","1.78%"
"May 20, 2020","11.25","11.25","11.25","11.25","1.00K","0.00%"
"May 19, 2020","11.25","11.25","11.25","11.25","0.11K","2.27%"
"May 15, 2020","11.00","11.01","11.01","11.00","2.21K","0.00%"
"May 14, 2020","11.00","11.35","11.35","11.00","3.12K","-0.18%"
"May 13, 2020","11.02","11.20","11.25","11.02","2.18K","-1.61%"
"May 12, 2020","11.20","11.40","11.40","11.20","1.27K","-0.44%"
"May 11, 2020","11.25","11.26","11.26","11.25","1.11K","-7.64%"
"May 08, 2020","12.18","12.18","12.18","12.18","0.10K","8.75%"
"May 07, 2020","11.20","11.20","11.20","11.20","12.00K","-0.44%"
