"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","130.13","129.89","130.62","128.81","1.53M","0.60%"
"Dec 14, 2020","129.36","131.59","132.93","129.25","5.30M","-1.42%"
"Dec 11, 2020","131.23","130.57","131.63","129.69","2.41M","0.51%"
"Dec 10, 2020","130.56","130.72","131.85","130.08","4.16M","-0.43%"
"Dec 09, 2020","131.12","133.35","133.35","130.57","3.66M","-1.52%"
"Dec 08, 2020","133.15","132.79","133.35","131.83","2.44M","0.14%"
"Dec 07, 2020","132.96","132.07","133.04","132.07","2.64M","0.88%"
"Dec 04, 2020","131.80","131.63","131.98","130.68","2.03M","0.46%"
"Dec 03, 2020","131.19","131.97","132.97","131.15","3.59M","-1.46%"
"Dec 02, 2020","133.14","133.68","134.18","132.41","2.93M","-0.44%"
"Dec 01, 2020","133.73","133.35","133.85","132.25","3.97M","0.59%"
"Nov 30, 2020","132.94","131.90","133.05","130.13","5.32M","0.79%"
"Nov 27, 2020","131.90","129.12","132.47","128.87","2.28M","2.45%"
"Nov 25, 2020","128.74","128.79","129.63","127.75","3.56M","0.53%"
"Nov 24, 2020","128.06","127.52","129.02","125.77","4.69M","0.14%"
"Nov 23, 2020","127.88","130.04","130.04","126.91","4.18M","-1.39%"
"Nov 20, 2020","129.68","129.66","130.34","128.36","4.39M","0.38%"
"Nov 19, 2020","129.19","127.30","130.21","127.28","2.43M","1.05%"
"Nov 18, 2020","127.85","129.20","130.50","127.84","3.22M","-0.89%"
"Nov 17, 2020","129.00","130.27","132.08","128.77","3.65M","0.27%"
"Nov 16, 2020","128.65","129.73","129.79","127.57","3.44M","0.33%"
"Nov 13, 2020","128.23","127.33","128.52","126.31","3.40M","1.12%"
"Nov 12, 2020","126.81","125.41","127.80","124.73","3.33M","1.33%"
"Nov 11, 2020","125.15","122.33","126.01","122.04","3.93M","2.82%"
"Nov 10, 2020","121.72","119.09","123.18","118.80","4.45M","-0.86%"
"Nov 09, 2020","122.78","125.49","126.82","122.60","6.19M","-0.63%"
"Nov 06, 2020","123.56","127.00","127.03","122.71","8.93M","5.37%"
"Nov 05, 2020","117.26","118.45","119.28","116.38","7.67M","1.07%"
"Nov 04, 2020","116.02","113.92","116.88","112.86","5.03M","4.41%"
"Nov 03, 2020","111.12","111.25","112.39","110.71","3.34M","0.66%"
"Nov 02, 2020","110.39","111.14","111.14","108.75","3.15M","0.75%"
"Oct 30, 2020","109.57","108.86","109.76","107.56","4.04M","0.05%"
"Oct 29, 2020","109.51","109.17","111.04","109.00","2.90M","-0.26%"
"Oct 28, 2020","109.80","111.16","111.89","109.68","3.66M","-2.68%"
"Oct 27, 2020","112.82","111.31","113.54","111.31","2.63M","0.93%"
"Oct 26, 2020","111.78","111.18","112.04","110.02","2.76M","-0.53%"
"Oct 23, 2020","112.38","112.50","112.62","110.90","2.27M","0.66%"
"Oct 22, 2020","111.64","112.77","113.76","110.88","3.56M","-0.69%"
"Oct 21, 2020","112.42","112.74","113.76","112.25","3.03M","-0.57%"
"Oct 20, 2020","113.07","113.90","114.20","112.72","2.74M","0.28%"
"Oct 19, 2020","112.75","115.42","115.55","112.15","3.04M","-1.92%"
"Oct 16, 2020","114.96","115.81","116.78","114.85","3.76M","-0.29%"
"Oct 15, 2020","115.30","114.66","116.08","114.10","3.29M","-1.17%"
"Oct 14, 2020","116.67","121.80","121.80","116.45","6.64M","-4.03%"
"Oct 13, 2020","121.57","121.06","123.42","120.08","5.33M","1.25%"
"Oct 12, 2020","120.07","118.27","121.36","117.48","6.50M","2.42%"
"Oct 09, 2020","117.23","115.58","117.52","115.52","3.34M","1.51%"
"Oct 08, 2020","115.49","114.61","115.58","114.33","2.25M","1.11%"
"Oct 07, 2020","114.22","112.96","114.51","112.96","3.37M","1.57%"
"Oct 06, 2020","112.45","113.61","114.47","111.80","3.34M","-2.05%"
