"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","171.64","170.99","172.78","170.81","2.12M","0.38%"
"Dec 14, 2020","170.99","172.35","172.85","170.20","4.02M","-0.42%"
"Dec 11, 2020","171.71","171.50","172.75","171.07","2.68M","-0.40%"
"Dec 10, 2020","172.40","173.75","174.10","172.07","2.64M","-0.96%"
"Dec 09, 2020","174.07","173.43","174.88","172.45","2.85M","0.78%"
"Dec 08, 2020","172.72","172.34","173.73","171.75","2.68M","-0.11%"
"Dec 07, 2020","172.91","174.75","174.75","171.41","3.43M","-1.21%"
"Dec 04, 2020","175.03","174.38","175.16","173.23","2.94M","0.06%"
"Dec 03, 2020","174.92","176.47","176.47","173.85","4.21M","-0.84%"
"Dec 02, 2020","176.41","177.95","178.14","175.53","3.11M","-1.47%"
"Dec 01, 2020","179.05","179.81","181.17","177.10","4.91M","-0.27%"
"Nov 30, 2020","179.53","179.09","179.88","176.30","8.01M","-0.13%"
"Nov 27, 2020","179.77","180.81","181.11","178.95","2.37M","-0.03%"
"Nov 25, 2020","179.82","177.73","180.48","177.35","3.78M","1.10%"
"Nov 24, 2020","177.86","179.65","179.77","177.13","4.69M","0.17%"
"Nov 23, 2020","177.56","174.25","178.99","173.59","5.76M","3.05%"
"Nov 20, 2020","172.31","172.22","174.41","171.45","6.66M","0.55%"
"Nov 19, 2020","171.37","168.50","173.40","167.98","6.83M","2.71%"
"Nov 18, 2020","166.85","165.94","172.08","164.71","13.09M","2.34%"
"Nov 17, 2020","163.04","163.57","164.69","160.58","6.30M","-1.30%"
"Nov 16, 2020","165.18","164.77","165.96","163.35","5.04M","1.41%"
"Nov 13, 2020","162.88","160.99","163.45","160.60","2.77M","2.10%"
"Nov 12, 2020","159.53","160.19","160.91","158.70","2.71M","-0.10%"
"Nov 11, 2020","159.69","159.38","162.51","158.91","3.34M","1.02%"
"Nov 10, 2020","158.07","157.28","158.90","156.60","3.58M","2.04%"
"Nov 09, 2020","154.91","163.15","163.16","154.81","5.09M","-4.08%"
"Nov 06, 2020","161.50","158.65","161.90","158.53","3.50M","1.81%"
"Nov 05, 2020","158.63","159.74","159.84","156.59","3.11M","1.28%"
"Nov 04, 2020","156.62","157.78","159.46","155.26","3.16M","-0.07%"
"Nov 03, 2020","156.73","155.98","158.71","155.48","2.55M","1.52%"
"Nov 02, 2020","154.39","153.74","155.03","152.82","2.67M","1.43%"
"Oct 30, 2020","152.22","153.32","154.14","150.80","3.69M","-1.32%"
"Oct 29, 2020","154.25","155.24","156.09","153.37","2.16M","-0.62%"
"Oct 28, 2020","155.21","154.51","157.21","154.14","2.66M","-1.16%"
"Oct 27, 2020","157.03","158.02","158.88","156.68","2.41M","-0.60%"
"Oct 26, 2020","157.97","159.03","159.35","156.32","2.31M","-1.41%"
"Oct 23, 2020","160.23","160.39","160.39","158.81","1.82M","0.39%"
"Oct 22, 2020","159.60","163.13","163.19","159.37","3.65M","-2.26%"
"Oct 21, 2020","163.29","165.93","166.05","162.98","3.03M","-0.96%"
"Oct 20, 2020","164.87","164.75","167.41","163.87","2.70M","0.50%"
"Oct 19, 2020","164.05","166.24","166.88","163.87","2.32M","-0.53%"
"Oct 16, 2020","164.92","165.91","167.25","164.36","5.05M","-0.33%"
"Oct 15, 2020","165.46","161.57","165.46","161.57","1.86M","0.91%"
"Oct 14, 2020","163.97","166.05","166.05","162.60","2.29M","-1.01%"
"Oct 13, 2020","165.64","164.86","166.64","164.22","2.02M","0.65%"
"Oct 12, 2020","164.57","164.42","165.49","163.63","2.44M","0.53%"
"Oct 09, 2020","163.71","162.20","164.81","162.10","2.58M","1.14%"
"Oct 08, 2020","161.86","162.36","163.32","161.42","2.19M","0.73%"
"Oct 07, 2020","160.68","160.34","161.60","159.68","2.93M","1.43%"
