"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","47.13","47.20","47.42","45.82","13.31M","0.88%"
"Dec 14, 2020","46.72","49.53","49.53","46.71","15.74M","-3.39%"
"Dec 11, 2020","48.36","49.15","49.89","47.64","14.77M","-2.58%"
"Dec 10, 2020","49.64","46.74","49.71","46.73","19.02M","3.37%"
"Dec 09, 2020","48.02","49.75","50.08","46.75","23.33M","-2.08%"
"Dec 08, 2020","49.04","49.03","50.38","48.74","17.80M","-0.33%"
"Dec 07, 2020","49.20","49.27","50.33","48.73","22.36M","-0.08%"
"Dec 04, 2020","49.24","50.49","51.31","48.77","26.30M","-1.34%"
"Dec 03, 2020","49.91","47.70","50.94","47.70","32.55M","6.81%"
"Dec 02, 2020","46.73","45.20","46.73","44.55","17.75M","3.11%"
"Dec 01, 2020","45.32","45.83","46.57","45.23","18.64M","0.60%"
"Nov 30, 2020","45.05","46.47","46.50","44.20","23.20M","-0.55%"
"Nov 27, 2020","45.30","46.20","46.76","45.14","14.10M","-0.74%"
"Nov 25, 2020","45.64","44.49","45.91","43.65","24.25M","1.51%"
"Nov 24, 2020","44.96","42.85","44.99","42.48","29.93M","9.85%"
"Nov 23, 2020","40.93","40.16","41.17","40.06","21.73M","2.58%"
"Nov 20, 2020","39.90","40.71","40.97","39.67","15.60M","-2.54%"
"Nov 19, 2020","40.94","40.95","41.41","40.20","18.56M","-0.27%"
"Nov 18, 2020","41.05","41.45","42.89","41.05","22.48M","1.11%"
"Nov 17, 2020","40.60","40.01","41.10","39.60","19.66M","-0.98%"
"Nov 16, 2020","41.00","42.20","42.20","40.08","28.72M","5.16%"
"Nov 13, 2020","38.99","37.24","39.10","37.08","20.03M","5.81%"
"Nov 12, 2020","36.85","37.39","38.69","36.56","23.54M","-4.31%"
"Nov 11, 2020","38.51","40.06","40.13","38.21","20.04M","-3.85%"
"Nov 10, 2020","40.05","40.45","41.58","39.50","26.60M","-3.07%"
"Nov 09, 2020","41.32","42.00","44.01","39.15","60.94M","19.15%"
"Nov 06, 2020","34.68","34.90","35.15","34.20","13.19M","-1.90%"
"Nov 05, 2020","35.35","33.63","35.46","33.59","16.19M","6.03%"
"Nov 04, 2020","33.34","34.00","34.25","32.96","14.81M","-2.00%"
"Nov 03, 2020","34.02","34.32","34.68","33.76","16.31M","0.71%"
"Nov 02, 2020","33.78","34.08","34.10","32.95","13.90M","-0.24%"
"Oct 30, 2020","33.86","33.15","34.02","32.83","18.80M","0.86%"
"Oct 29, 2020","33.57","32.63","33.75","32.43","17.26M","2.98%"
"Oct 28, 2020","32.60","33.09","33.60","32.16","21.82M","-4.59%"
"Oct 27, 2020","34.17","35.07","35.63","34.15","17.59M","-3.31%"
"Oct 26, 2020","35.34","37.30","37.39","34.68","25.92M","-7.02%"
"Oct 23, 2020","38.01","37.10","38.10","36.52","20.69M","2.07%"
"Oct 22, 2020","37.24","35.86","37.44","35.66","24.75M","4.78%"
"Oct 21, 2020","35.54","35.81","36.14","35.22","16.09M","-1.44%"
"Oct 20, 2020","36.06","36.16","36.58","35.22","22.58M","1.58%"
"Oct 19, 2020","35.50","34.50","36.54","34.46","33.09M","3.92%"
"Oct 16, 2020","34.16","34.31","34.58","33.81","16.21M","-0.26%"
"Oct 15, 2020","34.25","34.90","34.91","33.65","23.65M","-3.82%"
"Oct 14, 2020","35.61","35.26","36.32","35.19","15.06M","0.99%"
"Oct 13, 2020","35.26","35.64","35.94","35.22","17.30M","-3.08%"
"Oct 12, 2020","36.38","36.83","36.99","36.26","20.20M","-1.99%"
"Oct 09, 2020","37.12","37.05","37.80","36.27","25.31M","0.32%"
"Oct 08, 2020","37.00","37.14","37.69","35.86","28.33M","1.70%"
"Oct 07, 2020","36.38","36.43","37.21","35.89","27.68M","4.30%"
"Oct 06, 2020","34.88","36.63","37.07","34.85","28.72M","-3.65%"
"Oct 05, 2020","36.20","36.43","36.58","35.42","18.05M","0.53%"
"Oct 02, 2020","36.01","33.36","36.77","33.27","35.08M","2.36%"
"Oct 01, 2020","35.18","35.23","35.48","34.60","18.97M","1.24%"
"Sep 30, 2020","34.75","34.97","36.22","34.55","29.44M","0.70%"
"Sep 29, 2020","34.51","35.52","35.52","34.25","25.03M","-3.98%"
"Sep 28, 2020","35.94","35.32","36.89","34.68","34.83M","5.09%"
"Sep 25, 2020","34.20","32.56","34.27","32.49","21.46M","4.46%"
"Sep 24, 2020","32.74","32.63","33.40","31.26","24.64M","-1.03%"
"Sep 23, 2020","33.08","34.21","35.05","33.05","21.58M","-2.91%"
"Sep 22, 2020","34.07","34.08","34.64","33.62","16.70M","0.83%"
"Sep 21, 2020","33.79","35.30","35.43","33.19","29.90M","-8.60%"
"Sep 18, 2020","36.97","38.16","38.34","36.68","32.77M","-3.60%"
"Sep 17, 2020","38.35","37.60","39.27","37.16","31.34M","0.13%"
"Sep 16, 2020","38.30","36.90","38.89","36.42","33.30M","4.08%"
"Sep 15, 2020","36.80","36.82","37.88","36.40","21.38M","0.16%"
"Sep 14, 2020","36.74","36.30","36.85","35.84","18.94M","1.86%"
"Sep 11, 2020","36.07","36.63","36.80","35.48","19.20M","-1.04%"
"Sep 10, 2020","36.45","36.35","37.33","36.19","24.91M","1.17%"
"Sep 09, 2020","36.03","36.91","37.01","35.59","25.41M","-3.35%"
"Sep 08, 2020","37.28","37.30","38.47","36.50","33.21M","-2.43%"
"Sep 04, 2020","38.21","38.15","38.74","36.46","33.12M","2.17%"
"Sep 03, 2020","37.40","37.14","39.75","36.14","53.97M","1.38%"
"Sep 02, 2020","36.89","36.03","37.09","35.23","26.62M","2.44%"
"Sep 01, 2020","36.01","35.25","37.24","34.95","29.67M","0.03%"
"Aug 31, 2020","36.00","37.28","37.42","35.74","27.11M","-3.59%"
"Aug 28, 2020","37.34","37.14","37.44","35.89","35.23M","3.09%"
"Aug 27, 2020","36.22","35.50","37.98","35.20","51.05M","5.75%"
"Aug 26, 2020","34.25","35.20","35.51","34.11","23.41M","-2.75%"
"Aug 25, 2020","35.22","36.49","36.91","34.48","39.75M","-3.03%"
"Aug 24, 2020","36.32","33.85","36.38","33.23","50.53M","9.93%"
"Aug 21, 2020","33.04","33.80","34.44","32.98","22.73M","-2.97%"
"Aug 20, 2020","34.05","33.92","34.38","33.20","28.20M","-1.13%"
"Aug 19, 2020","34.44","34.27","36.54","34.14","40.59M","1.35%"
"Aug 18, 2020","33.98","34.20","34.85","33.59","19.07M","-1.22%"
"Aug 17, 2020","34.40","36.18","36.18","34.36","22.57M","-4.92%"
"Aug 14, 2020","36.18","35.35","36.57","35.20","28.38M","1.03%"
"Aug 13, 2020","35.81","35.74","37.52","35.54","35.46M","-1.62%"
"Aug 12, 2020","36.40","37.60","37.65","35.48","35.01M","-1.17%"
"Aug 11, 2020","36.83","39.64","39.85","36.67","56.55M","-1.89%"
"Aug 10, 2020","37.54","34.65","37.55","34.65","48.88M","9.35%"
"Aug 07, 2020","34.33","33.90","34.42","33.45","30.39M","-0.20%"
"Aug 06, 2020","34.40","34.10","35.02","33.27","51.25M","1.99%"
"Aug 05, 2020","33.73","33.27","34.53","32.17","49.26M","4.46%"
"Aug 04, 2020","32.29","32.13","33.69","32.06","30.01M","1.32%"
"Aug 03, 2020","31.87","31.24","32.27","30.32","35.21M","1.56%"
"Jul 31, 2020","31.38","31.69","31.77","30.69","29.61M","-1.13%"
"Jul 30, 2020","31.74","32.00","32.27","31.57","31.54M","-2.55%"
"Jul 29, 2020","32.57","33.61","34.15","32.22","31.12M","-2.66%"
"Jul 28, 2020","33.46","32.35","34.04","32.35","41.63M","3.21%"
"Jul 27, 2020","32.42","32.92","33.64","32.05","33.06M","-1.40%"
"Jul 24, 2020","32.88","32.88","33.69","32.47","38.45M","-1.05%"
"Jul 23, 2020","33.23","31.36","35.11","30.96","82.25M","4.93%"
"Jul 22, 2020","31.67","32.85","33.26","31.64","48.20M","-4.23%"
"Jul 21, 2020","33.07","32.62","33.77","32.48","45.93M","2.29%"
"Jul 20, 2020","32.33","33.90","34.39","32.18","36.53M","-4.69%"
"Jul 17, 2020","33.92","34.27","34.98","33.48","37.40M","-1.65%"
"Jul 16, 2020","34.49","34.50","35.37","33.90","53.33M","-5.17%"
"Jul 15, 2020","36.37","34.14","36.74","33.16","84.74M","14.59%"
"Jul 14, 2020","31.74","30.75","32.32","30.44","44.17M","-0.06%"
"Jul 13, 2020","31.76","33.20","33.37","31.05","56.57M","-2.79%"
"Jul 10, 2020","32.67","29.38","32.90","29.23","80.48M","8.29%"
"Jul 09, 2020","30.17","31.74","32.45","29.97","53.32M","-7.25%"
"Jul 08, 2020","32.53","31.55","33.01","31.33","55.86M","-0.06%"
"Jul 07, 2020","32.55","34.07","34.12","32.38","47.34M","-7.55%"
"Jul 06, 2020","35.21","34.84","35.40","33.53","46.54M","3.13%"
"Jul 02, 2020","34.14","35.88","36.08","33.95","53.58M","-0.90%"
"Jul 01, 2020","34.45","36.92","38.37","34.03","87.86M","-0.46%"
"Jun 30, 2020","34.61","34.65","35.33","33.30","54.41M","-1.87%"
"Jun 29, 2020","35.27","33.18","35.49","31.82","64.91M","7.24%"
"Jun 26, 2020","32.89","34.50","34.61","32.00","58.99M","-5.19%"
"Jun 25, 2020","34.69","31.31","34.75","31.08","72.48M","4.90%"
"Jun 24, 2020","33.07","34.68","35.19","32.63","65.45M","-8.34%"
"Jun 23, 2020","36.08","36.72","36.86","34.38","63.53M","-1.26%"
"Jun 22, 2020","36.54","35.00","37.07","35.00","65.26M","-0.81%"
"Jun 19, 2020","36.84","39.94","40.26","35.76","101.01M","-6.35%"
"Jun 18, 2020","39.34","37.54","40.18","37.53","64.93M","0.23%"
"Jun 17, 2020","39.25","38.84","39.77","38.23","60.13M","-2.39%"
"Jun 16, 2020","40.21","42.56","42.65","39.55","71.16M","3.10%"
"Jun 15, 2020","39.00","36.00","39.85","35.53","102.43M","-1.66%"
"Jun 12, 2020","39.66","37.51","39.68","36.15","98.88M","19.03%"
"Jun 11, 2020","33.32","32.91","36.36","32.30","104.77M","-16.11%"
"Jun 10, 2020","39.72","42.03","42.57","38.33","105.25M","-11.02%"
"Jun 09, 2020","44.64","45.00","46.00","41.60","79.61M","-8.32%"
"Jun 08, 2020","48.69","45.86","48.82","44.60","89.96M","14.82%"
"Jun 05, 2020","42.40","48.95","48.95","41.26","135.59M","8.45%"
"Jun 04, 2020","39.10","35.82","39.80","34.17","142.81M","16.20%"
"Jun 03, 2020","33.65","30.75","33.90","30.43","85.54M","12.50%"
"Jun 02, 2020","29.91","30.20","30.90","29.32","47.47M","1.53%"
"Jun 01, 2020","29.46","28.19","30.29","27.95","57.59M","5.06%"
"May 29, 2020","28.04","27.11","28.88","26.65","64.48M","-2.94%"
"May 28, 2020","28.89","29.83","29.91","28.53","57.40M","-5.87%"
"May 27, 2020","30.69","32.28","32.73","28.55","89.32M","3.89%"
