"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","60.60","60.11","60.73","59.97","8.67M","1.03%"
"Dec 14, 2020","59.98","60.64","61.06","59.78","15.71M","-0.61%"
"Dec 11, 2020","60.35","60.08","60.53","59.97","13.67M","-0.26%"
"Dec 10, 2020","60.51","61.27","61.35","60.34","15.46M","-1.55%"
"Dec 09, 2020","61.46","61.45","61.81","61.09","14.95M","0.02%"
"Dec 08, 2020","61.45","61.16","61.70","60.88","13.42M","0.16%"
"Dec 07, 2020","61.35","61.53","61.68","61.18","12.54M","-0.32%"
"Dec 04, 2020","61.55","61.54","61.80","61.26","10.50M","-0.31%"
"Dec 03, 2020","61.74","61.12","61.82","61.12","11.94M","0.62%"
"Dec 02, 2020","61.36","61.44","61.95","61.02","14.17M","1.29%"
"Dec 01, 2020","60.58","60.43","60.92","60.28","13.31M","0.28%"
"Nov 30, 2020","60.41","60.30","60.60","60.19","21.84M","-0.28%"
"Nov 27, 2020","60.58","60.52","60.74","60.41","5.76M","0.28%"
"Nov 25, 2020","60.41","60.67","60.74","60.33","10.60M","-0.38%"
"Nov 24, 2020","60.64","60.61","60.80","60.41","15.49M","0.68%"
"Nov 23, 2020","60.23","60.05","60.38","60.01","11.60M","0.32%"
"Nov 20, 2020","60.04","60.21","60.33","59.94","14.23M","-0.28%"
"Nov 19, 2020","60.21","60.38","60.39","59.91","12.66M","-0.18%"
"Nov 18, 2020","60.32","61.13","61.13","60.30","11.70M","-0.71%"
"Nov 17, 2020","60.75","60.54","61.01","60.37","11.70M","-0.23%"
"Nov 16, 2020","60.89","60.81","61.45","60.70","14.29M","-0.28%"
"Nov 13, 2020","61.06","60.63","61.19","60.38","10.66M","0.44%"
"Nov 12, 2020","60.79","60.92","60.92","60.34","13.30M","-0.34%"
"Nov 11, 2020","61.00","61.29","61.32","60.48","12.20M","-0.16%"
"Nov 10, 2020","61.10","60.28","61.41","60.21","22.05M","2.11%"
"Nov 09, 2020","59.84","59.99","60.53","59.53","24.27M","2.24%"
"Nov 06, 2020","58.53","58.08","58.75","58.01","11.99M","0.65%"
"Nov 05, 2020","58.15","58.02","58.97","57.80","20.16M","1.63%"
"Nov 04, 2020","57.22","57.15","57.84","56.61","20.79M","-0.92%"
"Nov 03, 2020","57.75","57.86","58.37","57.52","10.69M","0.09%"
"Nov 02, 2020","57.70","57.60","58.20","57.01","16.09M","1.25%"
"Oct 30, 2020","56.99","56.60","57.07","56.37","17.64M","0.41%"
"Oct 29, 2020","56.76","56.16","57.31","56.02","19.15M","0.80%"
"Oct 28, 2020","56.31","56.84","57.35","56.12","18.72M","-1.86%"
"Oct 27, 2020","57.38","57.75","57.84","57.32","12.25M","-0.74%"
"Oct 26, 2020","57.81","57.50","57.81","56.98","15.20M","-0.26%"
"Oct 23, 2020","57.96","57.75","57.97","57.46","12.88M","1.10%"
