"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","145.42","145.44","146.20","144.86","5.11M","-0.16%"
"Dec 14, 2020","145.65","147.51","147.52","145.40","8.36M","-0.92%"
"Dec 11, 2020","147.00","146.92","147.51","145.94","5.62M","-0.03%"
"Dec 10, 2020","147.04","147.66","148.00","146.58","6.88M","-0.83%"
"Dec 09, 2020","148.27","150.00","150.00","147.89","6.71M","-0.79%"
"Dec 08, 2020","149.45","147.44","149.84","147.19","6.91M","0.90%"
"Dec 07, 2020","148.11","148.52","148.98","147.17","6.16M","-0.54%"
"Dec 04, 2020","148.91","149.51","149.51","147.58","6.96M","-0.26%"
"Dec 03, 2020","149.30","150.09","150.09","148.39","8.58M","-0.81%"
"Dec 02, 2020","150.52","152.09","152.53","149.56","7.85M","-1.39%"
"Dec 01, 2020","152.64","153.60","153.66","151.66","7.33M","-0.10%"
"Nov 30, 2020","152.79","151.72","152.93","150.12","10.90M","0.78%"
"Nov 27, 2020","151.60","152.15","152.72","151.10","3.67M","-0.15%"
"Nov 25, 2020","151.83","151.25","152.39","151.21","4.61M","0.31%"
"Nov 24, 2020","151.36","151.79","151.96","150.38","5.72M","0.28%"
"Nov 23, 2020","150.93","150.53","151.40","149.37","6.19M","0.46%"
"Nov 20, 2020","150.24","151.17","152.76","149.81","7.32M","-1.24%"
"Nov 19, 2020","152.12","149.50","152.45","149.40","6.20M","2.03%"
"Nov 18, 2020","149.09","149.80","151.67","149.09","8.31M","-0.19%"
"Nov 17, 2020","149.37","150.54","153.22","149.26","14.24M","-2.01%"
"Nov 16, 2020","152.44","150.95","153.39","149.28","11.52M","1.26%"
"Nov 13, 2020","150.54","148.94","150.93","147.52","6.60M","1.56%"
"Nov 12, 2020","148.23","148.25","148.65","147.13","4.19M","0.17%"
"Nov 11, 2020","147.98","146.92","148.95","146.42","6.27M","1.66%"
"Nov 10, 2020","145.56","143.75","146.42","143.54","6.07M","1.41%"
"Nov 09, 2020","143.54","147.96","148.05","143.50","9.40M","-1.53%"
"Nov 06, 2020","145.77","144.36","146.22","143.55","5.40M","1.60%"
"Nov 05, 2020","143.47","143.41","144.21","142.99","4.73M","1.06%"
"Nov 04, 2020","141.96","141.50","144.34","141.41","5.98M","-0.57%"
"Nov 03, 2020","142.78","141.71","144.16","141.71","5.14M","1.70%"
"Nov 02, 2020","140.40","140.45","140.80","139.06","5.53M","1.19%"
"Oct 30, 2020","138.75","139.18","140.09","137.37","6.20M","-0.84%"
"Oct 29, 2020","139.92","140.00","141.11","138.70","5.05M","-0.09%"
"Oct 28, 2020","140.04","140.90","142.08","139.93","5.62M","-1.98%"
"Oct 27, 2020","142.87","142.20","143.69","141.98","3.94M","0.50%"
"Oct 26, 2020","142.16","142.76","143.10","140.96","5.37M","-1.17%"
