Location,Date,newCases
Canada,2020-01-23,0
Canada,2020-01-24,0
Canada,2020-01-25,0
Canada,2020-01-26,1
Canada,2020-01-27,0
Canada,2020-01-28,1
Canada,2020-01-29,0
Canada,2020-01-30,0
Canada,2020-01-31,2
Canada,2020-02-01,0
Canada,2020-02-02,0
Canada,2020-02-03,0
Canada,2020-02-04,0
Canada,2020-02-05,1
Canada,2020-02-06,0
Canada,2020-02-07,2
Canada,2020-02-08,0
Canada,2020-02-09,0
Canada,2020-02-10,0
Canada,2020-02-11,0
Canada,2020-02-12,0
Canada,2020-02-13,0
Canada,2020-02-14,0
Canada,2020-02-15,0
Canada,2020-02-16,0
Canada,2020-02-17,1
Canada,2020-02-18,0
Canada,2020-02-19,0
Canada,2020-02-20,0
Canada,2020-02-21,1
Canada,2020-02-22,0
Canada,2020-02-23,0
Canada,2020-02-24,1
Canada,2020-02-25,1
Canada,2020-02-26,0
Canada,2020-02-27,2
Canada,2020-02-28,1
Canada,2020-02-29,6
Canada,2020-03-01,4
Canada,2020-03-02,3
Canada,2020-03-03,3
Canada,2020-03-04,3
Canada,2020-03-05,4
Canada,2020-03-06,12
Canada,2020-03-07,5
Canada,2020-03-08,10
Canada,2020-03-09,13
Canada,2020-03-10,2
Canada,2020-03-11,29
Canada,2020-03-12,9
Canada,2020-03-13,76
Canada,2020-03-14,5
Canada,2020-03-15,54
Canada,2020-03-16,163
Canada,2020-03-17,63
Canada,2020-03-18,179
Canada,2020-03-19,143
Canada,2020-03-20,143
Canada,2020-03-21,334
Canada,2020-03-22,192
Canada,2020-03-23,619
Canada,2020-03-24,702
Canada,2020-03-25,461
Canada,2020-03-26,791
Canada,2020-03-27,640
Canada,2020-03-28,894
Canada,2020-03-29,704
Canada,2020-03-30,1118
Canada,2020-03-31,1129
Canada,2020-04-01,1033
Canada,2020-04-02,1724
Canada,2020-04-03,1153
Canada,2020-04-04,541
Canada,2020-04-05,2778
Canada,2020-04-06,807
Canada,2020-04-07,1309
Canada,2020-04-08,1269
Canada,2020-04-09,1513
Canada,2020-04-10,1405
Canada,2020-04-11,1257
Canada,2020-04-12,983
Canada,2020-04-13,1381
Canada,2020-04-14,1355
Canada,2020-04-15,1174
Canada,2020-04-16,2600
Canada,2020-04-17,2005
Canada,2020-04-18,1542
Canada,2020-04-19,1277
Canada,2020-04-20,2025
Canada,2020-04-21,1744
Canada,2020-04-22,2261
Canada,2020-04-23,1636
Canada,2020-04-24,1620
Canada,2020-04-25,1452
Canada,2020-04-26,1662
Canada,2020-04-27,1583
Canada,2020-04-28,1534
Canada,2020-04-29,1715
Canada,2020-04-30,1592
Canada,2020-05-01,1886
Canada,2020-05-02,1583
Canada,2020-05-03,2578
Canada,2020-05-04,1453
Canada,2020-05-05,1258
Canada,2020-05-06,1479
Canada,2020-05-07,1507
Canada,2020-05-08,1473
Canada,2020-05-09,1244
Canada,2020-05-10,1173
Canada,2020-05-11,1173
Canada,2020-05-12,1155
Canada,2020-05-13,1149
Canada,2020-05-14,1213
Canada,2020-05-15,1178
Canada,2020-05-16,1247
Canada,2020-05-17,1126
Canada,2020-05-18,1079
Canada,2020-05-19,1082
Canada,2020-05-20,1082
Canada,2020-05-21,1167
Canada,2020-05-22,1205
Canada,2020-05-23,1204
Canada,2020-05-24,955
Canada,2020-05-25,1013
Canada,2020-05-26,971
Canada,2020-05-27,899
Canada,2020-05-28,987
Canada,2020-05-29,933
Canada,2020-05-30,772
Canada,2020-05-31,798
Canada,2020-06-01,809
Canada,2020-06-02,672
Canada,2020-06-03,681
Canada,2020-06-04,628
Canada,2020-06-05,678
Canada,2020-06-06,528
Canada,2020-06-07,703
Canada,2020-06-08,601
Canada,2020-06-09,462
Canada,2020-06-10,479
Canada,2020-06-11,439
Canada,2020-06-12,436
Canada,2020-06-13,448
Canada,2020-06-14,361
Canada,2020-06-15,359
Canada,2020-06-16,324
Canada,2020-06-17,404
Canada,2020-06-18,386
Canada,2020-06-19,437
Canada,2020-06-20,448
Canada,2020-06-21,316
Canada,2020-06-22,340
Canada,2020-06-23,349
Canada,2020-06-24,320
Canada,2020-06-25,376
Canada,2020-06-26,166
Canada,2020-06-27,249
Canada,2020-06-28,315
Canada,2020-06-29,637
Canada,2020-06-30,267
Canada,2020-07-01,191
Canada,2020-07-02,355
Canada,2020-07-03,319
Canada,2020-07-04,223
Canada,2020-07-05,209
Canada,2020-07-06,421
Canada,2020-07-07,208
Canada,2020-07-08,311
Canada,2020-07-09,322
Canada,2020-07-10,328
Canada,2020-07-11,166
Canada,2020-07-12,198
Canada,2020-07-13,636
Canada,2020-07-14,366
Canada,2020-07-15,343
Canada,2020-07-16,451
Canada,2020-07-17,415
Canada,2020-07-18,316
Canada,2020-07-19,293
Canada,2020-07-20,770
Canada,2020-07-21,535
Canada,2020-07-22,317
Canada,2020-07-23,608
Canada,2020-07-24,717
Canada,2020-07-25,355
Canada,2020-07-26,319
Canada,2020-07-27,682
Canada,2020-07-28,400
Canada,2020-07-29,486
Canada,2020-07-30,320
Canada,2020-07-31,604
Canada,2020-08-01,242
Canada,2020-08-02,245
Canada,2020-08-03,205
Canada,2020-08-04,686
Canada,2020-08-05,374
Canada,2020-08-06,354
Canada,2020-08-07,516
Canada,2020-08-08,245
Canada,2020-08-09,219
Canada,2020-08-10,686
Canada,2020-08-11,336
Canada,2020-08-12,314
Canada,2020-08-13,477
Canada,2020-08-14,425
Canada,2020-08-15,220
Canada,2020-08-16,179
Canada,2020-08-17,214
Canada,2020-08-18,866
Canada,2020-08-19,324
Canada,2020-08-20,217
Canada,2020-08-21,694
Canada,2020-08-22,241
Canada,2020-08-23,257
Canada,2020-08-24,777
Canada,2020-08-25,309
Canada,2020-08-26,477
Canada,2020-08-27,456
Canada,2020-08-28,506
Canada,2020-08-29,297
Canada,2020-08-30,249
Canada,2020-08-31,1030
Canada,2020-09-01,504
Canada,2020-09-02,519
Canada,2020-09-03,586
Canada,2020-09-04,614
Canada,2020-09-05,370
Canada,2020-09-06,379
Canada,2020-09-07,405
Canada,2020-09-08,1462
Canada,2020-09-09,378
Canada,2020-09-10,821
Canada,2020-09-11,720
Canada,2020-09-12,488
Canada,2020-09-13,476
Canada,2020-09-14,1458
Canada,2020-09-15,802
Canada,2020-09-16,952
Canada,2020-09-17,1027
Canada,2020-09-18,1174
Canada,2020-09-19,554
Canada,2020-09-20,1143
Canada,2020-09-21,1833
Canada,2020-09-22,1272
Canada,2020-09-23,1084
Canada,2020-09-24,1148
Canada,2020-09-25,1630
Canada,2020-09-26,1053
Canada,2020-09-27,1658
Canada,2020-09-28,1791
Canada,2020-09-29,1772
Canada,2020-09-30,2116
Canada,2020-10-01,1823
Canada,2020-10-02,2124
Canada,2020-10-03,1306
Canada,2020-10-04,2141
Canada,2020-10-05,2883
Canada,2020-10-06,2372
Canada,2020-10-07,1624
Canada,2020-10-08,2350
Canada,2020-10-09,2895
Canada,2020-10-10,2142
Canada,2020-10-11,1636
Canada,2020-10-12,975
Canada,2020-10-13,4111
Canada,2020-10-14,2575
Canada,2020-10-15,2298
Canada,2020-10-16,2566
Canada,2020-10-17,139
Canada,2020-10-18,3737
Canada,2020-10-19,3307
Canada,2020-10-20,2238
Canada,2020-10-21,2687
Canada,2020-10-22,2581
Canada,2020-10-23,2902
Canada,2020-10-24,1532
Canada,2020-10-25,2823
Canada,2020-10-26,4099
Canada,2020-10-27,2730
Canada,2020-10-28,2663
Canada,2020-10-29,3017
Canada,2020-10-30,3556
Canada,2020-10-31,2374
Canada,2020-11-01,2336
Canada,2020-11-02,3529
Canada,2020-11-03,4738
Canada,2020-11-04,2782
Canada,2020-11-05,2784
Canada,2020-11-06,5393
Canada,2020-11-07,4346
Canada,2020-11-08,3944
Canada,2020-11-09,4871
Canada,2020-11-10,4445
Canada,2020-11-11,3984
Canada,2020-11-12,5474
Canada,2020-11-13,4770
Canada,2020-11-14,4430
Canada,2020-11-15,4301
Canada,2020-11-16,6033
Canada,2020-11-17,4462
Canada,2020-11-18,4518
Canada,2020-11-19,4794
Canada,2020-11-20,4987
Canada,2020-11-21,4957
Canada,2020-11-22,4745
Canada,2020-11-23,6795
Canada,2020-11-24,5282
Canada,2020-11-25,4958
Canada,2020-11-26,5679
Canada,2020-11-27,5954
Canada,2020-11-28,5675
Canada,2020-11-29,5383
Canada,2020-11-30,7895
Canada,2020-12-01,5495
Canada,2020-12-02,6454
Canada,2020-12-03,6264
Canada,2020-12-04,6419
Canada,2020-12-05,6354
Canada,2020-12-06,6305
Canada,2020-12-07,7724
Canada,2020-12-08,6171
Canada,2020-12-09,6399
Canada,2020-12-10,6686
Canada,2020-12-11,6715
Canada,2020-12-12,5984
Canada,2020-12-13,5916
Canada,2020-12-14,8377
