Location,Date,newCases
United States,2020-01-23,0
United States,2020-01-24,1
United States,2020-01-25,0
United States,2020-01-26,0
United States,2020-01-27,0
United States,2020-01-28,0
United States,2020-01-29,1
United States,2020-01-30,0
United States,2020-01-31,2
United States,2020-02-01,0
United States,2020-02-02,0
United States,2020-02-03,3
United States,2020-02-04,0
United States,2020-02-05,0
United States,2020-02-06,1
United States,2020-02-07,0
United States,2020-02-08,0
United States,2020-02-09,0
United States,2020-02-10,0
United States,2020-02-11,1
United States,2020-02-12,0
United States,2020-02-13,1
United States,2020-02-14,0
United States,2020-02-15,0
United States,2020-02-16,0
United States,2020-02-17,0
United States,2020-02-18,0
United States,2020-02-19,0
United States,2020-02-20,0
United States,2020-02-21,2
United States,2020-02-22,0
United States,2020-02-23,0
United States,2020-02-24,0
United States,2020-02-25,0
United States,2020-02-26,0
United States,2020-02-27,1
United States,2020-02-28,0
United States,2020-02-29,8
United States,2020-03-01,7
United States,2020-03-02,23
United States,2020-03-03,19
United States,2020-03-04,33
United States,2020-03-05,77
United States,2020-03-06,53
United States,2020-03-07,166
United States,2020-03-08,116
United States,2020-03-09,75
United States,2020-03-10,188
United States,2020-03-11,365
United States,2020-03-12,439
United States,2020-03-13,633
United States,2020-03-14,759
United States,2020-03-15,234
United States,2020-03-16,1467
United States,2020-03-17,1833
United States,2020-03-18,2657
United States,2020-03-19,4494
United States,2020-03-20,6367
United States,2020-03-21,5995
United States,2020-03-22,8830
United States,2020-03-23,11231
United States,2020-03-24,10612
United States,2020-03-25,12075
United States,2020-03-26,17840
United States,2020-03-27,18680
United States,2020-03-28,19607
United States,2020-03-29,18879
United States,2020-03-30,22082
United States,2020-03-31,26316
United States,2020-04-01,25883
United States,2020-04-02,30387
United States,2020-04-03,31970
United States,2020-04-04,33015
United States,2020-04-05,28197
United States,2020-04-06,30173
United States,2020-04-07,31410
United States,2020-04-08,32195
United States,2020-04-09,34582
United States,2020-04-10,33485
United States,2020-04-11,29308
United States,2020-04-12,26927
United States,2020-04-13,25809
United States,2020-04-14,28564
United States,2020-04-15,30165
United States,2020-04-16,31401
United States,2020-04-17,32669
United States,2020-04-18,27927
United States,2020-04-19,25689
United States,2020-04-20,28420
United States,2020-04-21,26060
United States,2020-04-22,29314
United States,2020-04-23,33184
United States,2020-04-24,33751
United States,2020-04-25,31572
United States,2020-04-26,26844
United States,2020-04-27,23187
United States,2020-04-28,24661
United States,2020-04-29,27811
United States,2020-04-30,29487
United States,2020-05-01,34240
United States,2020-05-02,27764
United States,2020-05-03,24457
United States,2020-05-04,23382
United States,2020-05-05,24510
United States,2020-05-06,25089
United States,2020-05-07,27736
United States,2020-05-08,26749
United States,2020-05-09,24948
United States,2020-05-10,18871
United States,2020-05-11,19427
United States,2020-05-12,22725
United States,2020-05-13,20963
United States,2020-05-14,27158
United States,2020-05-15,25255
United States,2020-05-16,24016
United States,2020-05-17,18315
United States,2020-05-18,21987
United States,2020-05-19,21055
United States,2020-05-20,23062
United States,2020-05-21,25865
United States,2020-05-22,23311
United States,2020-05-23,21103
United States,2020-05-24,19946
United States,2020-05-25,18347
United States,2020-05-26,19451
United States,2020-05-27,18533
United States,2020-05-28,22868
United States,2020-05-29,24255
United States,2020-05-30,23816
United States,2020-05-31,19037
United States,2020-06-01,16928
United States,2020-06-02,21389
United States,2020-06-03,20006
United States,2020-06-04,21368
United States,2020-06-05,25349
United States,2020-06-06,21405
United States,2020-06-07,17662
United States,2020-06-08,17492
United States,2020-06-09,18361
United States,2020-06-10,20951
United States,2020-06-11,23042
United States,2020-06-12,24914
United States,2020-06-13,25268
United States,2020-06-14,19019
United States,2020-06-15,19456
United States,2020-06-16,23693
United States,2020-06-17,26499
United States,2020-06-18,27867
United States,2020-06-19,30981
United States,2020-06-20,31917
United States,2020-06-21,25968
United States,2020-06-22,30676
United States,2020-06-23,36208
United States,2020-06-24,34426
United States,2020-06-25,40356
United States,2020-06-26,45353
United States,2020-06-27,41359
United States,2020-06-28,40409
United States,2020-06-29,40057
United States,2020-06-30,45980
United States,2020-07-01,51488
United States,2020-07-02,55588
United States,2020-07-03,51841
United States,2020-07-04,45549
United States,2020-07-05,49580
United States,2020-07-06,44162
United States,2020-07-07,60755
United States,2020-07-08,59740
United States,2020-07-09,62567
United States,2020-07-10,67859
United States,2020-07-11,60038
United States,2020-07-12,59085
United States,2020-07-13,58793
United States,2020-07-14,67427
United States,2020-07-15,67635
United States,2020-07-16,77102
United States,2020-07-17,71672
United States,2020-07-18,62470
United States,2020-07-19,60716
United States,2020-07-20,61477
United States,2020-07-21,64239
United States,2020-07-22,71915
United States,2020-07-23,68511
United States,2020-07-24,73208
United States,2020-07-25,65375
United States,2020-07-26,54864
United States,2020-07-27,55947
United States,2020-07-28,65785
United States,2020-07-29,71832
United States,2020-07-30,67599
United States,2020-07-31,67911
United States,2020-08-01,57839
United States,2020-08-02,46269
United States,2020-08-03,44567
United States,2020-08-04,57283
United States,2020-08-05,54433
United States,2020-08-06,59481
United States,2020-08-07,58322
United States,2020-08-08,54449
United States,2020-08-09,46369
United States,2020-08-10,48733
United States,2020-08-11,46910
United States,2020-08-12,56811
United States,2020-08-13,51742
United States,2020-08-14,64764
United States,2020-08-15,46790
United States,2020-08-16,41181
United States,2020-08-17,36484
United States,2020-08-18,45034
United States,2020-08-19,47393
United States,2020-08-20,44087
United States,2020-08-21,48253
United States,2020-08-22,43653
United States,2020-08-23,34510
United States,2020-08-24,36432
United States,2020-08-25,39979
United States,2020-08-26,45520
United States,2020-08-27,45120
United States,2020-08-28,46929
United States,2020-08-29,45414
United States,2020-08-30,34787
United States,2020-08-31,35138
United States,2020-09-01,41677
United States,2020-09-02,40951
United States,2020-09-03,43781
United States,2020-09-04,50129
United States,2020-09-05,43192
United States,2020-09-06,31511
United States,2020-09-07,23545
United States,2020-09-08,26845
United States,2020-09-09,33895
United States,2020-09-10,36066
United States,2020-09-11,47439
United States,2020-09-12,41003
United States,2020-09-13,34305
United States,2020-09-14,33842
United States,2020-09-15,39385
United States,2020-09-16,38460
United States,2020-09-17,44922
United States,2020-09-18,48750
United States,2020-09-19,42512
United States,2020-09-20,38444
United States,2020-09-21,51495
United States,2020-09-22,39482
United States,2020-09-23,38581
United States,2020-09-24,45710
United States,2020-09-25,48054
United States,2020-09-26,44394
United States,2020-09-27,37280
United States,2020-09-28,32284
United States,2020-09-29,42692
United States,2020-09-30,41196
United States,2020-10-01,45357
United States,2020-10-02,54469
United States,2020-10-03,48627
United States,2020-10-04,36092
United States,2020-10-05,38835
United States,2020-10-06,44681
United States,2020-10-07,50642
United States,2020-10-08,58330
United States,2020-10-09,55994
United States,2020-10-10,54074
United States,2020-10-11,45948
United States,2020-10-12,40523
United States,2020-10-13,52879
United States,2020-10-14,59487
United States,2020-10-15,64359
United States,2020-10-16,68449
United States,2020-10-17,56962
United States,2020-10-18,49354
United States,2020-10-19,66863
United States,2020-10-20,61101
United States,2020-10-21,63028
United States,2020-10-22,75338
United States,2020-10-23,80987
United States,2020-10-24,82821
United States,2020-10-25,61802
United States,2020-10-26,66508
United States,2020-10-27,76014
United States,2020-10-28,78634
United States,2020-10-29,90175
United States,2020-10-30,98519
United States,2020-10-31,88983
United States,2020-11-01,104101
United States,2020-11-02,83389
United States,2020-11-03,125495
United States,2020-11-04,103875
United States,2020-11-05,126976
United States,2020-11-06,126785
United States,2020-11-07,128580
United States,2020-11-08,110500
United States,2020-11-09,121171
United States,2020-11-10,139088
United States,2020-11-11,144209
United States,2020-11-12,162730
United States,2020-11-13,178841
United States,2020-11-14,168008
United States,2020-11-15,136754
United States,2020-11-16,157716
United States,2020-11-17,162035
United States,2020-11-18,171747
United States,2020-11-19,189109
United States,2020-11-20,196706
United States,2020-11-21,179366
United States,2020-11-22,143072
United States,2020-11-23,170935
United States,2020-11-24,174775
United States,2020-11-25,183487
United States,2020-11-26,111988
United States,2020-11-27,205948
United States,2020-11-28,155562
United States,2020-11-29,139362
United States,2020-11-30,156293
United States,2020-12-01,183403
United States,2020-12-02,202459
United States,2020-12-03,219601
United States,2020-12-04,229531
United States,2020-12-05,215545
United States,2020-12-06,176528
United States,2020-12-07,191937
United States,2020-12-08,219747
United States,2020-12-09,222811
United States,2020-12-10,226059
United States,2020-12-11,233184
United States,2020-12-12,221129
United States,2020-12-13,191584
United States,2020-12-14,192479
