Date,newCases,airCanada,cargoJest
2020-01-24,0,-2.56,1.21
2020-01-25,0,NaN,NaN
2020-01-26,0,NaN,NaN
2020-01-27,1,-5.17,1.31
2020-01-28,0,0.8,-0.15
2020-01-29,1,1.11,0.38
2020-01-30,0,-1.47,0.3
2020-01-31,0,-1.34,1.05
2020-02-01,2,NaN,NaN
2020-02-02,0,NaN,NaN
2020-02-03,0,1.02,0.24
2020-02-04,0,3.86,1
2020-02-05,0,0.41,0.91
2020-02-06,1,-0.75,0.85
2020-02-07,0,-1.92,-0.58
2020-02-08,2,NaN,NaN
2020-02-09,0,NaN,NaN
2020-02-10,0,-0.84,0.32
2020-02-11,0,3.33,0.07
2020-02-12,0,1.05,1.74
2020-02-13,0,-0.04,-1.01
2020-02-14,0,-1.76,0.08
2020-02-15,0,NaN,NaN
2020-02-16,0,NaN,NaN
2020-02-17,0,NaN,NaN
2020-02-18,1,-2.64,-1.38
2020-02-19,0,0.69,-0.76
2020-02-20,0,-1.9,-1.91
2020-02-21,0,-5.11,-3.92
2020-02-22,1,NaN,NaN
2020-02-23,0,NaN,NaN
2020-02-24,0,-5,-3.18
2020-02-25,1,-6.69,-4.58
2020-02-26,1,-6.61,0.45
2020-02-27,0,1.52,2.29
2020-02-28,2,-3.39,-4.31
2020-02-29,1,NaN,NaN
2020-03-01,6,NaN,NaN
2020-03-02,4,0.93,5.03
2020-03-03,3,1.07,-2.16
2020-03-04,3,0.37,2.27
2020-03-05,3,-8.3,-5.21
2020-03-06,4,3.11,0.83
2020-03-07,12,NaN,NaN
2020-03-08,5,NaN,NaN
2020-03-09,10,-8.59,-7.09
2020-03-10,13,3,4.92
2020-03-11,2,-12.24,-4.02
2020-03-12,29,-9.12,-14.53
2020-03-13,9,1.89,15.45
2020-03-14,76,NaN,NaN
2020-03-15,5,NaN,NaN
2020-03-16,54,-28.14,-12.24
2020-03-17,163,-11.74,4.3
2020-03-18,63,-19.83,-13.13
2020-03-19,179,-5.81,16.9
2020-03-20,143,2.14,-1.99
2020-03-21,143,NaN,NaN
2020-03-22,334,NaN,NaN
2020-03-23,192,2.34,10.46
2020-03-24,619,18.98,1.94
2020-03-25,702,15.88,0.55
2020-03-26,461,2.28,-2.96
2020-03-27,791,-6.48,-1.09
2020-03-28,640,NaN,NaN
2020-03-29,894,NaN,NaN
2020-03-30,704,-4,4.53
2020-03-31,1118,-2.05,2.91
2020-04-01,1129,-8.19,-2.16
2020-04-02,1033,1.8,2.07
2020-04-03,1724,-1.15,-0.73
2020-04-04,1153,NaN,NaN
2020-04-05,541,NaN,NaN
2020-04-06,2778,4.19,3.53
2020-04-07,807,9.3,-0.59
2020-04-08,1309,13.1,7.99
2020-04-09,1269,7.15,4.79
2020-04-10,1513,NaN,NaN
2020-04-11,1405,NaN,NaN
2020-04-12,1257,NaN,NaN
2020-04-13,983,-3.83,-0.45
