Date,newCases,bell,rogers,shaw
2020-01-24,0,-0.16,-1.28,NaN
2020-01-25,0,NaN,NaN,NaN
2020-01-26,0,NaN,NaN,NaN
2020-01-27,1,0.4,1.21,-1.38
2020-01-28,0,0.72,1.91,0.7
2020-01-29,1,-0.6,-1.78,NaN
2020-01-30,0,0.1,-1.16,-1.05
2020-01-31,0,-0.73,0.66,-1.41
2020-02-01,2,NaN,NaN,NaN
2020-02-02,0,NaN,NaN,NaN
2020-02-03,0,-0.05,1.39,0
2020-02-04,0,0.61,-1.16,0
2020-02-05,0,0.26,0.13,-0.71
2020-02-06,1,2.12,NaN,NaN
2020-02-07,0,0.03,-0.15,0.14
2020-02-08,2,NaN,NaN,NaN
2020-02-09,0,NaN,NaN,NaN
2020-02-10,0,0.26,-0.13,NaN
2020-02-11,0,-0.23,0.82,NaN
2020-02-12,0,0.34,0.5,NaN
2020-02-13,0,-0.48,-1.98,1.01
2020-02-14,0,0.28,-0.75,NaN
2020-02-15,0,NaN,NaN,NaN
2020-02-16,0,NaN,NaN,NaN
2020-02-17,0,NaN,NaN,NaN
2020-02-18,1,1.34,2.8,0.28
2020-02-19,0,-0.18,-1.3,NaN
2020-02-20,0,-0.31,-0.66,0
2020-02-21,0,-0.62,-0.12,-0.14
2020-02-22,1,NaN,NaN,NaN
2020-02-23,0,NaN,NaN,NaN
2020-02-24,0,-0.87,0.24,-1.28
2020-02-25,1,-1.58,-3.89,1.08
2020-02-26,1,-0.6,1.53,0
2020-02-27,0,-1.39,-0.66,-3.91
2020-02-28,2,-4.38,-4.23,0
2020-02-29,1,NaN,NaN,NaN
2020-03-01,6,NaN,NaN,NaN
2020-03-02,4,5.09,3.82,-2.59
2020-03-03,3,-0.19,0.47,NaN
2020-03-04,3,2.85,2.33,NaN
2020-03-05,3,-1.45,-0.61,-3.04
2020-03-06,4,-0.45,-2.73,-2.82
2020-03-07,12,NaN,NaN,NaN
2020-03-08,5,NaN,NaN,NaN
2020-03-09,10,-7.77,-5.55,-3.15
2020-03-10,13,5.04,-0.12,2.17
2020-03-11,2,-4,0.5,NaN
2020-03-12,29,-12.5,-11.8,-10.28
2020-03-13,9,9.95,8.7,NaN
2020-03-14,76,NaN,NaN,NaN
2020-03-15,5,NaN,NaN,NaN
2020-03-16,54,-9.19,-0.95,-4.55
2020-03-17,163,6.06,4.56,-6.29
2020-03-18,63,-4.13,-5.24,NaN
2020-03-19,179,5.94,-1.07,-3.46
2020-03-20,143,-5.15,-0.55,1.05
2020-03-21,143,NaN,NaN,NaN
2020-03-22,334,NaN,NaN,NaN
2020-03-23,192,-10.33,-8.05,-5.83
2020-03-24,619,9.5,6.53,2.88
2020-03-25,702,5.27,3.01,2.15
2020-03-26,461,2.67,4.35,6.32
2020-03-27,791,-2.33,-1.8,-5.74
2020-03-28,640,NaN,NaN,NaN
2020-03-29,894,NaN,NaN,NaN
2020-03-30,704,2.74,1.9,0.53
2020-03-31,1118,4.68,5.08,9.72
2020-04-01,1129,-4.16,-3.23,-4.76
2020-04-02,1033,3.72,0.03,-4.2
2020-04-03,1724,-1.15,0.02,NaN
2020-04-04,1153,NaN,NaN,NaN
2020-04-05,541,NaN,NaN,NaN
2020-04-06,2778,1.41,4.95,7.52
2020-04-07,807,0.23,2.48,4.37
2020-04-08,1309,-0.71,-1.73,0
2020-04-09,1269,0.28,-1.39,4.65
2020-04-10,1513,NaN,NaN,NaN
2020-04-11,1405,NaN,NaN,NaN
2020-04-12,1257,NaN,NaN,NaN
2020-04-13,983,1.03,0.93,4.44
2020-04-14,1381,0.95,0.55,-0.6
2020-04-15,1355,-0.89,-1.56,-4.11
2020-04-16,1174,-0.67,-0.32,NaN
2020-04-17,2600,1.46,-1.88,4.02
2020-04-18,2005,NaN,NaN,NaN
2020-04-19,1542,NaN,NaN,NaN
2020-04-20,1277,-0.75,3.06,NaN
2020-04-21,2025,-2.33,-4.03,NaN
2020-04-22,1744,0.88,0.89,NaN
2020-04-23,2261,-1.33,-1.64,-3.78
2020-04-24,1636,0.09,0.42,-0.09
2020-04-25,1620,NaN,NaN,NaN
