Date,newCases,at&t,verizon,tMobile
2020-01-24,NaN,-0.34,-0.38,-0.73
2020-01-25,0,NaN,NaN,NaN
2020-01-26,1,NaN,NaN,NaN
2020-01-27,0,-0.65,-0.61,-1.05
2020-01-28,3,0.86,1.32,1.16
2020-01-29,0,-3.97,-1.93,-1.71
2020-01-30,0,1.03,-0.29,0.85
2020-01-31,1,0.51,0.13,-2.16
2020-02-01,0,NaN,NaN,NaN
2020-02-02,2,NaN,NaN,NaN
2020-02-03,0,-1.75,-2.34,0.34
2020-02-04,0,1.81,0.41,2.58
2020-02-05,3,0.48,1.44,0.34
2020-02-06,0,1.67,0.52,1.2
2020-02-07,0,0.03,0.84,3.23
2020-02-08,1,NaN,NaN,NaN
2020-02-09,0,NaN,NaN,NaN
2020-02-10,0,-0.29,0.5,-1.07
2020-02-11,0,-0.44,-2.57,11.78
2020-02-12,0,-0.34,-0.78,1.25
2020-02-13,1,0.71,0.72,-0.55
2020-02-14,0,-0.16,-0.24,1.41
2020-02-15,1,NaN,NaN,NaN
2020-02-16,0,NaN,NaN,NaN
2020-02-17,0,NaN,NaN,NaN
2020-02-18,0,0.03,-1.03,3.52
2020-02-19,0,0.47,0.54,0.61
2020-02-20,0,0.44,-0.22,-0.99
2020-02-21,0,-0.16,0.19,-0.93
2020-02-22,0,NaN,NaN,NaN
2020-02-23,2,NaN,NaN,NaN
2020-02-24,0,-1.3,-0.36,-2.23
2020-02-25,0,-1.84,-1.5,-1.86
2020-02-26,0,-0.67,0.04,-0.98
2020-02-27,0,-3.69,-3.64,-2.57
2020-02-28,0,-1.43,-1.63,-1.18
2020-02-29,1,NaN,NaN,NaN
2020-03-01,0,NaN,NaN,NaN
2020-03-02,8,5.57,5.83,3.47
2020-03-03,7,-2.37,-2.83,-4.2
2020-03-04,23,5.18,4.34,4.97
2020-03-05,19,-2.62,-1.65,-4.21
2020-03-06,33,-0.4,-0.51,-2.23
2020-03-07,77,NaN,NaN,NaN
2020-03-08,53,NaN,NaN,NaN
2020-03-09,166,-6.32,-1.83,-9.23
2020-03-10,116,3.34,1.24,6.56
2020-03-11,75,-3.71,-2.99,1.73
2020-03-12,188,-9.24,-6.62,-11.21
2020-03-13,365,10.02,5.8,11.24
2020-03-14,439,NaN,NaN,NaN
2020-03-15,633,NaN,NaN,NaN
2020-03-16,759,-7.72,-5.87,-10.38
2020-03-17,234,6.07,6.51,2.38
2020-03-18,1467,-2.64,0.02,-5.14
2020-03-19,1833,-5.18,-1.29,6.9
2020-03-20,2657,-8.67,-3.39,-6.17
2020-03-21,4494,NaN,NaN,NaN
2020-03-22,6367,NaN,NaN,NaN
2020-03-23,5995,-5.91,-2.88,1.54
2020-03-24,8830,4.93,-0.64,3.9
2020-03-25,11231,1.1,-0.1,0.66
2020-03-26,10612,7.75,7.21,6.9
2020-03-27,12075,-2.48,-1.44,-3.44
2020-03-28,17840,NaN,NaN,NaN
2020-03-29,18680,NaN,NaN,NaN
2020-03-30,19607,1.31,3.79,1.71
2020-03-31,18879,-3.57,-1.9,0.94
2020-04-01,22082,-3.77,-1.51,1.47
2020-04-02,26316,2.53,4.4,-0.85
2020-04-03,25883,-4.52,-1,-2.88
2020-04-04,30387,NaN,NaN,NaN
2020-04-05,31970,NaN,NaN,NaN
2020-04-06,33015,7.21,3.66,5.01
