Date,newCases,canadianTire,dollarama,loblaws
2020-01-24,0,4.59,-0.94,-0.03
2020-01-25,0,NaN,NaN,NaN
2020-01-26,0,NaN,NaN,NaN
2020-01-27,1,1.81,0.11,1.07
2020-01-28,0,0.03,0.6,-0.59
2020-01-29,1,0.02,0.45,0.33
2020-01-30,0,NaN,-1.78,0.36
2020-01-31,0,-1.05,-2.55,-0.72
2020-02-01,2,NaN,NaN,NaN
2020-02-02,0,NaN,NaN,NaN
2020-02-03,0,1.78,-0.8,-0.07
2020-02-04,0,0.01,-0.07,0.51
2020-02-05,0,NaN,-0.92,0.4
2020-02-06,1,NaN,1.11,1.1
2020-02-07,0,-6.12,-1.36,-0.27
2020-02-08,2,NaN,NaN,NaN
2020-02-09,0,NaN,NaN,NaN
2020-02-10,0,NaN,1.29,0.78
2020-02-11,0,-0.9,-1.68,-0.3
2020-02-12,0,NaN,-0.93,-0.18
2020-02-13,0,2.88,-0.16,0.33
2020-02-14,0,1.58,0.23,0.35
2020-02-15,0,NaN,NaN,NaN
2020-02-16,0,NaN,NaN,NaN
2020-02-17,0,NaN,NaN,NaN
2020-02-18,1,1.32,-4.56,-0.01
2020-02-19,0,NaN,0.17,0.01
2020-02-20,0,-3.01,-2.06,-1.65
2020-02-21,0,4.66,-1.71,0.33
2020-02-22,1,NaN,NaN,NaN
2020-02-23,0,NaN,NaN,NaN
2020-02-24,0,-2.27,-2.79,-0.21
2020-02-25,1,1.8,-2.31,-0.34
2020-02-26,1,NaN,-0.29,-0.11
2020-02-27,0,-0.66,2.18,-0.47
2020-02-28,2,-8.26,1.62,-4.11
2020-02-29,1,NaN,NaN,NaN
2020-03-01,6,NaN,NaN,NaN
2020-03-02,4,8.54,0.46,1.29
2020-03-03,3,NaN,-0.76,2.66
2020-03-04,3,NaN,1.78,3.51
2020-03-05,3,-5.82,-1.07,0.41
2020-03-06,4,0.66,1.24,0.67
2020-03-07,12,NaN,NaN,NaN
2020-03-08,5,NaN,NaN,NaN
2020-03-09,10,-0.12,1.67,-7.24
2020-03-10,13,0.54,1.03,1.28
2020-03-11,2,-2.69,-1.48,-1.96
2020-03-12,29,NaN,-7.05,-10.76
2020-03-13,9,4.64,5.91,11.8
2020-03-14,76,NaN,NaN,NaN
2020-03-15,5,NaN,NaN,NaN
2020-03-16,54,-2.85,-6.88,-2.84
2020-03-17,163,1.08,2.02,7.97
2020-03-18,63,-3.76,-5.51,-3.53
2020-03-19,179,-5.03,8.64,-0.73
2020-03-20,143,0,-5.49,-0.07
2020-03-21,143,NaN,NaN,NaN
2020-03-22,334,NaN,NaN,NaN
2020-03-23,192,-0.59,-3.72,-10.56
2020-03-24,619,4.14,6.83,6.6
2020-03-25,702,7.97,9.08,5.61
2020-03-26,461,1.83,2.69,2.07
2020-03-27,791,-4.39,-7.47,-2.01
2020-03-28,640,NaN,NaN,NaN
2020-03-29,894,NaN,NaN,NaN
2020-03-30,704,-2.7,3.9,2.86
2020-03-31,1118,NaN,-4.27,4.93
2020-04-01,1129,NaN,-0.31,-0.8
2020-04-02,1033,6.47,-0.82,-1.33
2020-04-03,1724,-6.08,-0.23,2.07
2020-04-04,1153,NaN,NaN,NaN
2020-04-05,541,NaN,NaN,NaN
2020-04-06,2778,4.17,4.21,4.08
2020-04-07,807,4,0.67,-0.29
2020-04-08,1309,-1.54,1.73,-0.7
2020-04-09,1269,1.04,-0.24,-3.64
2020-04-10,1513,NaN,NaN,NaN
2020-04-11,1405,NaN,NaN,NaN
2020-04-12,1257,NaN,NaN,NaN
2020-04-13,983,8.25,1.24,0.86
2020-04-14,1381,-0.98,1.88,0.8
2020-04-15,1355,-0.94,1.18,-0.46
2020-04-16,1174,-2.91,0.79,0.88
2020-04-17,2600,5.85,2.13,0.63
2020-04-18,2005,NaN,NaN,NaN
2020-04-19,1542,NaN,NaN,NaN
2020-04-20,1277,-0.31,-2.04,1.07
2020-04-21,2025,-5.23,-0.83,-2.45
2020-04-22,1744,NaN,2.94,2.83
2020-04-23,2261,0.43,-3.41,-0.84
2020-04-24,1636,9.02,2.04,0.24
2020-04-25,1620,NaN,NaN,NaN
2020-04-26,1452,NaN,NaN,NaN
2020-04-27,1662,-0.91,0.64,0.67
2020-04-28,1583,0.42,0.16,-2.17
2020-04-29,1534,1.42,1.74,-3.84
2020-04-30,1715,-2.26,-1.95,-2.91
2020-05-01,1592,-0.47,-2.06,-0.61
2020-05-02,1886,NaN,NaN,NaN
2020-05-03,1583,NaN,NaN,NaN
2020-05-04,2578,-6.51,-0.37,-0.46
2020-05-05,1453,-1.39,0,1.58
2020-05-06,1258,0.69,0.38,-0.36
2020-05-07,1479,-0.79,2.13,-1.72
2020-05-08,1507,1.02,0.64,2.74
2020-05-09,1473,NaN,NaN,NaN
2020-05-10,1244,NaN,NaN,NaN
2020-05-11,1173,0.12,0.57,3.51
2020-05-12,1173,4.87,-2.94,-2.22
2020-05-13,1155,-2.39,-2,-2.92
2020-05-14,1149,2.44,-0.17,0.13
2020-05-15,1213,-2.86,0.07,-1.12
2020-05-16,1178,NaN,NaN,NaN
2020-05-17,1247,NaN,NaN,NaN
2020-05-18,1126,NaN,NaN,NaN
2020-05-19,1079,2.45,3.81,1.96
2020-05-20,1082,5.26,-1.01,-1.75
2020-05-21,1082,-7.07,1.74,-0.98
2020-05-22,1167,6.02,0.25,-0.66
2020-05-23,1205,NaN,NaN,NaN
2020-05-24,1204,NaN,NaN,NaN
2020-05-25,955,-0.81,1.66,0.66
2020-05-26,1013,3.95,-0.36,0.13
2020-05-27,971,-0.67,0.7,-0.28
2020-05-28,899,1.35,3.21,2.19
2020-05-29,987,-0.44,0.73,-0.06
2020-05-30,933,NaN,NaN,NaN
2020-05-31,772,NaN,NaN,NaN
2020-06-01,798,0,3.06,-1.7
2020-06-02,809,NaN,2.35,0.87
2020-06-03,672,-2.12,-0.41,0.56
2020-06-04,681,-3.67,-2.14,-1.28
2020-06-05,628,0.38,-0.65,0.55
2020-06-06,678,NaN,NaN,NaN
2020-06-07,528,NaN,NaN,NaN
2020-06-08,703,4.71,-1.57,-1.7
2020-06-09,601,0.9,-0.19,-0.48
2020-06-10,462,0.33,2.52,1.23
2020-06-11,479,-3.44,-2.17,-1.93
2020-06-12,439,2.76,1.96,1.42
2020-06-13,436,NaN,NaN,NaN
2020-06-14,448,NaN,NaN,NaN
2020-06-15,361,0.45,-1.8,-0.39
2020-06-16,359,0.36,1.72,0.74
2020-06-17,324,-2.12,-3.03,-1.12
2020-06-18,404,1.8,0.41,0.53
2020-06-19,386,NaN,-1.12,1.33
2020-06-20,437,NaN,NaN,NaN
2020-06-21,448,NaN,NaN,NaN
2020-06-22,316,-8.48,0.07,-0.91
2020-06-23,340,7.32,-1.06,-2
2020-06-24,349,2.04,-0.48,1.41
2020-06-25,320,NaN,0.07,0.76
2020-06-26,376,0.21,-1.85,-1.94
2020-06-27,166,NaN,NaN,NaN
2020-06-28,249,NaN,NaN,NaN
2020-06-29,315,-2.21,1.39,2.85
2020-06-30,637,NaN,-0.09,-1.62
2020-07-01,267,NaN,NaN,NaN
2020-07-02,191,-3.93,0.73,0.73
2020-07-03,355,1.25,-0.22,0.18
2020-07-04,319,NaN,NaN,NaN
2020-07-05,223,NaN,NaN,NaN
2020-07-06,209,-2.34,0.18,1.17
