Date,newCases,amazon,target,walmart
2020-01-24,NaN,-1.22,-1.05,-1.24
2020-01-25,0,NaN,NaN,NaN
2020-01-26,1,NaN,NaN,NaN
2020-01-27,0,-1.79,1.28,1.3
2020-01-28,3,1.36,-0.29,0.64
2020-01-29,0,0.26,-1.01,-0.61
2020-01-30,0,0.68,0.35,0.6
2020-01-31,1,7.38,-3.43,-1.79
2020-02-01,0,NaN,NaN,NaN
2020-02-02,2,NaN,NaN,NaN
2020-02-03,0,-0.23,1.6,-0.19
2020-02-04,0,2.27,0.66,0.88
2020-02-05,3,-0.48,2.01,1.34
2020-02-06,0,0.51,-0.34,-0.43
2020-02-07,0,1.42,0.41,0.12
2020-02-08,1,NaN,NaN,NaN
2020-02-09,0,NaN,NaN,NaN
2020-02-10,0,2.63,1.19,-1.03
2020-02-11,0,0.79,-0.25,0.13
2020-02-12,0,0.43,1.22,0.39
2020-02-13,1,-0.47,0.14,1.37
2020-02-14,0,-0.7,-1.39,0.38
2020-02-15,1,NaN,NaN,NaN
2020-02-16,0,NaN,NaN,NaN
2020-02-17,0,NaN,NaN,NaN
2020-02-18,0,0.97,1.03,1.48
2020-02-19,0,0.67,-0.37,-1.63
2020-02-20,0,-0.79,0.74,0.01
2020-02-21,0,-2.65,-1.06,0.76
2020-02-22,0,NaN,NaN,NaN
2020-02-23,2,NaN,NaN,NaN
2020-02-24,0,-4.14,-2.76,-1.91
2020-02-25,0,-1.82,-1.81,-1.66
2020-02-26,0,0.35,-0.95,-0.53
2020-02-27,0,-4.81,-4.55,-2.97
2020-02-28,0,-0.03,-2.48,-2.46
2020-02-29,1,NaN,NaN,NaN
2020-03-01,0,NaN,NaN,NaN
2020-03-02,8,3.73,5.88,7.62
2020-03-03,7,-2.3,-2.95,-2.56
2020-03-04,23,3.5,1.87,3.42
2020-03-05,19,-2.62,-1.72,-0.73
2020-03-06,33,-1.19,-0.02,1.13
2020-03-07,77,NaN,NaN,NaN
2020-03-08,53,NaN,NaN,NaN
2020-03-09,166,-5.29,-1.81,-0.06
2020-03-10,116,5.07,4.13,2.24
2020-03-11,75,-3.75,-2.54,-4.47
2020-03-12,188,-7.92,-12.28,-9.07
2020-03-13,365,6.46,9.07,9.66
2020-03-14,439,NaN,NaN,NaN
