,Date,newCases,Price_x,Price_y,index
1,2020-01-24,0,47.18,114.57,161.75
4,2020-01-27,0,44.74,116.07,158.6262519257087
5,2020-01-28,1,45.1,115.9,159.1482796127327
6,2020-01-29,0,45.6,116.34,160.3325696540552
7,2020-01-30,0,44.93,116.69,159.39586197959662
8,2020-01-31,2,44.33,117.91,159.16481333085707
11,2020-02-03,0,44.78,118.19,160.16164916665187
12,2020-02-04,0,46.51,119.37,164.05495804587824
13,2020-02-05,1,46.7,120.46,165.13906729057373
14,2020-02-06,0,46.35,121.48,165.21939872842043
15,2020-02-07,2,45.46,120.78,163.15713090465252
18,2020-02-10,0,45.08,121.17,162.7386340472088
19,2020-02-11,0,46.58,121.25,165.49985370401308
20,2020-02-12,0,47.07,123.36,167.81036390746877
21,2020-02-13,0,47.05,122.11,166.92450614310633
22,2020-02-14,0,46.22,122.21,165.5205146462618
26,2020-02-18,0,45.0,120.52,162.1915531966991
27,2020-02-19,0,45.31,119.61,162.13789008443445
28,2020-02-20,0,44.45,117.32,159.04706246347462
29,2020-02-21,1,42.18,112.72,151.86786753299745
32,2020-02-24,1,40.07,109.13,145.65096374062446
33,2020-02-25,1,37.39,104.13,137.4435413695255
34,2020-02-26,0,34.92,104.6,133.21393250108386
35,2020-02-27,2,35.45,107.0,135.75312988601698
36,2020-02-28,1,34.25,102.39,130.5310731188944
39,2020-03-02,3,34.57,107.54,134.42357148306874
40,2020-03-03,3,34.94,105.22,133.69294936597706
41,2020-03-04,3,35.07,107.61,135.46003437764156
42,2020-03-05,4,32.16,102.0,126.3090585250084
43,2020-03-06,12,33.16,102.85,128.79910650712455
46,2020-03-09,13,30.31,95.56,118.69952767228546
47,2020-03-10,2,31.22,100.26,123.40043572664975
48,2020-03-11,29,27.4,96.23,113.37088299584633
49,2020-03-12,9,24.9,82.25,99.96376614114476
50,2020-03-13,76,25.37,94.96,108.63084345567574
53,2020-03-16,163,18.23,83.34,86.69816329324215
54,2020-03-17,63,16.09,86.92,83.47158902066975
55,2020-03-18,179,12.9,75.51,69.71839590503282
56,2020-03-19,143,12.15,88.27,73.58235344002755
57,2020-03-20,143,12.41,86.51,73.63608154135795
