,Date,newCases,Price_x,Price_y,index
1,2020-01-24,1,27.64,81.9,109.54
4,2020-01-27,0,26.11,77.63,103.65270091036155
5,2020-01-28,0,26.9,77.05,104.83357820862746
6,2020-01-29,1,26.8,75.21,103.38697603915037
7,2020-01-30,0,27.72,77.75,106.90732650645117
8,2020-01-31,2,26.84,74.8,103.18223939340292
11,2020-02-03,3,27.16,74.91,103.87320400387576
12,2020-02-04,0,28.43,78.89,109.06117009650004
13,2020-02-05,0,29.1,81.85,112.39229375485297
14,2020-02-06,1,28.3,80.5,109.92050652877997
15,2020-02-07,0,28.38,79.48,109.37948041561481
18,2020-02-10,0,28.79,79.47,110.1626908562116
19,2020-02-11,1,29.84,80.53,112.90625761563756
20,2020-02-12,0,30.47,82.2,115.26883312863359
21,2020-02-13,1,30.09,80.99,113.70166816569376
22,2020-02-14,0,29.2,79.55,111.00933172599233
26,2020-02-18,0,28.63,80.24,110.40728605438443
27,2020-02-19,0,28.33,79.42,109.26468872375897
28,2020-02-20,0,28.51,79.91,109.9488724749402
29,2020-02-21,2,27.82,78.01,107.31126591626148
32,2020-02-24,0,25.45,75.47,100.99329160001592
33,2020-02-25,0,23.12,70.57,93.09165101273513
34,2020-02-26,0,22.31,66.53,88.79627542054507
35,2020-02-27,1,20.6,64.94,84.33220977397661
36,2020-02-28,0,19.05,61.59,78.98433337884217
39,2020-03-02,23,18.86,61.26,78.3788487224898
40,2020-03-03,19,17.85,58.29,74.38018039696077
41,2020-03-04,33,18.53,59.47,76.54980740253542
42,2020-03-05,77,16.04,51.59,66.33498311833564
43,2020-03-06,53,15.97,52.1,66.5181189810473
46,2020-03-09,75,14.75,46.78,60.58122514426437
47,2020-03-10,188,17.0,52.56,68.94444657181475
48,2020-03-11,365,16.26,49.34,65.33200818874334
49,2020-03-12,439,13.45,37.08,51.56992966007517
50,2020-03-13,633,14.31,41.64,56.389600279669835
53,2020-03-16,1467,15.92,35.47,55.38400181025643
54,2020-03-17,1833,15.58,30.67,51.04515233720407
55,2020-03-18,2657,11.65,21.38,36.87633684261221
56,2020-03-19,4494,10.29,21.28,34.63765803339476
57,2020-03-20,6367,10.38,24.5,37.40974695744608
60,2020-03-23,11231,10.25,26.25,38.51154792756629
61,2020-03-24,10612,13.92,33.0,50.3575390461919
62,2020-03-25,12075,15.39,36.6,55.763278788239035
63,2020-03-26,17840,15.66,35.55,55.452547259184634
64,2020-03-27,18680,14.04,32.84,50.47071988914178
67,2020-03-30,22082,12.25,30.16,45.193989144757296
68,2020-03-31,26316,12.19,31.55,46.124749724259814
69,2020-04-01,25883,10.69,25.65,38.9741119673248
70,2020-04-02,30387,10.06,23.42,36.13147365002648
71,2020-04-03,31970,9.39,22.89,34.51945660447902
74,2020-04-06,30173,9.5,24.02,35.57370023663364
75,2020-04-07,31410,10.22,24.48,37.26238701389497
76,2020-04-08,32195,11.33,27.51,41.59199835754474
77,2020-04-09,34582,12.51,31.5,46.77407950148399
81,2020-04-13,25809,11.56,28.91,43.07515089630269
82,2020-04-14,28564,11.94,30.9,45.26565769821913
83,2020-04-15,30165,12.29,31.86,46.63225492763252
84,2020-04-16,31401,11.07,28.21,41.64653443298428
85,2020-04-17,32669,11.57,29.08,43.22925362583598
88,2020-04-20,28420,11.06,27.79,41.31765816745197
89,2020-04-21,26060,11.0,27.88,41.27249012157357
90,2020-04-22,29314,10.27,25.88,38.42263194591012
91,2020-04-23,33184,10.25,25.72,38.266447791516306
92,2020-04-24,33751,10.31,25.56,38.25942242993717
95,2020-04-27,23187,10.02,25.0,37.30222401552352
96,2020-04-28,24661,11.26,27.84,41.729111985276376
97,2020-04-29,27811,12.63,31.21,46.793325251044806
98,2020-04-30,29487,12.01,29.58,44.42286149622438
99,2020-05-01,34240,10.64,26.62,39.66652303526742
102,2020-05-04,23382,9.82,25.26,37.12475023887838
103,2020-05-05,24510,9.51,24.12,35.70103705316911
104,2020-05-06,25089,9.25,22.91,34.3175240472158
105,2020-05-07,27736,9.54,22.75,34.735640206634955
106,2020-05-08,26749,10.14,25.42,37.86628910896852
109,2020-05-11,19427,10.1,23.97,36.71162340689518
110,2020-05-12,22725,9.65,22.76,34.9671931257803
111,2020-05-13,20963,9.11,20.71,32.4140836609346
112,2020-05-14,27158,9.15,20.3,32.16439116660928
113,2020-05-15,25255,9.04,19.92,31.670007270511565
116,2020-05-18,21987,9.87,24.13,36.47053970142928
117,2020-05-19,21055,9.64,23.68,35.70553506726711
118,2020-05-20,23062,9.87,24.91,37.05880142425631
119,2020-05-21,25865,9.89,25.84,37.78813246488394
120,2020-05-22,23311,9.7,25.4,37.10342684003892
124,2020-05-26,19451,11.14,29.54,42.881278847392494
125,2020-05-27,18533,11.98,30.69,45.33267749882943
126,2020-05-28,22868,10.98,28.89,42.11125854595338
127,2020-05-29,24255,10.5,28.04,40.571296305349414
130,2020-06-01,16928,11.11,29.46,42.77710044304043
131,2020-06-02,21389,11.22,29.91,43.31557728261955
132,2020-06-03,20006,11.85,33.65,47.239785027369976
133,2020-06-04,21368,16.72,39.1,60.77237329676376
134,2020-06-05,25349,18.59,42.4,66.73539144994854
137,2020-06-08,17492,20.31,48.69,74.77273233038926
138,2020-06-09,18361,18.55,44.64,68.42317707597034
139,2020-06-10,20951,17.02,39.72,61.83078056047252
140,2020-06-11,23042,14.38,33.32,52.05411211054842
141,2020-06-12,24914,16.74,39.66,61.277917009209276
144,2020-06-15,19456,16.7,39.0,60.69482887097518
145,2020-06-16,23693,17.03,40.21,62.236056304235774
146,2020-06-17,26499,16.98,39.25,61.40176163858631
147,2020-06-18,27867,16.49,39.34,60.58620852733664
148,2020-06-19,30981,16.0,36.84,57.76096669304605
151,2020-06-22,30676,14.92,36.54,55.57635097801467
152,2020-06-23,36208,14.0,36.08,53.51304721344689
153,2020-06-24,34426,13.04,33.07,49.446131902929224
154,2020-06-25,40356,13.17,34.69,50.903712950668265
155,2020-06-26,45353,12.38,32.89,48.0563382720768
158,2020-06-29,40057,13.32,35.27,51.619507618085834
159,2020-06-30,45980,13.07,34.61,50.65211788947724
160,2020-07-01,51488,12.81,34.45,50.03122863981572
161,2020-07-02,55588,12.5,34.14,49.200750457165775
165,2020-07-06,44162,12.8,35.21,50.56217298036072
166,2020-07-07,60755,11.91,32.55,46.894444281012625
167,2020-07-08,59740,11.99,32.53,47.03753342021721
168,2020-07-09,62567,11.18,30.17,43.74244334230726
169,2020-07-10,67859,11.94,32.67,47.04154883352477
172,2020-07-13,58793,11.63,31.76,45.775720740379384
173,2020-07-14,67427,11.57,31.74,45.64322762497944
174,2020-07-15,67635,13.44,36.37,52.66081927795283
175,2020-07-16,77102,12.45,34.49,49.36025850087453
176,2020-07-17,71672,11.91,33.92,47.881918181141735
179,2020-07-20,61477,11.47,32.33,45.875217042003705
180,2020-07-21,64239,11.47,33.07,46.40023499144823
181,2020-07-22,71915,11.36,31.67,45.19557637277079
182,2020-07-23,68511,11.77,33.23,47.1242867959164
183,2020-07-24,73208,11.39,32.88,46.11540004749434
186,2020-07-27,55947,11.39,32.42,45.79281665300152
187,2020-07-28,65785,11.77,33.46,47.29119338663086
188,2020-07-29,71832,11.4,32.57,45.91892643293916
189,2020-07-30,67599,11.18,31.74,44.890759896395664
190,2020-07-31,67911,11.12,31.38,44.515722706963935
193,2020-08-03,44567,11.08,31.87,44.78321588461674
194,2020-08-04,57283,11.47,32.29,45.8664568016252
195,2020-08-05,54433,12.56,33.73,49.06854010933538
196,2020-08-06,59481,13.04,34.4,50.4934950136267
197,2020-08-07,58322,13.03,34.33,50.42275981542937
200,2020-08-10,48733,14.0,37.54,54.656955994716135
201,2020-08-11,46910,13.73,36.83,53.61303891849389
202,2020-08-12,56811,13.54,36.4,52.92910877379959
203,2020-08-13,51742,13.3,35.81,52.03105926988944
204,2020-08-14,64764,13.33,36.18,52.358541417356086
207,2020-08-17,36484,12.62,34.4,49.6761670552675
208,2020-08-18,45034,12.6,33.98,49.333548335910805
209,2020-08-19,47393,12.68,34.44,49.82408614520955
210,2020-08-20,44087,12.5,34.05,49.18834013784719
211,2020-08-21,48253,12.16,33.04,47.78986001095594
214,2020-08-24,36432,13.44,36.32,52.677251709540386
215,2020-08-25,39979,13.14,35.22,51.29163528093925
216,2020-08-26,45520,12.79,34.25,49.90221168709087
217,2020-08-27,45120,13.28,36.22,52.29326190763275
218,2020-08-28,46929,13.59,37.34,53.71212232687112
221,2020-08-31,35138,13.05,36.0,51.68122540350969
222,2020-09-01,41677,13.1,36.01,51.787409530416326
223,2020-09-02,40951,13.23,36.89,52.67715141435164
224,2020-09-03,43781,13.36,37.4,53.30008605546447
225,2020-09-04,50129,13.61,38.21,54.375957056653675
229,2020-09-08,26845,13.63,37.28,53.754176945859406
230,2020-09-09,33895,13.05,36.03,51.70928112337387
231,2020-09-10,36066,13.01,36.45,51.93141950090963
232,2020-09-11,47439,12.95,36.07,51.54097112135028
235,2020-09-14,33842,13.26,36.74,52.63655736637363
236,2020-09-15,39385,13.14,36.8,52.441363212234165
237,2020-09-16,38460,13.8,38.3,54.82716153238575
238,2020-09-17,44922,13.63,38.35,54.52524596565474
239,2020-09-18,48750,13.19,36.97,52.6641333977124
242,2020-09-21,51495,12.21,33.79,48.442723936216886
243,2020-09-22,39482,12.34,34.07,48.901318752380114
244,2020-09-23,38581,11.93,33.08,47.37845574851746
245,2020-09-24,45710,11.77,32.74,46.81726549370466
246,2020-09-25,48054,12.29,34.2,48.89534083625595
249,2020-09-28,32284,12.76,35.94,51.07410907155514
250,2020-09-29,42692,12.25,34.51,49.0373453995358
251,2020-09-30,41196,12.29,34.75,49.28792162655566
252,2020-10-01,45357,12.58,35.18,50.17437772598899
253,2020-10-02,54469,13.0,36.01,51.60382763555725
256,2020-10-05,38835,13.12,36.2,51.9781380987177
257,2020-10-06,44681,12.53,34.88,49.8617546299706
258,2020-10-07,50642,13.07,36.38,52.008331971731934
259,2020-10-08,58330,13.15,37.0,52.610672149846586
260,2020-10-09,55994,13.2,37.12,52.796007042591086
263,2020-10-12,40523,12.92,36.38,51.709796089182504
264,2020-10-13,52879,12.22,35.26,49.51301624751293
265,2020-10-14,59487,12.36,35.61,50.04238195065855
266,2020-10-15,64359,12.23,34.25,48.82361678796702
267,2020-10-16,68449,12.46,34.16,49.218562668622695
270,2020-10-19,66863,12.56,35.5,50.38142131020598
271,2020-10-20,61101,12.8,36.06,51.2601470598364
272,2020-10-21,63028,12.74,35.54,50.7704099105876
273,2020-10-22,75338,13.15,37.24,52.801620557903256
274,2020-10-23,80987,12.6,38.01,52.243285573945606
277,2020-10-26,66508,11.8,35.34,48.74986233005071
278,2020-10-27,76014,11.23,34.17,46.76544932019397
279,2020-10-28,78634,10.95,32.6,45.108082930174085
280,2020-10-29,90175,11.16,33.57,46.21171270099911
281,2020-10-30,98519,11.28,33.86,46.65976653281234
284,2020-11-02,83389,11.19,33.78,46.418503036150945
285,2020-11-03,125495,11.25,34.02,46.70784641623524
286,2020-11-04,103875,11.01,33.34,45.74282551414696
287,2020-11-05,126976,11.6,35.35,48.347321136097776
288,2020-11-06,126785,11.46,34.68,47.59739884158929
291,2020-11-09,121171,13.2,41.32,55.76742766682619
292,2020-11-10,139088,12.38,40.05,53.17823151063839
293,2020-11-11,144209,12.04,38.51,51.42559436091542
294,2020-11-12,162730,11.74,36.85,49.67654226288564
295,2020-11-13,178841,12.24,38.99,52.17682989286664
298,2020-11-16,157716,12.79,41.0,54.69400505718085
299,2020-11-17,162035,12.7,40.6,54.234771081958655
300,2020-11-18,171747,12.74,41.05,54.62074232528755
301,2020-11-19,189109,12.79,40.94,54.654743404998506
302,2020-11-20,196706,12.53,39.9,53.40502415531744
305,2020-11-23,170935,13.56,40.93,56.28935607345796
306,2020-11-24,174775,14.82,44.96,61.67571666051699
307,2020-11-25,183487,14.94,45.64,62.39182480758853
309,2020-11-27,205948,14.98,45.3,62.24295075607727
312,2020-11-30,156293,14.13,45.05,60.30529387328413
313,2020-12-01,183403,14.27,45.32,60.78476130085322
314,2020-12-02,202459,14.86,46.73,62.98691940460421
315,2020-12-03,219601,16.09,49.91,67.73685894584106
316,2020-12-04,229531,16.4,49.24,67.93473394918898
319,2020-12-07,191937,17.21,49.2,69.58479717686699
320,2020-12-08,219747,17.63,49.04,70.32073933528108
321,2020-12-09,222811,17.16,48.02,68.65208264471116
322,2020-12-10,226059,17.99,49.64,71.47039623891217
323,2020-12-11,233184,17.05,48.36,68.68173189151179
326,2020-12-14,192479,16.7,46.72,66.81220884882231
