,Date,newCases,Price_x,Price_y,Price,index
1,2020-01-24,0,193.49,46.57,68.93,308.99
4,2020-01-27,0,197.0,46.62,69.67,311.9584862328931
5,2020-01-28,1,197.05,46.9,69.26,312.9348871442477
6,2020-01-29,0,197.08,47.11,69.49,313.65930912127044
7,2020-01-30,0,197.08,46.27,69.74,310.8629408378713
8,2020-01-31,2,195.02,45.09,69.24,305.27438778772444
11,2020-02-03,0,198.5,44.73,69.19,306.7794350472956
12,2020-02-04,0,198.51,44.7,69.54,306.68428541485724
13,2020-02-05,1,198.51,44.29,69.82,305.277791488458
14,2020-02-06,0,198.51,44.78,70.59,306.9665035885861
15,2020-02-07,2,186.36,44.17,70.4,295.48163774517286
18,2020-02-10,0,186.36,44.74,70.95,297.38818668692915
19,2020-02-11,0,184.69,43.99,70.74,293.5630797532321
20,2020-02-12,0,184.69,43.58,70.61,292.19503175711
21,2020-02-13,0,190.0,43.51,70.84,296.1607960051855
22,2020-02-14,0,193.0,43.61,71.09,298.8392440223779
26,2020-02-18,0,195.55,41.62,71.08,293.99516437977655
27,2020-02-19,0,195.55,41.69,71.09,294.24239721863506
28,2020-02-20,0,189.66,40.83,69.92,286.77619913139586
29,2020-02-21,1,198.5,40.13,70.15,291.0011963021742
32,2020-02-24,1,194.0,39.01,70.0,283.64187499088627
33,2020-02-25,1,197.5,38.11,69.76,282.92854824863355
34,2020-02-26,0,197.5,38.0,69.68,282.5202283810483
35,2020-02-27,2,196.2,38.83,69.35,284.6758332548217
36,2020-02-28,1,180.0,39.46,66.5,275.232532537043
39,2020-03-02,3,195.38,39.64,67.36,287.6188257482951
40,2020-03-03,3,195.38,39.34,69.15,286.5304598587329
41,2020-03-04,3,195.38,40.04,71.58,289.079663238259
42,2020-03-05,4,184.01,39.61,71.87,279.116019702765
43,2020-03-06,12,185.22,40.1,72.35,281.7601336343697
46,2020-03-09,13,185.0,40.77,67.11,283.94665605178716
47,2020-03-10,2,186.0,41.19,67.97,286.1766450038157
48,2020-03-11,29,181.0,40.58,66.64,280.211129690524
49,2020-03-12,9,181.0,37.72,59.47,270.33676016224774
50,2020-03-13,76,189.4,39.95,66.49,284.6008995528268
53,2020-03-16,163,184.0,37.2,64.6,270.7483587849569
54,2020-03-17,63,185.99,37.95,69.75,274.9417780971689
55,2020-03-18,179,179.0,35.86,67.29,262.2043950695027
56,2020-03-19,143,170.0,38.96,66.8,266.94609481738445
57,2020-03-20,143,170.0,36.82,66.75,259.614669728714
60,2020-03-23,619,169.0,35.45,59.7,254.02122077839695
61,2020-03-24,702,176.0,37.87,63.64,267.9524152109345
62,2020-03-25,461,190.03,41.31,67.21,290.80245710821185
63,2020-03-26,791,193.5,42.42,68.6,297.3644555495542
64,2020-03-27,640,185.0,39.25,67.22,279.72233534948026
67,2020-03-30,1118,180.0,40.78,69.14,281.3942168236297
68,2020-03-31,1129,180.0,39.04,72.55,275.39095619007014
69,2020-04-01,1033,180.0,38.92,71.97,274.9677118926469
70,2020-04-02,1724,191.65,38.6,71.01,282.73558115337573
71,2020-04-03,1153,180.0,38.51,72.48,273.8125167805522
74,2020-04-06,807,187.5,40.13,75.44,285.27617918081995
75,2020-04-07,1309,195.0,40.4,75.22,291.94139088278695
76,2020-04-08,1269,192.0,41.1,74.69,292.22488309404025
77,2020-04-09,1513,194.0,41.0,71.97,293.3913829695297
81,2020-04-13,1381,210.0,41.51,72.59,307.31474798455463
82,2020-04-14,1355,207.95,42.29,73.17,308.7020817069365
83,2020-04-15,1174,206.0,42.79,72.83,309.0796045784725
84,2020-04-16,2600,200.0,43.13,73.47,305.80638482526365
85,2020-04-17,2005,211.7,44.05,73.93,318.0127782013799
88,2020-04-20,2025,211.05,43.15,74.72,314.2758560527201
89,2020-04-21,1744,200.01,42.79,72.89,304.744989928991
90,2020-04-22,2261,200.01,44.05,74.95,309.23177057061906
91,2020-04-23,1636,200.87,42.55,74.32,304.631572516775
92,2020-04-24,1620,218.99,43.42,74.5,321.4859433979791
95,2020-04-27,1583,216.99,43.7,75.0,321.0544777664964
96,2020-04-28,1534,217.9,43.77,73.37,321.98482498728066
97,2020-04-29,1715,221.0,44.53,70.55,327.0706075729609
98,2020-04-30,1592,216.01,43.66,68.5,320.1830605152236
99,2020-05-01,1886,215.0,42.76,68.08,316.1344187758119
102,2020-05-04,1453,201.0,42.6,67.77,305.25021203718205
103,2020-05-05,1258,198.2,42.6,68.84,303.12409115732106
104,2020-05-06,1479,199.57,42.76,68.59,304.74096694711136
105,2020-05-07,1507,198.0,43.67,67.41,306.7849648260962
106,2020-05-08,1473,200.01,43.95,69.26,309.32564124173007
109,2020-05-11,1173,200.25,44.2,71.69,310.39099310724305
110,2020-05-12,1155,210.01,42.9,70.1,313.3905048046053
111,2020-05-13,1149,205.0,42.04,68.05,306.5111716008472
112,2020-05-14,1213,210.0,41.97,68.14,309.9939297729728
113,2020-05-15,1178,204.0,42.0,67.38,305.6762363163167
117,2020-05-19,1082,209.0,43.6,68.7,315.24467312537786
118,2020-05-20,1082,219.99,43.16,67.5,321.94235970700504
119,2020-05-21,1167,204.44,43.91,66.84,313.3613354123481
120,2020-05-22,1205,216.75,44.02,66.4,323.1880945759804
123,2020-05-25,1013,215.0,44.75,66.84,324.56318775575346
124,2020-05-26,971,223.5,44.59,66.93,330.39874700656793
125,2020-05-27,899,222.0,44.9,66.74,330.43853065770185
126,2020-05-28,987,224.99,46.34,68.2,337.96257270609675
127,2020-05-29,933,224.0,46.68,68.16,338.4588501686303
130,2020-06-01,809,223.99,48.11,67.0,343.63548718312285
131,2020-06-02,672,223.99,49.24,67.58,347.67111491661825
132,2020-06-03,681,219.25,49.04,67.96,343.28639156395894
133,2020-06-04,628,211.2,47.99,67.09,333.3092582537342
134,2020-06-05,678,212.01,47.68,67.46,332.87188120783
137,2020-06-08,601,222.0,46.93,66.31,338.09639743517033
138,2020-06-09,462,224.0,46.84,65.99,339.2951620242992
