,Date,newCases,Price_x,Price_y,Price,index
1,2020-01-24,1,1861.64,114.32,114.37,2090.33
4,2020-01-27,0,1828.34,115.78,115.86,2084.9826375455063
5,2020-01-28,0,1853.25,115.44,116.6,2096.124551953173
6,2020-01-29,1,1858.0,114.27,115.89,2088.1885507740217
7,2020-01-30,0,1870.68,114.67,116.58,2098.968849053399
8,2020-01-31,2,2008.72,110.74,114.49,2140.4435175071735
11,2020-02-03,3,2004.2,112.51,114.27,2155.141081965534
12,2020-02-04,0,2049.67,113.25,115.27,2186.6756986062055
13,2020-02-05,0,2039.87,115.53,116.81,2203.4597387924446
14,2020-02-06,1,2050.23,115.14,116.31,2205.3359940799637
15,2020-02-07,0,2079.28,115.61,116.45,2225.4609300977627
18,2020-02-10,0,2133.91,116.98,115.25,2267.882336674423
19,2020-02-11,1,2150.8,116.69,115.4,2274.046431470423
20,2020-02-12,0,2160.0,118.11,115.85,2292.7464529975828
21,2020-02-13,1,2149.87,118.28,117.44,2289.0201913540154
22,2020-02-14,0,2134.87,116.63,117.89,2265.068896580723
26,2020-02-18,0,2155.67,117.83,119.63,2287.75574732995
27,2020-02-19,0,2170.22,117.39,117.68,2291.205051934788
28,2020-02-20,0,2153.1,118.26,117.69,2290.658132470114
29,2020-02-21,2,2095.97,117.01,118.58,2248.162111265179
32,2020-02-24,0,2009.29,113.78,116.32,2170.645445694928
33,2020-02-25,0,1972.74,111.72,114.39,2131.252984310499
34,2020-02-26,0,1979.59,110.66,113.78,2124.8425185716583
35,2020-02-27,1,1884.3,105.62,110.4,2025.3136811072693
36,2020-02-28,0,1883.75,103.0,107.68,1999.8982287831957
39,2020-03-02,23,1953.95,109.06,115.88,2095.9943816521245
40,2020-03-03,19,1908.99,105.84,112.91,2040.9380245068542
41,2020-03-04,33,1975.83,107.82,116.77,2095.7583977144814
42,2020-03-05,77,1924.03,105.97,115.92,2050.306577662197
43,2020-03-06,53,1901.09,105.95,117.23,2037.8903068182765
46,2020-03-09,75,1800.61,104.03,117.16,1965.5700177127019
47,2020-03-10,188,1891.82,108.33,119.79,2055.975709260867
48,2020-03-11,365,1820.86,105.58,114.43,1991.3211837424815
49,2020-03-12,439,1676.61,92.62,104.05,1790.2262910857626
50,2020-03-13,633,1785.0,101.02,114.1,1929.2744766823714
53,2020-03-16,1467,1689.15,93.79,106.76,1808.4368150625173
54,2020-03-17,1833,1807.84,103.63,119.26,1966.839013078945
55,2020-03-18,2657,1830.0,102.82,122.58,1971.2068241070183
56,2020-03-19,4494,1880.93,100.5,119.45,1976.397896286753
57,2020-03-20,6367,1846.09,97.4,113.97,1927.6119736018184
60,2020-03-23,11231,1902.83,96.69,114.28,1950.2090814313963
61,2020-03-24,10612,1940.1,100.56,115.03,2008.3364646405093
62,2020-03-25,12075,1885.84,91.04,109.4,1885.1878037543106
63,2020-03-26,17840,1955.49,96.07,109.82,1972.079487149091
64,2020-03-27,18680,1900.1,94.74,109.58,1930.4987301387519
67,2020-03-30,22082,1963.95,96.01,115.19,1975.8737545993815
68,2020-03-31,26316,1949.72,92.97,113.62,1937.4341479084192
69,2020-04-01,25883,1907.7,95.27,114.14,1940.5217888581817
70,2020-04-02,30387,1918.83,94.36,118.65,1936.9147959759844
71,2020-04-03,31970,1906.59,92.57,119.48,1912.3655731235328
74,2020-04-06,30173,1997.59,97.51,126.07,2009.0301193895218
75,2020-04-07,31410,2011.6,98.26,121.99,2023.801483234294
76,2020-04-08,32195,2043.0,104.63,121.84,2105.196221239923
77,2020-04-09,34582,2042.76,104.2,121.8,2100.7466845401086
81,2020-04-13,25809,2168.87,104.68,125.3,2170.430163543732
82,2020-04-14,28564,2283.32,108.38,129.0,2266.0541404070905
83,2020-04-15,30165,2307.68,106.24,128.76,2255.7700332195705
84,2020-04-16,31401,2408.19,109.3,132.33,2337.3807211902076
85,2020-04-17,32669,2375.0,113.42,132.12,2365.326776883552
88,2020-04-20,28420,2393.61,108.98,129.85,2328.2967044816332
89,2020-04-21,26060,2328.12,106.9,129.21,2274.226183776081
90,2020-04-22,29314,2363.49,106.84,131.59,2290.863562461397
91,2020-04-23,33184,2399.45,103.86,128.53,2276.3424805860864
92,2020-04-24,33751,2410.22,107.82,129.44,2324.847671873464
95,2020-04-27,23187,2376.0,109.88,128.3,2330.552898296169
96,2020-04-28,24661,2314.08,112.0,128.0,2322.6676694576963
97,2020-04-29,27811,2372.71,112.1,123.6,2353.12836413443
98,2020-04-30,29487,2474.0,109.74,121.55,2378.585625947584
99,2020-05-01,34240,2286.04,108.23,122.92,2271.865711673076
102,2020-05-04,23382,2315.99,111.71,123.7,2323.272358427125
103,2020-05-05,24510,2317.8,111.76,124.73,2324.700137930551
104,2020-05-06,25089,2351.26,113.58,123.3,2360.4086937105035
105,2020-05-07,27736,2367.61,113.36,121.89,2366.329492954332
106,2020-05-08,26749,2379.61,115.83,122.94,2398.1062136981645
109,2020-05-11,19427,2409.0,120.18,123.67,2457.945919335591
110,2020-05-12,22725,2356.95,119.39,123.78,2423.3135242067624
111,2020-05-13,20963,2367.92,119.14,123.71,2426.4157804882316
112,2020-05-14,27158,2388.85,119.94,123.42,2445.2857374243326
113,2020-05-15,25255,2409.78,120.94,125.94,2466.191756819062
116,2020-05-18,21987,2426.26,125.2,127.66,2518.0593166104686
117,2020-05-19,21055,2449.33,123.17,124.95,2509.616772464107
118,2020-05-20,23062,2497.94,119.63,125.45,2498.4558527586805
119,2020-05-21,25865,2446.74,118.68,124.99,2462.930257367865
120,2020-05-22,23311,2436.88,117.49,124.33,2445.61977959319
124,2020-05-26,19451,2421.86,115.12,123.86,2413.416410336605
125,2020-05-27,18533,2410.39,117.41,122.48,2431.7055899905235
126,2020-05-28,22868,2401.1,118.43,123.69,2437.582240899145
127,2020-05-29,24255,2442.37,122.33,124.06,2498.6665902152367
130,2020-06-01,16928,2471.04,119.49,123.96,2484.327625587457
131,2020-06-02,21389,2472.41,118.85,123.94,2478.36315951245
132,2020-06-03,20006,2478.4,121.73,123.47,2511.3934984524
133,2020-06-04,21368,2460.6,119.96,122.11,2484.1167147459246
134,2020-06-05,25349,2483.0,121.53,121.56,2511.6794386773813
137,2020-06-08,17492,2524.06,122.37,121.24,2541.1267721146555
138,2020-06-09,18361,2600.86,120.72,121.35,2562.6545271964674
139,2020-06-10,20951,2647.45,120.0,121.16,2577.965223125434
140,2020-06-11,23042,2557.96,118.01,120.09,2513.0189687773404
141,2020-06-12,24914,2545.02,116.9,117.74,2494.8439345177635
144,2020-06-15,19456,2572.68,118.15,118.08,2521.7398289013618
145,2020-06-16,23693,2615.27,119.21,119.65,2553.9252575298706
146,2020-06-17,26499,2640.98,118.27,119.03,2556.4095633061934
147,2020-06-18,27867,2653.98,117.3,117.99,2552.2181284988687
148,2020-06-19,30981,2675.01,120.56,119.85,2597.7955563076425
151,2020-06-22,30676,2713.82,122.43,121.68,2636.7875660210693
152,2020-06-23,36208,2764.41,121.5,121.07,2651.3498082882898
153,2020-06-24,34426,2734.4,119.72,120.3,2617.537079995972
154,2020-06-25,40356,2754.58,119.81,119.71,2628.1797251925022
155,2020-06-26,45353,2692.87,117.02,118.32,2568.1395372834145
158,2020-06-29,40057,2680.38,118.57,119.06,2579.192071385355
159,2020-06-30,45980,2758.82,119.93,119.78,2631.7231533185004
160,2020-07-01,51488,2878.7,118.96,119.69,2678.2590047511976
161,2020-07-02,55588,2890.3,119.12,119.21,2685.4562722377323
165,2020-07-06,44162,3057.04,119.24,118.89,2764.2702523209587
166,2020-07-07,60755,3000.12,118.06,126.95,2724.858218506177
167,2020-07-08,59740,3081.11,117.7,124.44,2757.4833408912377
168,2020-07-09,62567,3182.63,117.9,127.75,2805.254533466471
169,2020-07-10,67859,3200.0,118.86,130.68,2824.330606520791
172,2020-07-13,58793,3104.0,118.73,129.52,2780.421128750391
173,2020-07-14,67427,3084.0,120.08,132.01,2787.270747760539
174,2020-07-15,67635,3008.87,121.67,132.0,2771.773457397959
175,2020-07-16,77102,2999.9,121.95,132.2,2770.8312223720764
176,2020-07-17,71672,2961.97,121.67,131.74,2750.133421046728
179,2020-07-20,61477,3196.84,119.82,131.47,2838.2616334349386
180,2020-07-21,64239,3138.29,120.2,132.33,2816.7709730896
181,2020-07-22,71915,3099.91,123.14,132.66,2833.995027062989
182,2020-07-23,68511,2986.55,122.35,131.64,2773.0864294647886
183,2020-07-24,73208,3008.91,123.71,131.24,2798.879670910718
186,2020-07-27,55947,3055.21,122.69,131.21,2808.8752297535284
187,2020-07-28,65785,3000.33,123.29,131.76,2790.515881127879
188,2020-07-29,71832,3033.53,123.68,130.69,2810.3686199472468
189,2020-07-30,67599,3051.88,124.58,130.12,2829.0939681076575
190,2020-07-31,67911,3164.68,125.88,129.4,2896.1376756424447
193,2020-08-03,44567,3111.89,127.84,129.3,2894.529440327249
194,2020-08-04,57283,3138.83,130.45,131.64,2936.606148926059
195,2020-08-05,54433,3205.03,129.37,129.81,2955.417500323078
196,2020-08-06,59481,3225.0,129.01,129.35,2960.51280954607
197,2020-08-07,58322,3167.46,131.75,129.97,2965.5409492450876
200,2020-08-10,48733,3148.16,132.94,131.88,2969.8988824455246
201,2020-08-11,46910,3080.67,131.72,130.2,2924.437167692891
202,2020-08-12,56811,3162.24,134.6,131.89,2995.124568425687
203,2020-08-13,51742,3161.02,134.81,131.85,2996.883269386604
204,2020-08-14,64764,3148.02,136.53,132.6,3009.8389468916007
207,2020-08-17,36484,3182.41,138.24,135.6,3045.1278741737096
208,2020-08-18,45034,3312.49,136.9,134.71,3092.603543210332
209,2020-08-19,47393,3260.48,154.22,132.41,3263.956240185046
210,2020-08-20,44087,3297.37,152.24,130.57,3261.4682622892306
211,2020-08-21,48253,3284.72,153.63,131.63,3270.1012541812056
214,2020-08-24,36432,3307.46,153.24,131.33,3277.269966599758
215,2020-08-25,39979,3346.49,152.85,130.63,3292.4364654584406
216,2020-08-26,45520,3441.85,152.71,130.7,3337.8385017133282
217,2020-08-27,45120,3400.0,150.31,136.63,3291.3170075658877
218,2020-08-28,46929,3401.8,150.85,140.3,3298.1003907042877
221,2020-08-31,35138,3450.96,151.21,138.85,3325.8665199689412
222,2020-09-01,41677,3499.12,150.55,147.59,3341.815291015112
223,2020-09-02,40951,3531.45,149.84,147.68,3349.37351599794
224,2020-09-03,43781,3368.0,146.03,144.54,3229.2796745335277
225,2020-09-04,50129,3294.62,147.23,142.83,3207.3691389018754
229,2020-09-08,26845,3149.84,144.0,138.45,3101.7138553612767
230,2020-09-09,33895,3268.61,147.55,139.89,3198.4244480649813
231,2020-09-10,36066,3175.11,146.04,136.81,3136.3122435555856
232,2020-09-11,47439,3116.22,147.65,136.7,3124.514986192312
235,2020-09-14,33842,3102.97,148.44,137.32,3126.2311959717485
236,2020-09-15,39385,3156.13,149.07,137.36,3159.6445310118866
237,2020-09-16,38460,3078.1,147.99,136.26,3109.140402031462
238,2020-09-17,44922,3008.73,147.61,136.69,3070.1138952663196
239,2020-09-18,48750,2954.91,148.82,135.29,3055.2381657697315
242,2020-09-21,51495,2960.47,149.86,137.07,3068.7880279031533
243,2020-09-22,39482,3128.99,154.08,138.31,3199.3388884638025
244,2020-09-23,38581,2999.86,151.01,135.99,3101.4493207006117
245,2020-09-24,45710,3019.79,152.0,136.7,3121.918111782273
246,2020-09-25,48054,3095.13,154.35,137.27,3184.9953449489153
249,2020-09-28,32284,3174.05,156.46,137.25,3247.370853131432
250,2020-09-29,42692,3144.88,156.94,137.14,3237.4302050693154
251,2020-09-30,41196,3148.73,157.42,139.91,3244.362685537589
252,2020-10-01,45357,3221.26,158.6,143.08,3293.8887818268263
253,2020-10-02,54469,3125.0,159.1,140.5,3249.865741550923
256,2020-10-05,38835,3199.2,161.49,141.8,3312.8578871767486
257,2020-10-06,44681,3099.96,158.41,140.63,3229.8829827103723
258,2020-10-07,50642,3195.69,160.68,140.89,3302.896016951246
259,2020-10-08,58330,3190.55,161.86,141.36,3312.3676865456932
260,2020-10-09,55994,3286.65,163.71,142.78,3381.181842451445
263,2020-10-12,40523,3442.93,164.57,144.25,3470.450332080725
264,2020-10-13,52879,3443.63,165.64,146.23,3482.0852037892532
265,2020-10-14,59487,3363.71,163.97,143.94,3424.125592627496
266,2020-10-15,64359,3338.65,165.46,144.53,3426.9281040720643
267,2020-10-16,68449,3272.71,164.92,144.71,3387.494225407107
270,2020-10-19,66863,3207.21,164.05,142.95,3344.66058126322
271,2020-10-20,61101,3217.01,164.87,143.9,3358.129682260084
272,2020-10-21,63028,3184.94,163.29,144.4,3325.300283751433
273,2020-10-22,75338,3176.4,159.6,143.55,3283.269816170592
274,2020-10-23,80987,3204.4,160.23,143.85,3304.2209832524018
277,2020-10-26,66508,3207.04,157.97,142.16,3282.279539608987
278,2020-10-27,76014,3286.33,157.03,142.87,3313.089043583585
279,2020-10-28,78634,3162.78,155.21,140.04,3231.6114524817867
280,2020-10-29,90175,3211.01,154.25,139.92,3246.257235595786
