,Date,newCases,Price_x,Price_y,Price,index
1,2020-01-24,0,62.44,66.39,14.25,143.07999999999998
4,2020-01-27,0,62.69,67.19,14.25,144.2284925163644
5,2020-01-28,1,63.14,68.47,14.35,146.11995056321945
6,2020-01-29,0,62.76,67.25,14.35,144.37846418020976
7,2020-01-30,0,62.82,66.47,14.2,143.61019099477522
8,2020-01-31,2,62.36,66.91,14.0,143.55971336625748
11,2020-02-03,0,62.33,67.84,14.0,144.52286912564944
12,2020-02-04,0,62.71,67.05,14.0,144.12192912379822
13,2020-02-05,1,62.87,67.14,13.9,144.40251355609936
14,2020-02-06,0,64.2,67.14,13.9,145.92991408918041
15,2020-02-07,2,64.22,67.04,13.92,145.84396876827037
18,2020-02-10,0,64.39,66.95,13.92,145.93910777114183
19,2020-02-11,0,64.24,67.5,13.92,146.36857238683837
20,2020-02-12,0,64.46,67.84,13.92,146.9878354640245
21,2020-02-13,0,64.15,66.5,14.06,145.1827114815812
22,2020-02-14,0,64.33,66.0,14.06,144.84059761378577
26,2020-02-18,0,65.19,67.85,14.1,147.83871624721402
27,2020-02-19,0,65.07,66.97,14.1,146.74392920158346
28,2020-02-20,0,64.87,66.53,14.1,146.03635058884603
29,2020-02-21,1,64.47,66.45,14.08,145.49830568139117
32,2020-02-24,1,63.91,66.61,13.9,145.0415584763051
33,2020-02-25,1,62.9,64.02,14.05,141.07564912547872
34,2020-02-26,0,62.52,65.0,14.05,141.72927947471476
35,2020-02-27,2,61.65,64.57,13.5,140.27436240055
36,2020-02-28,1,58.95,61.84,13.5,134.23728230286557
39,2020-03-02,3,61.95,64.2,13.15,140.21443802078255
40,2020-03-03,3,61.83,64.5,13.15,140.4062409394392
41,2020-03-04,3,63.59,66.0,13.15,144.0372137477738
42,2020-03-05,4,62.67,65.6,12.75,142.55879492505375
43,2020-03-06,12,62.39,63.81,12.39,140.29535808682454
46,2020-03-09,13,57.54,60.27,12.0,130.9507041375357
47,2020-03-10,2,60.44,60.2,12.26,134.17459797016457
48,2020-03-11,29,58.02,60.5,12.26,131.8227641424468
49,2020-03-12,9,50.77,53.36,11.0,115.80804888333547
50,2020-03-13,76,55.82,58.0,11.0,126.60278994122369
53,2020-03-16,163,50.69,57.45,10.5,120.1849588627113
54,2020-03-17,63,53.76,60.07,9.84,126.56492257869647
55,2020-03-18,179,51.54,56.92,9.84,120.63323825690543
56,2020-03-19,143,54.6,56.31,9.5,123.56791721614668
57,2020-03-20,143,51.79,56.0,9.6,120.0480578894374
60,2020-03-23,619,46.44,51.49,9.04,109.01338986812206
61,2020-03-24,702,50.85,54.85,9.3,117.74626882687461
62,2020-03-25,461,53.53,56.5,9.5,122.62014445357437
63,2020-03-26,791,54.96,58.96,10.1,126.92741093541188
