,Date,newCases,Price_x,Price_y,Price,index
1,2020-01-24,1,38.5,81.58,60.28,180.36
4,2020-01-27,0,38.25,80.72,59.91,178.823756109054
5,2020-01-28,0,38.58,81.66,60.7,180.63637130377722
6,2020-01-29,1,37.05,80.26,59.53,175.50610774363906
7,2020-01-30,0,37.43,80.94,59.36,177.149623698255
8,2020-01-31,2,37.62,79.19,59.44,175.6841701183068
11,2020-02-03,3,36.96,79.46,58.05,174.442580375943
12,2020-02-04,0,37.63,81.51,58.29,178.27393689385923
13,2020-02-05,0,37.81,81.79,59.13,179.00651609445487
14,2020-02-06,1,38.44,82.77,59.44,181.57026205532932
15,2020-02-07,0,38.45,85.44,59.94,184.52243202891364
18,2020-02-10,0,38.34,84.53,60.24,183.27583470715473
19,2020-02-11,1,38.17,94.49,58.69,193.66702274525173
20,2020-02-12,0,38.04,95.67,58.23,194.54649160482194
21,2020-02-13,1,38.31,95.14,58.65,194.69803506705358
22,2020-02-14,0,38.25,96.48,58.51,195.91668280989884
26,2020-02-18,0,38.26,99.88,57.91,199.39439027136632
27,2020-02-19,0,38.44,100.49,58.22,200.47231446817588
28,2020-02-20,0,38.61,99.5,58.09,199.92810731621725
29,2020-02-21,2,38.55,98.57,58.2,198.83842563553807
32,2020-02-24,0,38.05,96.37,57.99,195.3299879618106
33,2020-02-25,0,37.35,94.58,57.12,191.71920654745495
34,2020-02-26,0,37.1,93.65,57.14,190.13499373400424
35,2020-02-27,1,35.73,91.24,55.06,184.17793697936773
36,2020-02-28,0,35.22,90.16,54.16,181.77343570157325
39,2020-03-02,23,37.18,93.29,57.32,189.98652839452524
40,2020-03-03,19,36.3,89.37,55.7,183.7465967863851
41,2020-03-04,33,38.18,93.81,58.12,193.06913974230733
42,2020-03-05,77,37.18,89.86,57.16,186.47601119959083
43,2020-03-06,53,37.03,87.86,56.87,184.0246655183942
46,2020-03-09,75,34.69,79.75,55.83,169.71693660651698
47,2020-03-10,188,35.85,84.98,56.52,178.1195346255086
48,2020-03-11,365,34.52,86.45,54.83,176.35607678756696
49,2020-03-12,439,31.33,76.76,51.2,158.32383467408084
50,2020-03-13,633,34.47,85.39,54.17,175.1577569970433
53,2020-03-16,1467,31.81,76.53,50.99,159.3123053947011
54,2020-03-17,1833,33.74,78.35,54.31,166.03960746289144
55,2020-03-18,2657,32.85,74.32,54.32,159.57950023470056
56,2020-03-19,4494,31.15,79.45,53.62,160.95790436961283
57,2020-03-20,6367,28.45,74.55,51.8,149.018741042828
60,2020-03-23,11231,26.77,75.7,50.31,145.7682639463654
61,2020-03-24,10612,28.09,78.65,49.99,152.20236905693275
62,2020-03-25,12075,28.4,79.17,49.94,153.54536669745258
63,2020-03-26,17840,30.6,84.63,53.54,164.7872142106342
64,2020-03-27,18680,29.84,81.72,52.77,159.90773534299677
67,2020-03-30,22082,30.23,83.12,54.77,162.32245201991117
68,2020-03-31,26316,29.15,83.9,53.73,160.18449677104272
69,2020-04-01,25883,28.05,85.13,52.92,158.33632495669985
70,2020-04-02,30387,28.76,84.41,55.25,159.67064812252903
71,2020-04-03,31970,27.46,81.98,54.7,153.76365426859357
74,2020-04-06,30173,29.44,86.09,56.7,163.16161646348473
75,2020-04-07,31410,30.08,86.51,56.98,165.33311368219617
76,2020-04-08,32195,29.89,86.85,57.8,165.13584582621093
77,2020-04-09,34582,30.73,85.9,57.44,166.55309490785558
81,2020-04-13,25809,30.19,86.17,56.67,165.3514796951377
82,2020-04-14,28564,31.13,89.62,58.14,171.2357827546777
83,2020-04-15,30165,30.09,88.54,56.93,167.34366453331316
84,2020-04-16,31401,30.16,90.27,57.66,169.17319479688044
85,2020-04-17,32669,31.23,90.99,58.46,172.84878065251894
88,2020-04-20,28420,30.98,89.94,58.13,171.15962865493316
