,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
0,Canada,2020-01-24,0,47.18,48.45,48.58,45.77,2.42M,-2.56%
1,Canada,2020-01-27,0,44.74,43.41,45.53,43.4,2.71M,-5.17%
2,Canada,2020-01-28,1,45.1,45.12,45.77,44.69,2.26M,0.80%
3,Canada,2020-01-29,0,45.6,45.28,45.96,44.71,1.92M,1.11%
4,Canada,2020-01-30,0,44.93,45.1,45.2,44.18,1.59M,-1.47%
5,Canada,2020-01-31,2,44.33,44.63,45.14,44.16,1.53M,-1.34%
6,Canada,2020-02-03,0,44.78,44.37,45.18,44.12,1.50M,1.02%
7,Canada,2020-02-04,0,46.51,45.59,47.25,45.52,1.81M,3.86%
8,Canada,2020-02-05,1,46.7,47.25,48.06,46.4,1.97M,0.41%
9,Canada,2020-02-06,0,46.35,47.0,47.13,46.33,1.37M,-0.75%
10,Canada,2020-02-07,2,45.46,46.25,46.25,45.04,1.32M,-1.92%
11,Canada,2020-02-10,0,45.08,45.24,45.47,44.73,1.79M,-0.84%
12,Canada,2020-02-11,0,46.58,45.33,47.2,45.33,1.55M,3.33%
13,Canada,2020-02-12,0,47.07,46.7,47.29,46.2,1.30M,1.05%
14,Canada,2020-02-13,0,47.05,46.76,47.59,46.76,1.12M,-0.04%
15,Canada,2020-02-14,0,46.22,47.0,47.01,46.13,1.21M,-1.76%
16,Canada,2020-02-18,0,45.0,44.42,45.75,43.1,3.61M,-2.64%
17,Canada,2020-02-19,0,45.31,45.3,45.68,44.73,1.61M,0.69%
18,Canada,2020-02-20,0,44.45,45.06,45.6,44.35,1.73M,-1.90%
19,Canada,2020-02-21,1,42.18,44.2,44.24,41.86,3.26M,-5.11%
20,Canada,2020-02-24,1,40.07,38.42,40.38,37.89,3.15M,-5.00%
21,Canada,2020-02-25,1,37.39,40.25,40.29,37.22,3.09M,-6.69%
22,Canada,2020-02-26,0,34.92,36.88,37.5,34.83,4.19M,-6.61%
23,Canada,2020-02-27,2,35.45,32.0,37.0,31.67,3.67M,1.52%
24,Canada,2020-02-28,1,34.25,33.26,34.59,33.01,4.02M,-3.39%
25,Canada,2020-03-02,3,34.57,34.4,34.96,33.4,2.83M,0.93%
26,Canada,2020-03-03,3,34.94,35.7,36.65,34.74,4.15M,1.07%
27,Canada,2020-03-04,3,35.07,35.66,36.22,34.08,3.82M,0.37%
28,Canada,2020-03-05,4,32.16,33.92,34.04,31.91,4.87M,-8.30%
29,Canada,2020-03-06,12,33.16,30.98,34.5,30.53,4.78M,3.11%
30,Canada,2020-03-09,13,30.31,29.76,31.31,28.01,3.63M,-8.59%
31,Canada,2020-03-10,2,31.22,31.0,31.64,30.45,3.94M,3.00%
32,Canada,2020-03-11,29,27.4,30.4,30.4,27.24,6.42M,-12.24%
33,Canada,2020-03-12,9,24.9,23.25,25.86,21.0,5.82M,-9.12%
34,Canada,2020-03-13,76,25.37,25.82,27.3,23.34,5.50M,1.89%
35,Canada,2020-03-16,163,18.23,22.84,22.84,15.65,8.20M,-28.14%
36,Canada,2020-03-17,63,16.09,19.0,19.1,15.51,5.45M,-11.74%
37,Canada,2020-03-18,179,12.9,15.0,15.18,9.26,14.79M,-19.83%
38,Canada,2020-03-19,143,12.15,13.7,14.36,10.84,8.22M,-5.81%
39,Canada,2020-03-20,143,12.41,15.85,15.85,12.22,8.82M,2.14%
40,Canada,2020-03-23,619,12.7,13.06,13.74,12.21,6.09M,2.34%
41,Canada,2020-03-24,702,15.11,15.12,15.5,14.06,7.67M,18.98%
42,Canada,2020-03-25,461,17.51,17.35,19.48,15.31,13.03M,15.88%
43,Canada,2020-03-26,791,17.91,18.21,19.26,17.08,10.19M,2.28%
44,Canada,2020-03-27,640,16.75,17.4,17.57,15.5,7.65M,-6.48%
45,Canada,2020-03-30,1118,16.08,16.01,16.95,15.3,5.42M,-4.00%
46,Canada,2020-03-31,1129,15.75,16.27,16.72,15.5,5.62M,-2.05%
47,Canada,2020-04-01,1033,14.46,15.3,15.55,14.28,6.34M,-8.19%
48,Canada,2020-04-02,1724,14.72,14.51,15.17,14.04,4.57M,1.80%
49,Canada,2020-04-03,1153,14.55,14.94,15.04,13.53,6.86M,-1.15%
50,Canada,2020-04-06,807,15.16,15.24,15.49,14.86,5.72M,4.19%
51,Canada,2020-04-07,1309,16.57,16.69,17.5,16.0,9.16M,9.30%
52,Canada,2020-04-08,1269,18.74,17.25,18.94,16.85,9.02M,13.10%
