,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
0,Canada,2020-01-24,0,62.44,62.58,62.93,62.3,1.08M,-0.16%
1,Canada,2020-01-27,0,62.69,62.28,62.84,62.25,1.67M,0.40%
2,Canada,2020-01-28,1,63.14,62.8,63.21,62.71,1.01M,0.72%
3,Canada,2020-01-29,0,62.76,63.25,63.39,62.72,930.28K,-0.60%
4,Canada,2020-01-30,0,62.82,62.63,62.83,62.38,876.15K,0.10%
5,Canada,2020-01-31,2,62.36,62.8,62.84,62.11,1.87M,-0.73%
6,Canada,2020-02-03,0,62.33,62.68,62.87,62.33,1.72M,-0.05%
7,Canada,2020-02-04,0,62.71,62.58,62.91,62.43,1.29M,0.61%
8,Canada,2020-02-05,1,62.87,62.97,63.08,62.73,973.77K,0.26%
9,Canada,2020-02-06,0,64.2,63.23,64.71,63.2,2.36M,2.12%
10,Canada,2020-02-07,2,64.22,64.2,64.33,64.01,1.58M,0.03%
11,Canada,2020-02-10,0,64.39,64.27,64.58,63.96,1.53M,0.26%
12,Canada,2020-02-11,0,64.24,64.54,64.68,64.14,1.85M,-0.23%
13,Canada,2020-02-12,0,64.46,64.18,64.49,63.87,2.22M,0.34%
14,Canada,2020-02-13,0,64.15,64.3,64.33,63.92,2.71M,-0.48%
15,Canada,2020-02-14,0,64.33,64.17,64.37,63.92,1.77M,0.28%
16,Canada,2020-02-18,0,65.19,64.33,65.28,64.2,3.05M,1.34%
17,Canada,2020-02-19,0,65.07,65.18,65.18,64.77,1.88M,-0.18%
18,Canada,2020-02-20,0,64.87,64.96,65.17,64.79,2.64M,-0.31%
19,Canada,2020-02-21,1,64.47,64.84,65.02,64.41,2.69M,-0.62%
20,Canada,2020-02-24,1,63.91,63.66,64.36,63.55,1.68M,-0.87%
21,Canada,2020-02-25,1,62.9,63.96,64.11,62.53,3.09M,-1.58%
22,Canada,2020-02-26,0,62.52,62.57,63.24,62.36,2.64M,-0.60%
23,Canada,2020-02-27,2,61.65,62.07,62.5,61.36,1.44M,-1.39%
24,Canada,2020-02-28,1,58.95,60.5,60.91,58.88,11.00M,-4.38%
25,Canada,2020-03-02,3,61.95,59.42,62.12,58.96,3.89M,5.09%
26,Canada,2020-03-03,3,61.83,62.49,62.64,61.55,6.49M,-0.19%
27,Canada,2020-03-04,3,63.59,62.5,63.76,62.41,3.32M,2.85%
28,Canada,2020-03-05,4,62.67,62.67,63.9,62.26,2.95M,-1.45%
29,Canada,2020-03-06,12,62.39,61.61,62.61,60.95,6.22M,-0.45%
30,Canada,2020-03-09,13,57.54,57.0,61.36,56.9,8.38M,-7.77%
31,Canada,2020-03-10,2,60.44,59.06,60.71,58.43,8.79M,5.04%
32,Canada,2020-03-11,29,58.02,59.43,59.82,57.64,4.85M,-4.00%
33,Canada,2020-03-12,9,50.77,55.08,55.12,50.55,7.93M,-12.50%
34,Canada,2020-03-13,76,55.82,52.25,56.53,51.02,11.13M,9.95%
35,Canada,2020-03-16,163,50.69,51.41,54.68,49.46,7.95M,-9.19%
36,Canada,2020-03-17,63,53.76,51.84,55.99,51.16,5.85M,6.06%
37,Canada,2020-03-18,179,51.54,51.8,54.84,50.98,3.62M,-4.13%
38,Canada,2020-03-19,143,54.6,51.8,54.8,50.89,3.81M,5.94%
39,Canada,2020-03-20,143,51.79,54.32,55.5,51.61,5.78M,-5.15%
40,Canada,2020-03-23,619,46.44,51.11,51.69,46.03,6.19M,-10.33%
41,Canada,2020-03-24,702,50.85,48.5,50.85,47.87,4.65M,9.50%
42,Canada,2020-03-25,461,53.53,51.01,55.5,50.17,5.90M,5.27%
43,Canada,2020-03-26,791,54.96,54.15,56.23,53.48,5.08M,2.67%
44,Canada,2020-03-27,640,53.68,53.5,55.12,53.12,4.12M,-2.33%
45,Canada,2020-03-30,1118,55.15,54.57,55.29,53.4,4.85M,2.74%
46,Canada,2020-03-31,1129,57.73,55.3,57.73,54.63,4.74M,4.68%
47,Canada,2020-04-01,1033,55.33,56.06,56.4,54.69,2.55M,-4.16%
48,Canada,2020-04-02,1724,57.39,55.0,57.45,55.0,3.59M,3.72%
49,Canada,2020-04-03,1153,56.73,57.25,57.73,56.47,2.39M,-1.15%
50,Canada,2020-04-06,807,57.53,58.01,58.59,56.9,2.21M,1.41%
51,Canada,2020-04-07,1309,57.66,58.22,58.77,57.51,3.11M,0.23%
52,Canada,2020-04-08,1269,57.25,57.64,57.88,56.79,3.83M,-0.71%
53,Canada,2020-04-09,1513,57.41,57.37,58.36,57.07,1.73M,0.28%
54,Canada,2020-04-13,1381,58.0,57.12,58.02,56.68,2.44M,1.03%
55,Canada,2020-04-14,1355,58.55,58.92,59.31,58.01,2.45M,0.95%
56,Canada,2020-04-15,1174,58.03,58.15,58.99,57.58,3.88M,-0.89%
57,Canada,2020-04-16,2600,57.64,58.32,58.91,57.53,1.55M,-0.67%
58,Canada,2020-04-17,2005,58.48,58.46,58.67,57.49,1.58M,1.46%
59,Canada,2020-04-20,2025,58.04,57.76,58.42,57.52,1.76M,-0.75%
60,Canada,2020-04-21,1744,56.69,57.57,57.6,56.65,2.54M,-2.33%
61,Canada,2020-04-22,2261,57.19,57.67,57.75,56.72,1.36M,0.88%
62,Canada,2020-04-23,1636,56.43,57.0,57.29,56.32,1.53M,-1.33%
63,Canada,2020-04-24,1620,56.48,56.39,56.67,55.8,1.81M,0.09%
