,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
0,Canada,2020-01-24,0,114.57,113.62,114.82,113.48,22.29K,1.21%
1,Canada,2020-01-27,0,116.07,113.91,116.63,112.92,76.61K,1.31%
2,Canada,2020-01-28,1,115.9,116.38,117.49,114.96,37.07K,-0.15%
3,Canada,2020-01-29,0,116.34,116.02,117.67,115.63,35.79K,0.38%
4,Canada,2020-01-30,0,116.69,116.16,116.89,115.01,35.06K,0.30%
5,Canada,2020-01-31,2,117.91,118.16,118.68,116.9,95.98K,1.05%
6,Canada,2020-02-03,0,118.19,118.13,119.3,117.55,25.55K,0.24%
7,Canada,2020-02-04,0,119.37,119.04,120.3,118.62,28.82K,1.00%
8,Canada,2020-02-05,1,120.46,120.24,121.49,119.56,37.80K,0.91%
9,Canada,2020-02-06,0,121.48,120.85,122.19,120.62,27.24K,0.85%
10,Canada,2020-02-07,2,120.78,121.27,121.28,119.03,33.26K,-0.58%
11,Canada,2020-02-10,0,121.17,120.65,121.61,120.47,39.15K,0.32%
12,Canada,2020-02-11,0,121.25,121.99,121.99,120.95,27.99K,0.07%
13,Canada,2020-02-12,0,123.36,121.55,123.75,121.55,23.53K,1.74%
14,Canada,2020-02-13,0,122.11,123.57,123.57,121.6,38.11K,-1.01%
15,Canada,2020-02-14,0,122.21,122.29,122.56,121.05,28.06K,0.08%
16,Canada,2020-02-18,0,120.52,121.5,121.71,120.08,51.13K,-1.38%
17,Canada,2020-02-19,0,119.61,120.01,120.41,117.0,56.60K,-0.76%
18,Canada,2020-02-20,0,117.32,115.7,118.68,112.0,122.76K,-1.91%
19,Canada,2020-02-21,1,112.72,116.11,116.11,112.12,64.59K,-3.92%
20,Canada,2020-02-24,1,109.13,109.23,110.51,106.27,100.34K,-3.18%
21,Canada,2020-02-25,1,104.13,109.05,109.46,102.99,110.84K,-4.58%
22,Canada,2020-02-26,0,104.6,102.84,106.74,101.94,81.57K,0.45%
23,Canada,2020-02-27,2,107.0,102.34,107.6,101.01,68.63K,2.29%
24,Canada,2020-02-28,1,102.39,101.99,103.62,99.79,90.10K,-4.31%
25,Canada,2020-03-02,3,107.54,101.73,107.56,101.51,88.60K,5.03%
26,Canada,2020-03-03,3,105.22,109.27,109.55,104.4,76.72K,-2.16%
27,Canada,2020-03-04,3,107.61,106.69,107.61,104.14,66.79K,2.27%
28,Canada,2020-03-05,4,102.0,105.87,106.07,101.51,66.37K,-5.21%
29,Canada,2020-03-06,12,102.85,101.0,103.09,98.13,75.02K,0.83%
30,Canada,2020-03-09,13,95.56,98.05,100.34,95.21,135.92K,-7.09%
31,Canada,2020-03-10,2,100.26,98.15,100.26,95.18,98.92K,4.92%
32,Canada,2020-03-11,29,96.23,98.76,100.86,95.55,120.62K,-4.02%
33,Canada,2020-03-12,9,82.25,91.81,91.81,81.01,133.21K,-14.53%
34,Canada,2020-03-13,76,94.96,90.0,94.96,84.64,181.01K,15.45%
35,Canada,2020-03-16,163,83.34,83.47,89.14,75.1,114.99K,-12.24%
36,Canada,2020-03-17,63,86.92,84.44,91.79,82.66,112.38K,4.30%
37,Canada,2020-03-18,179,75.51,83.25,85.54,71.5,161.83K,-13.13%
38,Canada,2020-03-19,143,88.27,74.32,89.86,67.87,124.54K,16.90%
39,Canada,2020-03-20,143,86.51,91.5,101.6,85.88,120.89K,-1.99%
40,Canada,2020-03-23,619,95.56,85.99,97.56,85.92,128.64K,10.46%
41,Canada,2020-03-24,702,97.41,101.33,101.33,94.86,79.26K,1.94%
42,Canada,2020-03-25,461,97.95,98.22,102.78,95.18,116.62K,0.55%
43,Canada,2020-03-26,791,95.05,98.02,100.47,93.64,98.94K,-2.96%
44,Canada,2020-03-27,640,94.01,92.23,96.66,87.12,90.53K,-1.09%
45,Canada,2020-03-30,1118,98.27,95.28,98.84,91.82,40.77K,4.53%
46,Canada,2020-03-31,1129,101.13,99.21,105.0,99.16,100.53K,2.91%
47,Canada,2020-04-01,1033,98.95,98.89,101.65,98.01,41.89K,-2.16%
48,Canada,2020-04-02,1724,101.0,99.25,101.3,95.93,53.99K,2.07%
49,Canada,2020-04-03,1153,100.26,100.5,102.15,96.92,37.35K,-0.73%
50,Canada,2020-04-06,807,103.8,101.28,105.5,101.28,45.90K,3.53%
51,Canada,2020-04-07,1309,103.19,105.91,107.75,101.95,68.32K,-0.59%
52,Canada,2020-04-08,1269,111.44,104.31,114.01,103.23,70.01K,7.99%
53,Canada,2020-04-09,1513,116.78,112.6,120.46,112.25,105.77K,4.79%
54,Canada,2020-04-13,1381,116.25,117.87,117.87,113.0,41.98K,-0.45%
55,Canada,2020-04-14,1355,118.99,117.5,119.31,115.88,36.77K,2.36%
56,Canada,2020-04-15,1174,117.66,116.35,117.84,114.58,45.80K,-1.12%
57,Canada,2020-04-16,2600,117.78,117.19,118.54,115.0,25.07K,0.10%
58,Canada,2020-04-17,2005,119.22,120.16,120.5,117.36,39.03K,1.22%
59,Canada,2020-04-20,2025,121.98,117.38,125.11,117.38,82.34K,2.32%
60,Canada,2020-04-21,1744,117.81,122.0,122.13,117.3,52.70K,-3.42%
61,Canada,2020-04-22,2261,123.51,118.91,124.9,117.67,54.95K,4.84%
62,Canada,2020-04-23,1636,129.74,124.99,131.03,124.5,46.09K,5.04%
63,Canada,2020-04-24,1620,133.12,130.99,134.5,130.99,70.03K,2.61%
64,Canada,2020-04-27,1583,135.46,135.85,141.99,133.66,103.09K,1.76%
65,Canada,2020-04-28,1534,135.36,136.99,136.99,133.11,50.35K,-0.07%
66,Canada,2020-04-29,1715,141.09,136.12,142.21,136.12,83.64K,4.23%
67,Canada,2020-04-30,1592,140.58,141.8,141.8,139.47,48.89K,-0.36%
68,Canada,2020-05-01,1886,138.15,134.0,139.0,134.0,79.68K,-1.73%
69,Canada,2020-05-04,1453,133.95,137.95,137.95,133.43,54.26K,-3.04%
70,Canada,2020-05-05,1258,132.0,134.75,136.5,132.0,60.38K,-1.46%
71,Canada,2020-05-06,1479,136.61,133.2,136.61,130.61,65.48K,3.49%
72,Canada,2020-05-07,1507,135.79,139.57,139.57,132.59,97.02K,-0.60%
73,Canada,2020-05-08,1473,139.46,137.5,140.99,135.8,89.33K,2.70%
74,Canada,2020-05-11,1173,140.36,139.71,141.0,138.5,51.34K,0.65%
75,Canada,2020-05-12,1155,135.5,140.57,140.57,134.87,53.11K,-3.46%
76,Canada,2020-05-13,1149,132.55,133.96,135.43,130.62,59.02K,-2.18%
77,Canada,2020-05-14,1213,131.03,130.0,132.09,126.89,61.07K,-1.15%
78,Canada,2020-05-15,1178,131.5,132.3,135.36,131.1,68.32K,0.36%
79,Canada,2020-05-19,1082,132.2,135.99,137.16,131.32,93.74K,0.53%
80,Canada,2020-05-20,1082,133.65,133.53,135.57,132.8,36.97K,1.10%
81,Canada,2020-05-21,1167,134.5,133.64,134.97,132.11,27.20K,0.64%
82,Canada,2020-05-22,1205,134.38,133.52,135.9,133.22,16.80K,-0.09%
83,Canada,2020-05-25,1013,133.55,133.0,135.11,133.0,14.00K,-0.62%
84,Canada,2020-05-26,971,131.99,135.44,136.49,129.2,79.20K,-1.17%
85,Canada,2020-05-27,899,130.13,132.0,132.0,125.18,68.45K,-1.41%
86,Canada,2020-05-28,987,131.49,129.57,132.08,128.0,41.20K,1.05%
87,Canada,2020-05-29,933,132.08,132.24,133.0,130.72,33.10K,0.45%
88,Canada,2020-06-01,809,131.5,133.44,135.4,131.0,29.26K,-0.44%
89,Canada,2020-06-02,672,128.89,131.72,132.15,126.58,59.27K,-1.98%
90,Canada,2020-06-03,681,128.22,128.7,130.98,126.63,52.22K,-0.52%
91,Canada,2020-06-04,628,129.35,127.28,130.64,127.28,34.50K,0.88%
92,Canada,2020-06-05,678,134.5,129.92,134.63,129.92,106.88K,3.98%
93,Canada,2020-06-08,601,137.44,133.99,138.15,133.99,98.55K,2.19%
94,Canada,2020-06-09,462,140.27,135.8,142.0,134.64,82.71K,2.06%
95,Canada,2020-06-10,479,144.0,139.8,144.5,139.52,95.04K,2.66%
96,Canada,2020-06-11,439,143.5,140.85,144.0,139.71,68.67K,-0.35%
97,Canada,2020-06-12,436,150.68,144.46,151.25,142.95,302.43K,5.00%
98,Canada,2020-06-15,359,146.94,145.52,148.45,144.27,70.49K,-2.48%
99,Canada,2020-06-16,324,148.79,148.42,150.62,147.46,51.82K,1.26%
100,Canada,2020-06-17,404,150.12,150.17,156.6,148.0,106.48K,0.89%
101,Canada,2020-06-18,386,157.66,148.41,159.34,148.41,115.90K,5.02%
102,Canada,2020-06-19,437,161.86,160.59,166.87,156.42,273.41K,2.66%
103,Canada,2020-06-22,340,163.68,162.36,165.7,158.79,90.62K,1.12%
104,Canada,2020-06-23,349,161.88,163.84,164.21,160.63,64.64K,-1.10%
105,Canada,2020-06-24,320,159.32,160.05,162.66,156.2,67.94K,-1.58%
106,Canada,2020-06-25,376,161.83,158.5,162.31,158.5,51.81K,1.58%
107,Canada,2020-06-26,166,159.9,161.47,162.1,157.92,26.89K,-1.19%
108,Canada,2020-06-29,637,156.96,159.22,159.24,155.85,39.99K,-1.84%
109,Canada,2020-06-30,267,160.0,155.14,160.25,155.14,38.04K,1.94%
110,Canada,2020-07-02,355,161.28,159.99,162.68,159.88,38.28K,0.80%
111,Canada,2020-07-03,319,162.0,162.99,163.0,161.57,17.82K,0.45%
112,Canada,2020-07-06,421,161.99,163.71,165.61,161.91,78.08K,-0.01%
113,Canada,2020-07-07,208,166.14,163.9,169.66,162.05,70.81K,2.56%
114,Canada,2020-07-08,311,167.72,165.11,168.58,164.54,27.96K,0.95%
115,Canada,2020-07-09,322,165.84,168.07,169.39,163.8,66.43K,-1.12%
116,Canada,2020-07-10,328,162.9,164.61,166.03,160.5,34.52K,-1.77%
117,Canada,2020-07-13,636,160.17,162.9,163.84,158.14,75.67K,-1.68%
118,Canada,2020-07-14,366,161.13,158.73,161.77,156.28,54.62K,0.60%
119,Canada,2020-07-15,343,161.55,162.14,163.16,158.6,40.10K,0.26%
120,Canada,2020-07-16,451,157.72,159.6,160.57,156.21,56.52K,-2.37%
121,Canada,2020-07-17,415,160.47,158.0,161.37,157.25,34.38K,1.74%
122,Canada,2020-07-20,770,163.71,160.69,164.38,159.82,37.86K,2.02%
123,Canada,2020-07-21,535,157.07,163.47,164.98,156.85,50.84K,-4.06%
124,Canada,2020-07-22,317,157.75,158.99,158.99,157.37,43.31K,0.43%
125,Canada,2020-07-23,608,155.2,159.85,159.85,154.8,38.95K,-1.62%
126,Canada,2020-07-24,717,154.03,154.89,155.0,150.58,57.90K,-0.75%
127,Canada,2020-07-27,682,157.7,154.85,158.38,154.22,29.50K,2.38%
128,Canada,2020-07-28,400,160.0,157.89,160.04,156.38,38.62K,1.46%
129,Canada,2020-07-29,486,161.0,161.37,161.64,158.63,38.41K,0.63%
130,Canada,2020-07-30,320,166.2,160.41,166.93,160.41,62.40K,3.23%
131,Canada,2020-07-31,604,165.93,167.84,167.84,162.32,39.14K,-0.16%
132,Canada,2020-08-04,686,165.16,166.05,166.35,164.17,60.56K,-0.46%
133,Canada,2020-08-05,374,166.38,164.93,166.38,162.02,31.21K,0.74%
134,Canada,2020-08-06,354,192.38,169.52,194.7,169.52,182.92K,15.63%
135,Canada,2020-08-07,516,192.47,194.99,195.44,191.9,65.37K,0.05%
136,Canada,2020-08-10,686,189.6,191.41,192.91,186.05,68.35K,-1.49%
137,Canada,2020-08-11,336,184.0,190.32,191.01,183.34,92.68K,-2.95%
138,Canada,2020-08-12,314,180.98,184.69,187.0,180.55,38.96K,-1.64%
139,Canada,2020-08-13,477,183.15,180.05,185.11,180.05,38.75K,1.20%
140,Canada,2020-08-14,425,180.51,183.0,183.0,178.47,30.61K,-1.44%
141,Canada,2020-08-17,214,182.51,181.97,187.58,181.77,53.12K,1.11%
142,Canada,2020-08-18,866,181.46,182.95,183.49,179.5,47.24K,-0.58%
143,Canada,2020-08-19,324,184.15,180.64,184.41,180.44,27.18K,1.48%
144,Canada,2020-08-20,217,183.06,184.0,184.77,181.5,17.93K,-0.59%
145,Canada,2020-08-21,694,183.25,181.52,184.5,181.51,12.89K,0.10%
146,Canada,2020-08-24,777,179.33,182.79,182.9,179.0,37.44K,-2.14%
147,Canada,2020-08-25,309,178.7,178.54,181.03,178.12,33.35K,-0.35%
148,Canada,2020-08-26,477,181.95,180.0,182.7,178.0,38.25K,1.82%
149,Canada,2020-08-27,456,175.18,182.01,182.1,174.8,78.76K,-3.72%
150,Canada,2020-08-28,506,176.65,175.0,178.3,174.99,37.88K,0.84%
151,Canada,2020-08-31,1030,178.0,178.68,179.65,176.71,31.75K,0.76%
152,Canada,2020-09-01,504,179.24,178.38,180.48,178.38,30.83K,0.70%
153,Canada,2020-09-02,519,176.0,181.57,181.57,175.91,36.50K,-1.81%
154,Canada,2020-09-03,586,175.48,176.99,177.78,174.5,46.28K,-0.30%
155,Canada,2020-09-04,614,172.02,174.73,175.31,168.42,37.35K,-1.97%
156,Canada,2020-09-08,1462,162.57,166.0,169.46,161.84,279.66K,-5.49%
157,Canada,2020-09-09,378,169.42,163.27,170.75,163.27,95.98K,4.21%
158,Canada,2020-09-10,821,175.16,170.12,177.37,169.2,96.77K,3.39%
159,Canada,2020-09-11,720,176.25,174.37,178.01,173.76,164.76K,0.62%
160,Canada,2020-09-14,1458,183.25,177.55,183.64,177.54,83.52K,3.97%
161,Canada,2020-09-15,802,182.23,184.35,185.87,179.68,58.91K,-0.56%
162,Canada,2020-09-16,952,189.51,185.52,193.44,184.98,121.57K,3.99%
163,Canada,2020-09-17,1027,189.44,187.18,190.85,186.3,56.63K,-0.04%
164,Canada,2020-09-18,1174,187.01,190.29,192.2,183.76,101.29K,-1.28%
165,Canada,2020-09-21,1833,191.65,184.49,192.0,180.7,137.63K,2.48%
166,Canada,2020-09-22,1272,191.82,191.42,192.75,188.39,86.32K,0.09%
167,Canada,2020-09-23,1084,186.07,192.52,192.52,185.5,33.30K,-3.00%
168,Canada,2020-09-24,1148,189.86,185.89,190.4,183.07,39.61K,2.04%
169,Canada,2020-09-25,1630,189.81,189.67,193.0,188.62,38.35K,-0.03%
170,Canada,2020-09-28,1791,190.5,191.08,192.75,189.48,33.66K,0.36%
171,Canada,2020-09-29,1772,193.09,191.69,193.12,188.63,37.65K,1.36%
172,Canada,2020-09-30,2116,190.71,194.1,195.5,190.03,43.65K,-1.23%
173,Canada,2020-10-01,1823,194.8,192.9,195.62,190.79,48.81K,2.14%
174,Canada,2020-10-02,2124,194.67,194.9,195.55,192.4,41.21K,-0.07%
175,Canada,2020-10-05,2883,195.71,195.23,195.71,190.25,53.01K,0.53%
176,Canada,2020-10-06,2372,205.69,197.94,206.78,197.94,100.90K,5.10%
177,Canada,2020-10-07,1624,209.14,207.0,213.17,203.83,67.38K,1.68%
178,Canada,2020-10-08,2350,213.57,211.84,214.82,207.0,62.18K,2.12%
