,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
0,Canada,2020-01-24,0,193.49,186.65,194.99,186.65,0.86K,4.59%
1,Canada,2020-01-27,0,197.0,196.5,197.0,196.5,0.59K,1.81%
2,Canada,2020-01-28,1,197.05,197.0,197.05,197.0,0.65K,0.03%
3,Canada,2020-01-29,0,197.08,197.07,197.08,197.07,0.62K,0.02%
4,Canada,2020-01-31,2,195.02,195.01,195.02,195.01,0.25K,-1.05%
5,Canada,2020-02-03,0,198.5,198.5,198.5,198.5,0.52K,1.78%
6,Canada,2020-02-04,0,198.51,198.5,199.25,198.5,0.96K,0.01%
7,Canada,2020-02-07,2,186.36,186.36,186.36,186.36,0.17K,-6.12%
8,Canada,2020-02-11,0,184.69,185.0,185.0,184.69,0.33K,-0.90%
9,Canada,2020-02-13,0,190.0,190.0,190.0,190.0,0.52K,2.88%
10,Canada,2020-02-14,0,193.0,193.0,193.0,193.0,0.17K,1.58%
11,Canada,2020-02-18,0,195.55,195.55,195.55,195.55,0.24K,1.32%
12,Canada,2020-02-20,0,189.66,189.66,189.66,189.66,0.19K,-3.01%
13,Canada,2020-02-21,1,198.5,198.5,198.5,198.5,0.29K,4.66%
14,Canada,2020-02-24,1,194.0,189.99,194.0,189.99,0.59K,-2.27%
15,Canada,2020-02-25,1,197.5,194.01,197.5,194.0,0.72K,1.80%
16,Canada,2020-02-27,2,196.2,190.01,196.2,185.32,0.55K,-0.66%
17,Canada,2020-02-28,1,180.0,185.11,191.25,180.0,1.11K,-8.26%
18,Canada,2020-03-02,3,195.38,195.38,195.38,195.38,0.47K,8.54%
19,Canada,2020-03-05,4,184.01,190.0,190.0,184.01,0.71K,-5.82%
20,Canada,2020-03-06,12,185.22,184.04,185.22,184.04,0.23K,0.66%
21,Canada,2020-03-09,13,185.0,184.5,185.0,181.41,1.27K,-0.12%
22,Canada,2020-03-10,2,186.0,186.0,186.0,186.0,0.47K,0.54%
23,Canada,2020-03-11,29,181.0,181.0,181.0,181.0,0.21K,-2.69%
24,Canada,2020-03-13,76,189.4,192.0,193.93,172.6,2.03K,4.64%
25,Canada,2020-03-16,163,184.0,140.0,185.0,140.0,2.33K,-2.85%
26,Canada,2020-03-17,63,185.99,187.0,187.0,179.01,1.02K,1.08%
27,Canada,2020-03-18,179,179.0,179.0,179.0,179.0,0.27K,-3.76%
28,Canada,2020-03-19,143,170.0,169.99,170.0,169.99,0.60K,-5.03%
29,Canada,2020-03-20,143,170.0,163.0,175.0,163.0,0.66K,0.00%
30,Canada,2020-03-23,619,169.0,169.99,169.99,169.0,0.49K,-0.59%
31,Canada,2020-03-24,702,176.0,170.0,176.0,170.0,0.82K,4.14%
32,Canada,2020-03-25,461,190.03,189.9,196.64,189.9,0.90K,7.97%
33,Canada,2020-03-26,791,193.5,194.79,194.9,190.22,1.03K,1.83%
34,Canada,2020-03-27,640,185.0,193.39,193.39,185.0,0.59K,-4.39%
35,Canada,2020-03-30,1118,180.0,185.01,185.01,180.0,1.02K,-2.70%
36,Canada,2020-04-02,1724,191.65,191.65,191.65,191.65,0.28K,6.47%
37,Canada,2020-04-03,1153,180.0,180.0,180.0,180.0,0.23K,-6.08%
38,Canada,2020-04-06,807,187.5,191.06,191.74,187.5,1.33K,4.17%
39,Canada,2020-04-07,1309,195.0,188.4,195.0,188.4,1.47K,4.00%
