,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
0,Canada,2020-01-24,0,46.57,47.13,47.76,46.48,661.44K,-0.94%
1,Canada,2020-01-27,0,46.62,45.88,46.72,45.69,481.10K,0.11%
2,Canada,2020-01-28,1,46.9,46.77,47.13,46.55,521.03K,0.60%
3,Canada,2020-01-29,0,47.11,46.91,47.4,46.72,413.25K,0.45%
4,Canada,2020-01-30,0,46.27,46.64,47.04,45.99,619.88K,-1.78%
5,Canada,2020-01-31,2,45.09,46.06,46.3,44.63,749.88K,-2.55%
6,Canada,2020-02-03,0,44.73,45.18,45.62,44.71,723.60K,-0.80%
7,Canada,2020-02-04,0,44.7,45.14,45.45,44.67,484.14K,-0.07%
8,Canada,2020-02-05,1,44.29,45.0,45.02,44.26,774.45K,-0.92%
9,Canada,2020-02-06,0,44.78,44.24,44.85,44.21,849.87K,1.11%
10,Canada,2020-02-07,2,44.17,44.59,44.64,44.16,387.15K,-1.36%
11,Canada,2020-02-10,0,44.74,44.1,44.95,44.0,500.31K,1.29%
12,Canada,2020-02-11,0,43.99,44.74,44.77,43.89,583.75K,-1.68%
13,Canada,2020-02-12,0,43.58,44.18,44.23,43.5,848.45K,-0.93%
14,Canada,2020-02-13,0,43.51,43.45,43.78,43.22,763.05K,-0.16%
15,Canada,2020-02-14,0,43.61,43.5,44.0,43.42,714.18K,0.23%
16,Canada,2020-02-18,0,41.62,43.36,43.39,40.73,1.92M,-4.56%
17,Canada,2020-02-19,0,41.69,41.71,42.47,41.66,1.09M,0.17%
18,Canada,2020-02-20,0,40.83,41.41,41.53,40.22,831.70K,-2.06%
19,Canada,2020-02-21,1,40.13,40.66,41.02,39.73,1.55M,-1.71%
20,Canada,2020-02-24,1,39.01,38.15,40.05,38.12,878.60K,-2.79%
21,Canada,2020-02-25,1,38.11,39.0,39.72,38.05,1.12M,-2.31%
22,Canada,2020-02-26,0,38.0,37.89,38.8,37.85,1.12M,-0.29%
23,Canada,2020-02-27,2,38.83,37.23,39.0,37.0,1.18M,2.18%
24,Canada,2020-02-28,1,39.46,38.08,39.51,37.88,2.48M,1.62%
25,Canada,2020-03-02,3,39.64,40.16,40.25,38.96,1.63M,0.46%
26,Canada,2020-03-03,3,39.34,39.82,40.08,39.18,1.10M,-0.76%
27,Canada,2020-03-04,3,40.04,39.62,40.26,39.28,948.67K,1.78%
28,Canada,2020-03-05,4,39.61,39.64,39.66,38.69,914.29K,-1.07%
29,Canada,2020-03-06,12,40.1,39.03,40.2,38.56,1.24M,1.24%
30,Canada,2020-03-09,13,40.77,38.84,40.79,38.14,1.78M,1.67%
31,Canada,2020-03-10,2,41.19,40.99,42.5,40.32,1.58M,1.03%
32,Canada,2020-03-11,29,40.58,40.62,41.02,39.84,1.52M,-1.48%
33,Canada,2020-03-12,9,37.72,36.2,39.09,36.17,2.27M,-7.05%
34,Canada,2020-03-13,76,39.95,38.34,39.95,37.2,1.99M,5.91%
35,Canada,2020-03-16,163,37.2,37.23,38.66,35.9,1.73M,-6.88%
36,Canada,2020-03-17,63,37.95,37.49,39.14,36.85,2.19M,2.02%
37,Canada,2020-03-18,179,35.86,35.82,36.98,34.95,1.70M,-5.51%
38,Canada,2020-03-19,143,38.96,35.5,39.51,34.7,1.21M,8.64%
39,Canada,2020-03-20,143,36.82,38.8,40.85,36.3,2.79M,-5.49%
40,Canada,2020-03-23,619,35.45,35.22,38.41,34.89,1.55M,-3.72%
41,Canada,2020-03-24,702,37.87,36.89,38.36,36.4,1.53M,6.83%
42,Canada,2020-03-25,461,41.31,38.01,42.89,38.01,2.06M,9.08%
43,Canada,2020-03-26,791,42.42,41.54,42.57,40.48,1.75M,2.69%
44,Canada,2020-03-27,640,39.25,41.0,41.12,38.78,1.29M,-7.47%
45,Canada,2020-03-30,1118,40.78,39.32,40.89,39.28,914.07K,3.90%
46,Canada,2020-03-31,1129,39.04,40.0,41.49,38.89,1.70M,-4.27%
47,Canada,2020-04-01,1033,38.92,39.04,39.56,37.52,1.19M,-0.31%
48,Canada,2020-04-02,1724,38.6,38.28,38.91,37.2,1.43M,-0.82%
49,Canada,2020-04-03,1153,38.51,38.56,38.91,38.04,697.61K,-0.23%
50,Canada,2020-04-06,807,40.13,39.25,40.31,38.13,1.03M,4.21%
51,Canada,2020-04-07,1309,40.4,41.63,42.0,40.17,744.49K,0.67%
52,Canada,2020-04-08,1269,41.1,40.84,41.6,40.1,1.46M,1.73%
53,Canada,2020-04-09,1513,41.0,41.47,41.86,40.57,2.40M,-0.24%
54,Canada,2020-04-13,1381,41.51,40.83,41.76,39.89,702.62K,1.24%
55,Canada,2020-04-14,1355,42.29,42.0,43.32,41.93,674.22K,1.88%
56,Canada,2020-04-15,1174,42.79,41.91,42.79,41.26,550.72K,1.18%
57,Canada,2020-04-16,2600,43.13,42.88,43.39,42.42,763.40K,0.79%
58,Canada,2020-04-17,2005,44.05,44.0,44.49,42.78,812.52K,2.13%
59,Canada,2020-04-20,2025,43.15,43.95,44.15,42.93,1.04M,-2.04%
60,Canada,2020-04-21,1744,42.79,42.82,43.8,42.18,1.09M,-0.83%
61,Canada,2020-04-22,2261,44.05,42.86,44.17,42.57,550.88K,2.94%
62,Canada,2020-04-23,1636,42.55,43.71,43.99,42.44,803.38K,-3.41%
63,Canada,2020-04-24,1620,43.42,42.62,43.55,42.5,960.67K,2.04%
64,Canada,2020-04-27,1583,43.7,43.55,43.82,43.2,490.55K,0.64%
