,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
0,Canada,2020-01-24,0,68.93,69.12,69.12,68.63,237.66K,-0.03%
1,Canada,2020-01-27,0,69.67,68.47,69.81,68.27,369.24K,1.07%
2,Canada,2020-01-28,1,69.26,69.63,69.8,68.97,448.82K,-0.59%
3,Canada,2020-01-29,0,69.49,69.32,69.58,68.68,420.17K,0.33%
4,Canada,2020-01-30,0,69.74,69.3,69.96,69.13,424.72K,0.36%
5,Canada,2020-01-31,2,69.24,69.62,69.89,68.97,345.00K,-0.72%
6,Canada,2020-02-03,0,69.19,69.47,69.75,69.19,297.75K,-0.07%
7,Canada,2020-02-04,0,69.54,69.53,69.85,69.46,370.86K,0.51%
8,Canada,2020-02-05,1,69.82,69.69,70.17,69.34,411.60K,0.40%
9,Canada,2020-02-06,0,70.59,69.8,70.7,69.78,305.14K,1.10%
10,Canada,2020-02-07,2,70.4,70.63,70.7,70.16,336.16K,-0.27%
11,Canada,2020-02-10,0,70.95,70.39,71.25,70.2,219.93K,0.78%
12,Canada,2020-02-11,0,70.74,71.01,71.35,70.56,248.46K,-0.30%
13,Canada,2020-02-12,0,70.61,70.62,70.96,70.1,397.34K,-0.18%
14,Canada,2020-02-13,0,70.84,70.47,70.84,70.0,319.40K,0.33%
15,Canada,2020-02-14,0,71.09,70.77,71.16,70.68,203.10K,0.35%
16,Canada,2020-02-18,0,71.08,71.0,71.66,70.72,274.21K,-0.01%
17,Canada,2020-02-19,0,71.09,71.16,71.39,70.85,545.29K,0.01%
18,Canada,2020-02-20,0,69.92,69.98,70.44,69.57,518.72K,-1.65%
19,Canada,2020-02-21,1,70.15,69.82,70.15,69.35,618.37K,0.33%
20,Canada,2020-02-24,1,70.0,69.16,70.04,68.63,449.29K,-0.21%
21,Canada,2020-02-25,1,69.76,69.61,70.5,69.47,703.25K,-0.34%
22,Canada,2020-02-26,0,69.68,69.01,70.53,69.01,742.45K,-0.11%
23,Canada,2020-02-27,2,69.35,69.45,70.25,69.21,488.59K,-0.47%
24,Canada,2020-02-28,1,66.5,68.88,69.25,66.34,1.79M,-4.11%
25,Canada,2020-03-02,3,67.36,66.86,67.66,66.01,1.43M,1.29%
26,Canada,2020-03-03,3,69.15,67.41,70.08,67.28,1.31M,2.66%
27,Canada,2020-03-04,3,71.58,69.81,71.91,69.81,953.82K,3.51%
