,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
0,Canada,2020-01-24,0,66.39,67.0,67.0,66.39,0.61K,-1.28%
1,Canada,2020-01-27,0,67.19,67.99,67.99,67.19,0.41K,1.21%
2,Canada,2020-01-28,1,68.47,68.47,68.47,68.47,0.15K,1.91%
3,Canada,2020-01-29,0,67.25,68.4,68.4,67.25,0.87K,-1.78%
4,Canada,2020-01-30,0,66.47,66.47,66.47,66.47,0.10K,-1.16%
5,Canada,2020-01-31,2,66.91,66.3,67.29,66.3,0.72K,0.66%
6,Canada,2020-02-03,0,67.84,67.84,67.84,67.83,0.35K,1.39%
7,Canada,2020-02-04,0,67.05,66.91,67.05,66.91,0.33K,-1.16%
8,Canada,2020-02-05,1,67.14,67.15,67.15,66.62,0.50K,0.13%
9,Canada,2020-02-07,2,67.04,67.1,68.29,67.04,1.13K,-0.15%
10,Canada,2020-02-10,0,66.95,67.1,67.85,66.87,1.38K,-0.13%
11,Canada,2020-02-11,0,67.5,66.65,67.85,66.65,1.24K,0.82%
12,Canada,2020-02-12,0,67.84,67.5,67.84,66.66,1.23K,0.50%
13,Canada,2020-02-13,0,66.5,66.51,66.51,66.5,0.79K,-1.98%
14,Canada,2020-02-14,0,66.0,66.6,66.99,66.0,0.77K,-0.75%
15,Canada,2020-02-18,0,67.85,66.99,67.85,66.6,0.56K,2.80%
16,Canada,2020-02-19,0,66.97,66.75,67.6,66.75,0.76K,-1.30%
17,Canada,2020-02-20,0,66.53,67.02,67.05,66.53,1.53K,-0.66%
18,Canada,2020-02-21,1,66.45,66.53,66.53,66.45,1.08K,-0.12%
19,Canada,2020-02-24,1,66.61,64.51,66.61,64.51,2.41K,0.24%
20,Canada,2020-02-25,1,64.02,64.81,65.6,64.0,3.60K,-3.89%
21,Canada,2020-02-26,0,65.0,65.0,65.0,65.0,0.68K,1.53%
22,Canada,2020-02-27,2,64.57,64.37,65.24,63.42,7.49K,-0.66%
23,Canada,2020-02-28,1,61.84,62.51,63.94,61.48,7.42K,-4.23%
