,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
0,Canada,2020-01-27,0,14.25,14.45,14.45,14.25,5.10K,-1.38%
1,Canada,2020-01-28,1,14.35,14.35,14.35,14.35,0.30K,0.70%
2,Canada,2020-01-30,0,14.2,14.17,14.2,14.15,0.90K,-1.05%
3,Canada,2020-01-31,2,14.0,14.05,14.06,14.0,2.40K,-1.41%
4,Canada,2020-02-03,0,14.0,14.0,14.0,14.0,0.10K,0.00%
5,Canada,2020-02-04,0,14.0,14.0,14.0,14.0,0.35K,0.00%
6,Canada,2020-02-05,1,13.9,13.9,13.9,13.9,1.75K,-0.71%
7,Canada,2020-02-07,2,13.92,13.92,14.42,13.91,3.00K,0.14%
8,Canada,2020-02-13,0,14.06,14.06,14.06,14.06,0.30K,1.01%
9,Canada,2020-02-18,0,14.1,14.1,14.1,14.1,0.80K,0.28%
10,Canada,2020-02-20,0,14.1,14.11,14.11,14.09,0.90K,0.00%
11,Canada,2020-02-21,1,14.08,14.0,14.08,14.0,0.50K,-0.14%
12,Canada,2020-02-24,1,13.9,14.08,14.08,13.9,2.94K,-1.28%
13,Canada,2020-02-25,1,14.05,14.05,14.05,14.05,0.41K,1.08%
14,Canada,2020-02-26,0,14.05,14.0,14.05,14.0,1.90K,0.00%
15,Canada,2020-02-27,2,13.5,13.5,13.5,13.5,0.30K,-3.91%
16,Canada,2020-02-28,1,13.5,13.5,13.5,13.5,2.00K,0.00%
17,Canada,2020-03-02,3,13.15,13.49,13.49,13.14,7.33K,-2.59%
18,Canada,2020-03-05,4,12.75,13.01,13.01,12.75,4.20K,-3.04%
19,Canada,2020-03-06,12,12.39,12.39,12.39,12.39,0.46K,-2.82%
20,Canada,2020-03-09,13,12.0,13.0,13.0,12.0,1.24K,-3.15%
21,Canada,2020-03-10,2,12.26,11.8,12.26,11.72,0.70K,2.17%
22,Canada,2020-03-12,9,11.0,11.0,11.0,11.0,0.27K,-10.28%
23,Canada,2020-03-16,163,10.5,10.0,10.5,10.0,0.33K,-4.55%
24,Canada,2020-03-17,63,9.84,9.76,9.84,9.75,0.70K,-6.29%
25,Canada,2020-03-19,143,9.5,9.84,9.84,9.0,1.00K,-3.46%
26,Canada,2020-03-20,143,9.6,10.0,10.0,9.6,2.35K,1.05%
27,Canada,2020-03-23,619,9.04,9.2,9.2,9.04,3.30K,-5.83%
28,Canada,2020-03-24,702,9.3,9.1,9.6,9.1,1.95K,2.88%
29,Canada,2020-03-25,461,9.5,9.35,9.5,9.35,1.50K,2.15%
30,Canada,2020-03-26,791,10.1,10.99,11.0,10.1,1.31K,6.32%
31,Canada,2020-03-27,640,9.52,9.35,9.52,9.26,3.59K,-5.74%
32,Canada,2020-03-30,1118,9.57,11.99,11.99,9.57,0.40K,0.53%
33,Canada,2020-03-31,1129,10.5,10.5,10.5,10.5,0.10K,9.72%
34,Canada,2020-04-01,1033,10.0,10.3,10.3,9.99,1.50K,-4.76%
35,Canada,2020-04-02,1724,9.58,10.02,10.02,9.58,4.91K,-4.20%
36,Canada,2020-04-06,807,10.3,10.3,10.3,10.3,1.00K,7.52%
37,Canada,2020-04-07,1309,10.75,10.75,10.75,10.75,1.30K,4.37%
38,Canada,2020-04-08,1269,10.75,10.75,10.75,10.75,3.00K,0.00%
39,Canada,2020-04-09,1513,11.25,11.26,11.26,11.25,0.40K,4.65%
40,Canada,2020-04-13,1381,11.75,11.75,11.75,11.75,0.13K,4.44%
41,Canada,2020-04-14,1355,11.68,11.68,11.68,11.68,0.80K,-0.60%
42,Canada,2020-04-15,1174,11.2,11.5,11.5,11.2,2.30K,-4.11%
43,Canada,2020-04-17,2005,11.65,11.4,11.65,11.39,2.60K,4.02%
44,Canada,2020-04-23,1636,11.21,11.28,11.28,11.21,2.60K,-3.78%
45,Canada,2020-04-24,1620,11.2,11.21,11.21,11.2,1.50K,-0.09%
46,Canada,2020-04-27,1583,11.02,11.02,11.02,11.02,1.03K,-1.61%
47,Canada,2020-04-28,1534,11.09,11.01,11.09,11.01,9.80K,0.64%
48,Canada,2020-04-29,1715,11.35,11.35,11.35,11.35,0.60K,2.34%
49,Canada,2020-04-30,1592,11.8,11.8,11.8,11.8,0.10K,3.96%
50,Canada,2020-05-01,1886,11.5,11.7,11.7,11.5,1.78K,-2.54%
51,Canada,2020-05-04,1453,11.25,11.26,11.26,11.25,0.60K,-2.17%
52,Canada,2020-05-06,1479,11.25,11.25,11.25,11.25,0.30K,0.00%
53,Canada,2020-05-07,1507,11.2,11.2,11.2,11.2,12.00K,-0.44%
54,Canada,2020-05-08,1473,12.18,12.18,12.18,12.18,0.10K,8.75%
55,Canada,2020-05-11,1173,11.25,11.26,11.26,11.25,1.11K,-7.64%
56,Canada,2020-05-12,1155,11.2,11.4,11.4,11.2,1.27K,-0.44%
57,Canada,2020-05-13,1149,11.02,11.2,11.25,11.02,2.18K,-1.61%
58,Canada,2020-05-14,1213,11.0,11.35,11.35,11.0,3.12K,-0.18%
59,Canada,2020-05-15,1178,11.0,11.01,11.01,11.0,2.21K,0.00%
60,Canada,2020-05-19,1082,11.25,11.25,11.25,11.25,0.11K,2.27%
61,Canada,2020-05-20,1082,11.25,11.25,11.25,11.25,1.00K,0.00%
62,Canada,2020-05-21,1167,11.45,11.45,11.45,11.45,0.90K,1.78%
63,Canada,2020-05-26,971,10.83,11.02,11.02,10.83,1.00K,-5.41%
64,Canada,2020-05-27,899,11.5,11.5,11.5,11.5,0.10K,6.19%
65,Canada,2020-05-28,987,11.0,11.45,11.88,11.0,1.55K,-4.35%
66,Canada,2020-05-29,933,11.4,11.4,11.4,11.4,0.30K,3.64%
67,Canada,2020-06-02,672,11.2,10.89,11.2,10.86,2.60K,-1.75%
68,Canada,2020-06-03,681,10.91,11.01,11.01,10.91,0.93K,-2.59%
69,Canada,2020-06-04,628,11.11,11.0,11.11,11.0,1.10K,1.83%
70,Canada,2020-06-05,678,11.12,11.13,11.13,11.12,1.60K,0.09%
71,Canada,2020-06-08,601,11.0,11.0,11.0,11.0,0.88K,-1.08%
72,Canada,2020-06-09,462,11.15,11.15,11.15,11.15,0.10K,1.36%
73,Canada,2020-06-10,479,11.15,11.66,11.66,11.15,1.51K,0.00%
74,Canada,2020-06-11,439,11.1,11.11,11.11,11.1,0.30K,-0.45%
75,Canada,2020-06-12,436,11.01,11.01,11.03,11.01,0.80K,-0.81%
76,Canada,2020-06-15,359,11.25,11.25,11.25,11.25,0.20K,2.18%
77,Canada,2020-06-16,324,11.11,11.04,11.25,11.04,0.80K,-1.24%
78,Canada,2020-06-17,404,11.38,11.25,11.38,11.25,2.10K,2.43%
79,Canada,2020-06-18,386,11.25,11.26,11.26,11.25,0.81K,-1.14%
80,Canada,2020-06-19,437,11.42,11.25,11.42,10.24,7.58K,1.51%
81,Canada,2020-06-22,340,11.02,11.08,11.08,11.02,1.75K,-3.50%
82,Canada,2020-06-23,349,11.4,11.4,11.4,11.4,0.28K,3.45%
83,Canada,2020-06-24,320,10.96,11.25,11.25,10.96,0.43K,-3.86%
84,Canada,2020-06-30,267,10.66,10.66,10.66,10.66,1.70K,-2.74%
85,Canada,2020-07-03,319,10.57,10.57,10.57,10.57,0.65K,-0.84%
86,Canada,2020-07-09,322,10.6,10.59,10.6,10.59,0.91K,0.28%
87,Canada,2020-07-10,328,10.5,10.55,10.55,10.5,0.80K,-0.94%
88,Canada,2020-07-14,366,10.53,10.53,10.53,10.53,0.80K,0.29%
89,Canada,2020-07-15,343,10.87,10.87,10.87,10.87,0.20K,3.23%
90,Canada,2020-07-16,451,10.88,11.0,11.0,10.88,0.75K,0.09%
91,Canada,2020-07-17,415,10.88,10.88,10.88,10.88,0.50K,0.00%
92,Canada,2020-07-21,535,11.69,11.15,11.69,11.15,0.70K,7.44%
93,Canada,2020-07-22,317,11.5,11.5,11.5,11.5,0.10K,-1.63%
94,Canada,2020-07-23,608,11.5,11.6,11.6,11.5,2.69K,0.00%
95,Canada,2020-07-24,717,11.8,11.8,11.8,11.8,0.20K,2.61%
96,Canada,2020-07-29,486,11.4,11.4,11.4,11.4,0.40K,-3.39%
97,Canada,2020-07-31,604,11.4,11.4,11.4,11.4,0.10K,0.00%
98,Canada,2020-08-06,354,11.31,11.31,11.31,11.31,1.40K,-0.79%
99,Canada,2020-08-12,314,11.55,11.57,11.57,11.55,2.10K,2.12%
100,Canada,2020-08-14,425,11.5,11.5,11.5,11.5,0.40K,-0.43%
101,Canada,2020-08-18,866,11.5,11.5,11.5,11.5,0.30K,0.00%
102,Canada,2020-08-19,324,11.52,11.52,11.52,11.52,0.10K,0.17%
103,Canada,2020-08-25,309,11.8,11.77,11.8,11.65,158.60K,2.43%
104,Canada,2020-08-26,477,12.0,11.9,12.0,11.9,1.20K,1.69%
105,Canada,2020-08-27,456,11.85,11.85,11.85,11.85,4.50K,-1.25%
106,Canada,2020-09-01,504,12.0,11.86,12.0,11.86,0.90K,1.27%
107,Canada,2020-09-03,586,11.92,11.93,11.93,11.92,0.30K,-0.67%
108,Canada,2020-09-04,614,11.92,11.92,11.92,11.92,0.10K,0.00%
109,Canada,2020-09-08,1462,11.9,11.9,11.9,11.9,0.20K,-0.17%
110,Canada,2020-09-09,378,11.65,11.85,11.85,11.65,2.40K,-2.10%
111,Canada,2020-09-11,720,11.65,11.8,11.8,11.65,1.10K,0.00%
112,Canada,2020-09-15,802,11.5,11.49,11.5,11.49,3.20K,-1.29%
113,Canada,2020-09-21,1833,11.56,11.65,11.65,11.56,1.30K,0.52%
114,Canada,2020-09-22,1272,11.6,11.57,11.65,11.57,4.90K,0.35%
115,Canada,2020-09-24,1148,11.65,11.65,11.65,11.65,0.90K,0.43%
116,Canada,2020-09-25,1630,11.65,11.65,11.65,11.65,1.20K,0.00%
117,Canada,2020-09-29,1772,11.65,11.55,11.65,11.55,2.20K,0.00%
118,Canada,2020-10-01,1823,11.65,11.65,11.65,11.65,2.00K,0.00%
119,Canada,2020-10-05,2883,11.65,11.65,11.65,11.65,0.50K,0.00%
120,Canada,2020-10-06,2372,11.65,11.65,11.65,11.65,1.40K,0.00%
121,Canada,2020-10-07,1624,11.99,11.99,11.99,11.99,1.70K,2.92%
